first_name,last_name,nation,team,positions,age
,Raya,ESP,Arsenal,GK,29
,Saliba,FRA,Arsenal,DF,24
,Rice,ENG,Arsenal,MF,26
,Partey,GHA,Arsenal,"MF,DF",31
,Magalhães,BRA,Arsenal,DF,27
,Trossard,BEL,Arsenal,FW,30
,Timber,NED,Arsenal,DF,23
,Ødegaard,NOR,Arsenal,MF,26
,Martinelli,BRA,Arsenal,"FW,MF",23
,Havertz,GER,Arsenal,"FW,MF",25
,Saka,ENG,Arsenal,"FW,MF",23
,Merino,ESP,Arsenal,"MF,FW",28
,Lewis-Skelly,ENG,Arsenal,DF,18
,White,ENG,Arsenal,DF,27
,Calafiori,ITA,Arsenal,DF,22
,Nwaneri,ENG,Arsenal,"FW,MF",18
,Jorginho,ITA,Arsenal,MF,33
,Kiwior,POL,Arsenal,DF,25
,Jesus,BRA,Arsenal,FW,28
,Sterling,ENG,Arsenal,"FW,MF",30
,Zinchenko,UKR,Arsenal,"DF,MF",28
,Tierney,SCO,Arsenal,"DF,FW",27
,Butler-Oyedeji,ENG,Arsenal,FW,22
,Tomiyasu,JPN,Arsenal,DF,26
,Nelson,ENG,Arsenal,FW,25
,Clarke,WAL,Arsenal,DF,17
,Gower,ENG,Arsenal,MF,20
,Heaven,ENG,Arsenal,DF,18
,Henry-Francis,IRL,Arsenal,MF,21
,Kabia,ENG,Arsenal,MF,19
,Kacurri,ALB,Arsenal,DF,19
,Neto,BRA,Arsenal,GK,35
,Nichols,ENG,Arsenal,DF,18
,Nketiah,ENG,Arsenal,FW,25
,Salah Oulad M'Hand,NED,Arsenal,MF,21
,Porter,ENG,Arsenal,GK,16
,Ramsdale,ENG,Arsenal,GK,27
,Setford,ENG,Arsenal,GK,19
,Martínez,ARG,Aston Villa,GK,32
,Tielemans,BEL,Aston Villa,MF,28
,Rogers,ENG,Aston Villa,"FW,MF",22
,Konsa,ENG,Aston Villa,DF,27
,Watkins,ENG,Aston Villa,FW,29
,Digne,FRA,Aston Villa,DF,31
,McGinn,SCO,Aston Villa,"MF,FW",30
,Cash,POL,Aston Villa,DF,27
,Torres,ESP,Aston Villa,DF,28
,Ramsey,ENG,Aston Villa,"FW,MF",23
,Kamara,FRA,Aston Villa,MF,25
,Onana,BEL,Aston Villa,MF,23
,Bailey,JAM,Aston Villa,"FW,MF",27
,Mings,ENG,Aston Villa,DF,32
,Maatsen,NED,Aston Villa,DF,23
,Carlos,BRA,Aston Villa,DF,32
,Asensio,ESP,Aston Villa,MF,29
,Disasi,FRA,Aston Villa,DF,27
,Bogarde,NED,Aston Villa,"DF,MF",21
,García,ESP,Aston Villa,"DF,MF",22
,Durán,COL,Aston Villa,FW,21
,Rashford,ENG,Aston Villa,FW,27
,Barkley,ENG,Aston Villa,MF,31
,Jaden Philogene Bidace,ENG,Aston Villa,"FW,MF",23
,Malen,NED,Aston Villa,FW,26
,Olsen,SWE,Aston Villa,GK,35
,Nedeljković,SRB,Aston Villa,DF,19
,Buendía,ARG,Aston Villa,"MF,FW",28
,Broggio,ENG,Aston Villa,FW,18
,Gauci,AUS,Aston Villa,GK,24
,Jimoh,ENG,Aston Villa,MF,18
,Swinkels,NED,Aston Villa,DF,21
,Young,ENG,Aston Villa,MF,19
,Zych,POL,Aston Villa,GK,20
,Kerkez,HUN,Bournemouth,DF,21
,Semenyo,GHA,Bournemouth,FW,25
,Zabarnyi,UKR,Bournemouth,DF,22
,Cook,ENG,Bournemouth,"MF,DF",28
,Arrizabalaga,ESP,Bournemouth,GK,30
,Kluivert,NED,Bournemouth,"MF,FW",26
,Christie,SCO,Bournemouth,MF,30
,Evanilson,BRA,Bournemouth,FW,25
,Huijsen,ESP,Bournemouth,DF,20
,Ouattara,BFA,Bournemouth,FW,23
,Adams,USA,Bournemouth,MF,26
,Tavernier,ENG,Bournemouth,"FW,MF",26
,Smith,ENG,Bournemouth,DF,34
,Senesi,ARG,Bournemouth,DF,28
,Brooks,WAL,Bournemouth,"FW,MF",27
,Scott,ENG,Bournemouth,MF,21
,Hill,ENG,Bournemouth,DF,23
,Araujo,MEX,Bournemouth,DF,23
,Travers,IRL,Bournemouth,GK,25
,Ünal,TUR,Bournemouth,"FW,MF",28
,Neto,BRA,Bournemouth,GK,35
,Sinisterra,COL,Bournemouth,"FW,MF",25
,Billing,DEN,Bournemouth,MF,28
,Aarons,ENG,Bournemouth,DF,25
,Jebbison,ENG,Bournemouth,FW,21
,Winterburn,ENG,Bournemouth,"FW,MF",20
,Soler,ARG,Bournemouth,FW,20
,Rees-Dottin,ENG,Bournemouth,FW,19
,Silcott-Duberry,MSR,Bournemouth,FW,19
,Adu-Adjei,ENG,Bournemouth,FW,19
,Akinmboni,USA,Bournemouth,DF,18
,Anthony,ENG,Bournemouth,"FW,MF",25
,Dennis,ENG,Bournemouth,GK,24
,Harris,ENG,Bournemouth,DF,20
,Hamed Junior Traorè,CIV,Bournemouth,"FW,MF",25
,Mckenna,SCO,Bournemouth,GK,18
,Sadi,ENG,Bournemouth,MF,21
,Wellings,ENG,Bournemouth,DF,20
,Collins,IRL,Brentford,DF,24
,Mbeumo,CMR,Brentford,FW,25
,Flekken,NED,Brentford,GK,31
,Lewis-Potter,ENG,Brentford,"DF,FW",24
,Damsgaard,DEN,Brentford,"MF,FW",24
,Wissa,COD,Brentford,FW,28
,Nørgaard,DEN,Brentford,MF,31
,Sepp van den Berg,NED,Brentford,DF,23
,Janelt,GER,Brentford,MF,27
,Schade,GER,Brentford,FW,23
,Pinnock,JAM,Brentford,DF,31
,Ajer,NOR,Brentford,DF,27
,Yarmoliuk,UKR,Brentford,MF,21
,Roerslev,DEN,Brentford,DF,25
,Jensen,DEN,Brentford,MF,29
,Kayode,ITA,Brentford,DF,20
,Carvalho,POR,Brentford,"FW,MF",22
,Mee,ENG,Brentford,DF,35
,Thiago,BRA,Brentford,FW,23
,Hákon Rafn Valdimarsson,ISL,Brentford,GK,23
,Maghoma,ENG,Brentford,"MF,FW",24
,Henry,ENG,Brentford,DF,27
,Yunus Emre Konak,TUR,Brentford,"FW,MF",19
,Jisoo,KOR,Brentford,DF,20
,Onyeka,NGA,Brentford,MF,27
,Nunes,BRA,Brentford,"FW,MF",19
,Meghoma,ENG,Brentford,DF,18
,Trevitt,ENG,Brentford,MF,22
,Arthur,ENG,Brentford,DF,19
,Eyestone,USA,Brentford,GK,19
,Fredrick,NGA,Brentford,DF,19
,Morgan,WAL,Brentford,FW,19
,Peart-Harris,ENG,Brentford,MF,22
,Yogane,ENG,Brentford,MF,19
,Verbruggen,NED,Brighton,GK,22
,Jan Paul van Hecke,NED,Brighton,DF,24
,Baleba,CMR,Brighton,MF,21
,Mitoma,JPN,Brighton,"FW,MF",27
,Estupiñán,ECU,Brighton,DF,27
,Dunk,ENG,Brighton,DF,33
,Welbeck,ENG,Brighton,FW,34
,Pedro,BRA,Brighton,"FW,MF",23
,Hinshelwood,ENG,Brighton,"DF,MF",20
,Ayari,SWE,Brighton,MF,21
,Veltman,NED,Brighton,DF,33
,Rutter,FRA,Brighton,"MF,FW",23
,Minteh,GAM,Brighton,"FW,MF",20
