player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
David Raya,Arsenal,1420,839,1335,85,0,0,1420,1,1,100.0,0,0.0,888,4389,2637,0,0,0,1,0,815,0
William Saliba,Arsenal,2790,186,1113,1552,141,18,2790,19,12,63.2,6,31.6,1731,7537,4112,16,17,1,19,8,2113,6
Declan Rice,Arsenal,1839,71,302,863,693,77,1839,28,13,46.4,14,50.0,977,6149,3274,88,54,16,36,29,1204,92
Thomas Partey,Arsenal,2057,69,435,1129,505,30,2057,35,24,68.6,9,25.7,1167,6257,3355,33,38,3,23,16,1464,48
Gabriel Magalhães,Arsenal,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11
Leandro Trossard,Arsenal,1202,15,124,379,717,152,1202,77,33,42.9,34,44.2,773,4745,2130,79,52,29,60,47,898,216
Jurriën Timber,Arsenal,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104
Martin Ødegaard,Arsenal,1621,7,117,687,832,111,1620,56,23,41.1,31,55.4,1120,7115,3656,89,80,24,36,38,1281,146
Gabriel Martinelli,Arsenal,917,16,90,234,607,173,917,106,32,30.2,58,54.7,618,4565,2428,116,30,60,49,34,698,276
Kai Havertz,Arsenal,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110
Bukayo Saka,Arsenal,912,6,53,203,665,151,911,87,39,44.8,36,41.4,586,3963,2274,89,30,46,33,38,663,241
Mikel Merino,Arsenal,761,36,137,320,314,75,761,22,9,40.9,9,40.9,378,1465,716,10,13,4,23,25,492,92
Myles Lewis-Skelly,Arsenal,829,23,156,452,235,14,829,28,12,42.9,9,32.1,479,2446,1511,32,23,5,12,8,567,36
Ben White,Arsenal,682,47,191,313,182,22,682,5,0,0.0,4,80.0,322,1272,725,16,13,4,8,4,407,33
Riccardo Calafiori,Arsenal,630,30,161,251,222,29,630,13,9,69.2,3,23.1,291,1572,839,21,12,3,12,5,377,29
Ethan Nwaneri,Arsenal,496,3,43,160,298,40,496,55,32,58.2,17,30.9,334,2641,1243,44,23,16,21,17,362,102
Jorginho,Arsenal,519,9,92,303,130,3,519,4,1,25.0,2,50.0,302,1498,874,12,13,0,10,9,388,6
Jakub Kiwior,Arsenal,707,75,233,417,57,4,707,4,3,75.0,1,25.0,408,1651,924,5,5,1,3,1,530,1
Gabriel Jesus,Arsenal,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57
Raheem Sterling,Arsenal,247,2,8,52,190,37,247,25,9,36.0,9,36.0,178,1278,690,25,9,15,11,14,188,73
Oleksandr Zinchenko,Arsenal,413,13,77,207,130,18,413,4,3,75.0,0,0.0,235,1151,509,10,5,3,3,4,287,12
