player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
David Raya,ESP,GK,28,38.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,21,9
William Saliba,FRA,DF,23,33.8,62,37,37,23,2,21,28,75.0,7,25,15,10,21,83,119,7
Declan Rice,ENG,MF,25,31.4,53,25,22,25,6,17,41,41.5,24,27,13,14,25,78,51,0
Thomas Partey,GHA,"MF,DF",31,31.1,89,53,26,39,24,46,76,60.5,30,29,9,20,35,124,49,4
Leandro Trossard,BEL,FW,29,28.3,31,20,6,16,9,12,34,35.3,22,32,0,32,9,40,18,0
Gabriel Magalhães,BRA,DF,26,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2
Jurriën Timber,NED,DF,23,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1
Martin Ødegaard,NOR,MF,25,25.8,19,11,9,7,3,4,25,16.0,21,5,0,5,6,25,6,1
Gabriel Martinelli,BRA,"FW,MF",23,25.4,23,15,9,6,8,7,23,30.4,16,15,0,15,5,28,19,0
Kai Havertz,GER,"FW,MF",25,20.8,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
Bukayo Saka,ENG,"FW,MF",22,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0
Mikel Merino,ESP,"MF,FW",28,17.6,46,28,7,26,13,20,36,55.6,16,18,5,13,15,61,26,2
Myles Lewis-Skelly,ENG,DF,17,15.2,22,14,10,9,3,10,11,90.9,1,4,1,3,7,29,27,0
Ben White,ENG,DF,26,13.3,20,14,10,4,6,16,38,42.1,22,10,8,2,16,36,44,0
Riccardo Calafiori,ITA,DF,22,10.9,27,19,15,10,2,18,29,62.1,11,12,6,6,9,36,25,0
Ethan Nwaneri,ENG,"FW,MF",17,9.9,11,7,4,4,3,7,21,33.3,14,8,2,6,2,13,4,1
Jakub Kiwior,POL,DF,24,12.5,22,8,13,7,2,11,15,73.3,4,13,8,5,6,28,58,3
Jorginho,ITA,MF,32,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2
Raheem Sterling,ENG,"FW,MF",29,5.5,9,4,1,3,5,5,10,50.0,5,3,0,3,1,10,4,0
Gabriel Jesus,BRA,FW,27,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0
Oleksandr Zinchenko,UKR,"DF,MF",27,5.9,6,1,1,3,2,3,8,37.5,5,8,1,7,5,11,10,0
Kieran Tierney,SCO,"DF,FW",27,2.9,7,5,4,1,2,4,6,66.7,2,0,0,0,3,10,9,0
Nathan Butler-Oyedeji,ENG,FW,21,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,JPN,DF,25,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Reiss Nelson,ENG,FW,24,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Squad Total,,,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33
Opponent Total,,,26,38.0,698,420,406,214,78,316,636,49.7,320,410,180,230,261,959,1038,38
