player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Emiliano Martínez,ARG,GK,31,35.5,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6
Morgan Rogers,ENG,"FW,MF",22,34.6,43,22,15,15,13,24,47,51.1,23,26,7,19,6,49,20,2
Youri Tielemans,BEL,MF,27,33.6,84,58,32,44,8,40,73,54.8,33,38,16,22,23,107,47,4
Ezri Konsa,ENG,DF,26,32.6,34,18,20,10,4,20,25,80.0,5,20,11,9,24,58,114,4
Ollie Watkins,ENG,FW,28,28.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
Lucas Digne,FRA,DF,31,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
John McGinn,SCO,"MF,FW",29,24.7,33,24,10,14,9,13,31,41.9,18,22,2,20,14,47,18,3
Matty Cash,POL,DF,26,23.0,56,32,29,21,6,31,43,72.1,12,22,8,14,23,79,70,2
Pau Torres,ESP,DF,27,22.4,21,15,11,8,2,10,17,58.8,7,16,11,5,10,31,75,2
Boubacar Kamara,FRA,MF,24,19.2,50,21,28,18,4,29,56,51.8,27,19,7,12,19,69,51,3
Amadou Onana,BEL,MF,22,18.0,55,30,23,26,6,16,29,55.2,13,16,7,9,26,81,41,3
Jacob Ramsey,ENG,"FW,MF",23,18.0,30,15,14,10,6,10,20,50.0,10,23,4,19,8,38,8,1
Leon Bailey,JAM,"FW,MF",26,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
Tyrone Mings,ENG,DF,31,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
Ian Maatsen,NED,DF,22,12.7,29,17,17,9,3,17,24,70.8,7,13,0,13,15,44,39,3
Marco Asensio,ESP,MF,28,8.3,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
Diego Carlos,BRA,DF,31,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2
Axel Disasi,FRA,DF,26,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0
Lamare Bogarde,NED,"DF,MF",20,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
Andrés García,ESP,"DF,MF",21,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2
Jáder Durán,COL,FW,20,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
Marcus Rashford,ENG,FW,26,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
Ross Barkley,ENG,MF,30,6.5,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
Jaden Philogene Bidace,ENG,"FW,MF",22,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
Donyell Malen,NED,FW,25,3.4,7,4,3,3,1,1,4,25.0,3,2,0,2,0,7,1,0
Robin Olsen,SWE,GK,34,2.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
Kosta Nedeljković,SRB,DF,18,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
Emi Buendía,ARG,"MF,FW",27,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0
Squad Total,,,27,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43
Opponent Total,,,26,38.0,685,387,322,258,105,299,626,47.8,327,419,136,283,347,1032,869,30
