player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Moisés Caicedo,ECU,"MF,DF",23,35.2,107,67,40,52,15,51,82,62.2,31,46,10,36,49,156,56,1
Cole Palmer,ENG,MF,23,33.5,28,17,11,10,7,9,23,39.1,14,15,1,14,11,39,18,1
Levi Colwill,ENG,DF,22,33.0,45,32,24,18,3,17,26,65.4,9,36,25,11,32,77,108,4
Marc Cucurella,ESP,DF,26,31.2,61,39,30,26,5,27,54,50.0,27,46,15,31,25,86,86,3
Enzo Fernández,ARG,MF,24,30.7,64,32,17,29,18,31,84,36.9,53,38,7,31,13,77,22,4
Robert Sánchez,ESP,GK,27,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,22,9
Nicolas Jackson,SEN,FW,23,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
Noni Madueke,ENG,FW,23,20.6,22,15,7,12,3,13,36,36.1,23,17,0,17,8,30,11,0
Pedro Neto,POR,FW,25,23.4,22,9,9,9,4,8,19,42.1,11,14,2,12,9,31,6,0
Malo Gusto,FRA,DF,21,20.5,44,28,27,15,2,25,48,52.1,23,29,8,21,24,68,48,5
Jadon Sancho,ENG,FW,25,18.9,11,7,3,2,6,5,12,41.7,7,10,0,10,2,13,6,2
Wesley Fofana,FRA,DF,24,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2
Tosin Adarabioyo,ENG,DF,27,13.7,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,62,0
Trevoh Chalobah,ENG,DF,25,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1
Roméo Lavia,BEL,MF,21,8.4,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
Reece James,ENG,"DF,MF",25,9.8,9,9,5,3,1,3,9,33.3,6,12,4,8,13,22,18,4
Christopher Nkunku,FRA,FW,27,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
Filip Jørgensen,DEN,GK,23,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
Axel Disasi,FRA,DF,27,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
João Félix,POR,"FW,MF",25,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
Benoît Badiashile,FRA,DF,24,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
Kiernan Dewsbury-Hall,ENG,"MF,FW",26,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1
Joshua Acheampong,ENG,DF,19,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
Renato Veiga,POR,"DF,MF",21,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
Mykhailo Mudryk,UKR,FW,24,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
Tyrique George,ENG,FW,19,1.1,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,1,0
Marc Guiu,ESP,FW,19,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Mathis Amougou,FRA,MF,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Shumaira Mheuka,ENG,MF,17,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,24,36.0,555,346,233,232,90,259,516,50.2,257,339,100,239,263,818,640,44
Opponent Total,,,27,36.0,596,346,299,229,68,314,629,49.9,315,409,166,243,279,875,845,40
