player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Jordan Pickford,ENG,GK,30,38.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,30,2
Vitaliy Mykolenko,UKR,DF,25,34.2,63,38,39,14,10,29,56,51.8,27,25,10,15,44,107,145,2
Idrissa Gana Gueye,SEN,MF,34,34.0,133,80,61,55,17,58,99,58.6,41,48,9,39,48,181,36,1
James Tarkowski,ENG,DF,31,32.5,64,40,39,22,3,24,39,61.5,15,57,42,15,41,105,213,4
Abdoulaye Doucouré,MLI,MF,31,28.5,48,28,21,20,7,14,43,32.6,29,31,6,25,10,58,20,1
Iliman Ndiaye,SEN,FW,24,27.0,53,28,20,16,17,22,49,44.9,27,30,5,25,20,73,24,1
Jarrad Branthwaite,ENG,DF,22,27.9,36,20,26,10,0,20,28,71.4,8,31,23,8,27,63,191,4
Jack Harrison,ENG,FW,27,23.1,32,22,12,12,8,15,46,32.6,31,18,2,16,10,42,35,2
Ashley Young,ENG,DF,39,20.8,58,33,25,25,8,35,57,61.4,22,14,4,10,25,83,64,2
Dominic Calvert-Lewin,ENG,FW,27,17.9,9,7,1,4,4,2,6,33.3,4,7,2,5,7,16,23,0
James Garner,ENG,"MF,DF",23,17.7,47,31,25,20,2,24,41,58.5,17,20,4,16,23,70,37,0
Jake O'Brien,IRL,DF,23,17.5,26,17,21,5,0,17,25,68.0,8,17,4,13,4,30,93,0
Beto,GNB,FW,26,17.0,14,6,2,8,4,5,8,62.5,3,12,2,10,4,18,24,1
Dwight McNeil,ENG,"MF,FW",24,15.2,13,8,6,5,2,9,21,42.9,12,7,0,7,6,19,2,1
Jesper Lindstrøm,DEN,FW,24,13.8,45,25,24,19,2,19,55,34.5,36,15,3,12,12,57,17,0
Orel Mangala,BEL,MF,26,14.0,16,8,3,11,2,5,8,62.5,3,8,3,5,21,37,24,1
Michael Keane,ENG,DF,31,11.7,12,9,8,2,2,8,15,53.3,7,14,10,4,16,28,65,2
Carlos Alcaraz,ARG,"FW,MF",21,8.5,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0
Tim Iroegbunam,ENG,MF,21,6.4,29,14,14,10,5,14,23,60.9,9,18,4,14,16,45,12,1
Armando Broja,ALB,FW,22,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0
Nathan Patterson,SCO,DF,22,3.9,11,6,7,4,0,7,14,50.0,7,2,0,2,2,13,7,0
Séamus Coleman,IRL,DF,35,2.4,3,2,2,1,0,3,4,75.0,1,5,3,2,1,4,8,0
Roman Dixon,ENG,DF,19,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0
Harrison Armstrong,ENG,MF,17,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Youssef Chermiti,POR,"FW,MF",20,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Mason Holgate,JAM,"FW,DF",27,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,28,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25
Opponent Total,,,26,38.0,695,424,322,276,97,305,588,51.9,283,349,103,246,235,930,924,25
