player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Jamie Vardy,ENG,FW,37,31.4,19,13,7,7,5,4,13,30.8,9,8,4,4,5,24,24,0
James Justin,ENG,DF,26,32.4,58,37,29,23,6,32,55,58.2,23,48,17,31,46,104,141,3
Wout Faes,BEL,DF,26,31.3,42,26,26,14,2,25,48,52.1,23,48,35,13,26,68,185,4
Victor Bernth Kristiansen,DEN,DF,21,27.6,87,51,56,26,5,49,91,53.8,42,38,15,23,42,129,75,3
Wilfred Ndidi,NGA,MF,27,25.8,85,51,45,32,8,30,61,49.2,31,47,19,28,31,116,80,0
Mads Hermansen,DEN,GK,24,26.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,13,4
Bilal El Khannouss,MAR,"MF,FW",20,24.2,50,30,16,29,5,17,32,53.1,15,22,4,18,6,56,10,3
Boubakary Soumaré,FRA,MF,25,24.1,37,20,24,12,1,21,33,63.6,12,22,10,12,27,64,34,4
Conor Coady,ENG,DF,31,19.0,13,9,6,6,1,3,6,50.0,3,32,24,8,13,26,71,2
Jordan Ayew,GHA,"FW,MF",32,18.2,27,15,8,14,5,7,23,30.4,16,21,2,19,12,39,19,0
Harry Winks,ENG,MF,28,17.1,24,11,12,10,2,13,30,43.3,17,19,7,12,9,33,20,0
Stephy Mavididi,ENG,FW,26,17.9,34,19,16,10,8,14,42,33.3,28,26,2,24,11,45,15,0
Jannik Vestergaard,DEN,DF,31,15.5,22,10,16,6,0,9,15,60.0,6,21,14,7,16,38,74,1
Facundo Buonanotte,ARG,"FW,MF",19,16.9,53,32,17,22,14,21,67,31.3,46,34,6,28,12,65,14,0
Luke Thomas,ENG,DF,23,12.3,31,25,23,5,3,21,41,51.2,20,15,6,9,21,52,49,1
Caleb Okoli,ITA,DF,23,12.5,25,14,8,15,2,11,18,61.1,7,24,14,10,15,40,79,3
Oliver Skipp,ENG,MF,23,12.5,21,4,6,12,3,9,15,60.0,6,23,7,16,11,32,11,2
Jakub Stolarczyk,POL,GK,23,10.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,6,1
Kasey McAteer,IRL,FW,22,9.5,23,16,11,9,3,14,29,48.3,15,18,2,16,5,28,15,0
Bobby De Cordova-Reid,JAM,FW,31,8.3,9,4,3,6,0,4,14,28.6,10,6,1,5,0,9,10,0
Patson Daka,ZAM,"FW,MF",25,8.2,19,10,6,9,4,7,18,38.9,11,7,1,6,1,20,12,0
Abdul Fatawu Issahaku,GHA,FW,20,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0
Ricardo Pereira,POR,DF,30,4.3,13,8,4,6,3,7,14,50.0,7,8,3,5,4,17,11,0
Danny Ward,WAL,GK,31,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Hamza Choudhury,BAN,"MF,DF",26,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0
Woyo Coulibaly,MLI,DF,25,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0
Jeremy Monga,,"FW,MF",na,1.2,2,1,0,1,1,1,1,100.0,0,3,2,1,0,2,1,0
Odsonne Édouard,FRA,FW,26,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
Jake Evans,,FW,na,0.3,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0
Olabade Aluko,,DF,na,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Will Alves,ENG,FW,19,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Michael Golding,ENG,MF,18,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,26,38.0,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31
Opponent Total,,,26,38.0,640,411,223,288,129,304,568,53.5,264,355,95,260,269,909,807,23
