player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Matz Sels,BEL,GK,32,38.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,26,1
Nikola Milenković,SRB,DF,26,37.0,51,29,36,13,2,27,34,79.4,7,41,24,17,27,78,209,1
Murillo,BRA,DF,22,35.4,53,36,38,12,3,27,46,58.7,19,69,45,24,36,89,249,3
Ola Aina,NGA,DF,27,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4
Chris Wood,NZL,FW,32,32.9,6,5,2,2,2,3,11,27.3,8,12,7,5,5,11,29,1
Morgan Gibbs-White,ENG,MF,24,31.1,43,22,14,23,6,17,33,51.5,16,18,5,13,23,66,29,1
Elliot Anderson,ENG,MF,21,30.3,92,56,54,29,9,48,111,43.2,63,48,9,39,31,123,76,4
Anthony Elanga,SWE,"FW,MF",22,27.8,19,14,8,8,3,5,17,29.4,12,11,1,10,6,25,25,0
Neco Williams,WAL,DF,23,28.8,90,57,63,19,8,53,86,61.6,33,42,10,32,31,121,137,3
Callum Hudson-Odoi,ENG,"FW,MF",23,24.4,22,14,8,8,6,12,18,66.7,6,11,0,11,13,35,12,1
Nicolás Domínguez,ARG,"MF,FW",26,21.8,86,45,40,35,11,36,76,47.4,40,38,12,26,29,115,54,1
Ryan Yates,ENG,MF,26,21.3,42,21,24,14,4,17,37,45.9,20,38,10,28,26,68,61,1
Álex Moreno,ESP,"DF,MF",31,10.6,25,18,20,5,0,15,39,38.5,24,11,5,6,15,40,43,0
Ibrahim Sangaré,CIV,MF,26,6.6,28,14,8,17,3,8,17,47.1,9,10,4,6,6,34,13,1
Morato,BRA,DF,23,10.1,22,14,18,3,1,13,21,61.9,8,14,5,9,10,32,78,2
Jota Silva,POR,"FW,MF",24,9.5,27,14,12,13,2,6,27,22.2,21,9,1,8,12,39,17,0
James Ward-Prowse,ENG,MF,29,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0
Danilo,BRA,"MF,FW",23,3.1,8,4,7,1,0,3,6,50.0,3,2,1,1,4,12,3,0
Taiwo Awoniyi,NGA,FW,26,4.6,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0
Ramón Sosa,PAR,"FW,MF",24,3.3,5,3,3,0,2,1,5,20.0,4,9,0,9,4,9,5,0
Willy Boly,CIV,DF,33,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0
Harry Toffolo,ENG,DF,28,1.5,5,3,3,1,1,3,4,75.0,1,2,2,0,2,7,12,0
Eric da Silva Moreira,GER,"MF,DF",18,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0
Squad Total,,,26,38.0,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24
Opponent Total,,,26,38.0,557,365,252,211,94,233,492,47.4,259,356,122,234,265,822,896,37
