player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Emiliano Martínez,ARG,GK,31,35.5,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Morgan Rogers,ENG,"FW,MF",22,34.6,105,3.04,80,0,13,7,5,0,16,0.46,14,0,1,0,1,0
Youri Tielemans,BEL,MF,27,33.6,122,3.63,79,31,3,6,2,1,12,0.36,9,3,0,0,0,0
Ezri Konsa,ENG,DF,26,32.6,24,0.74,19,2,1,2,0,0,3,0.09,3,0,0,0,0,0
Ollie Watkins,ENG,FW,28,28.9,53,1.84,36,0,4,7,6,0,12,0.42,8,0,1,1,2,0
Lucas Digne,FRA,DF,31,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0
John McGinn,SCO,"MF,FW",29,24.7,76,3.08,56,9,1,4,5,1,8,0.32,6,2,0,0,0,0
Matty Cash,POL,DF,26,23.0,25,1.09,22,1,1,0,0,1,4,0.17,3,0,0,0,0,1
Pau Torres,ESP,DF,27,22.4,14,0.62,11,0,0,3,0,0,2,0.09,1,0,0,1,0,0
Boubacar Kamara,FRA,MF,24,19.2,27,1.41,20,1,1,2,1,2,2,0.1,2,0,0,0,0,0
Amadou Onana,BEL,MF,22,18.0,32,1.78,25,2,1,4,0,0,4,0.22,2,1,0,1,0,0
Jacob Ramsey,ENG,"FW,MF",23,18.0,51,2.83,40,0,4,1,6,0,8,0.44,7,0,0,0,1,0
Leon Bailey,JAM,"FW,MF",26,12.7,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0
Tyrone Mings,ENG,DF,31,12.4,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0
Ian Maatsen,NED,DF,22,12.7,52,4.11,38,3,5,5,0,1,7,0.55,6,0,1,0,0,0
Marco Asensio,ESP,MF,28,8.3,35,4.24,22,7,1,1,3,1,3,0.36,2,0,0,1,0,0
Diego Carlos,BRA,DF,31,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Axel Disasi,FRA,DF,26,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Lamare Bogarde,NED,"DF,MF",20,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0
Andrés García,ESP,"DF,MF",21,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jáder Durán,COL,FW,20,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
Marcus Rashford,ENG,FW,26,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0
Ross Barkley,ENG,MF,30,6.5,18,2.78,15,1,2,0,0,0,3,0.46,3,0,0,0,0,0
Jaden Philogene Bidace,ENG,"FW,MF",22,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Donyell Malen,NED,FW,25,3.4,6,1.76,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Robin Olsen,SWE,GK,34,2.5,2,0.8,0,2,0,0,0,0,1,0.4,0,1,0,0,0,0
Kosta Nedeljković,SRB,DF,18,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emi Buendía,ARG,"MF,FW",27,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27,38.0,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2
Opponent Total,,,26,38.0,818,21.53,637,52,38,46,29,16,86,2.26,66,3,5,4,5,3
