player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Nathan Collins,IRL,DF,24,36.0,30,0.83,22,2,1,3,2,0,8,0.22,4,1,0,1,2,0
Bryan Mbeumo,CMR,FW,25,35.9,138,3.84,93,23,10,8,4,0,19,0.53,10,3,2,3,1,0
Mark Flekken,NED,GK,31,34.4,10,0.29,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0
Keane Lewis-Potter,ENG,"DF,FW",24,32.5,70,2.15,55,0,5,3,6,1,8,0.25,6,0,0,0,2,0
Mikkel Damsgaard,DEN,"MF,FW",24,30.5,116,3.81,88,14,6,2,1,5,21,0.69,15,3,1,0,1,1
Yoane Wissa,COD,FW,28,30.4,64,2.1,37,1,4,11,10,1,8,0.26,7,0,0,0,1,0
Christian Nørgaard,DEN,MF,31,29.3,51,1.74,42,0,0,6,2,1,11,0.38,10,0,0,0,1,0
Sepp van den Berg,NED,DF,23,26.7,21,0.79,19,0,0,1,1,0,2,0.07,1,0,0,0,1,0
Vitaly Janelt,GER,MF,27,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
Kevin Schade,GER,FW,23,23.8,54,2.27,33,6,6,4,4,1,9,0.38,5,0,1,3,0,0
Ethan Pinnock,JAM,DF,31,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0
Kristoffer Ajer,NOR,DF,27,15.6,18,1.15,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
Yehor Yarmoliuk,UKR,MF,21,14.3,24,1.68,19,0,2,1,1,1,2,0.14,2,0,0,0,0,0
Mads Roerslev,DEN,DF,25,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
Mathias Jensen,DEN,MF,29,9.3,38,4.09,27,10,1,0,0,0,5,0.54,2,2,1,0,0,0
Michael Kayode,ITA,DF,20,4.2,16,3.78,9,4,1,1,1,0,3,0.71,3,0,0,0,0,0
Fabio Carvalho,POR,"FW,MF",22,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
Ben Mee,ENG,DF,35,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thiago,BRA,FW,23,1.6,2,1.22,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Hákon Rafn Valdimarsson,ISL,GK,23,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Edmond-Paris Maghoma,ENG,"MF,FW",24,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Rico Henry,ENG,DF,27,0.9,1,1.08,1,0,0,0,0,0,1,1.08,1,0,0,0,0,0
Yunus Emre Konak,TUR,"FW,MF",19,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kim Jisoo,KOR,DF,20,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Frank Onyeka,NGA,MF,27,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gustavo Nunes,BRA,"FW,MF",19,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jayden Meghoma,ENG,DF,18,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ryan Trevitt,ENG,MF,22,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26,36.0,743,20.64,542,70,39,47,34,11,108,3.0,75,11,5,7,9,1
Opponent Total,,,27,36.0,1089,30.25,861,64,55,66,28,15,88,2.44,78,0,3,5,1,1
