player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Bart Verbruggen,NED,GK,21,36.0,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Jan Paul van Hecke,NED,DF,24,32.9,52,1.58,46,2,0,3,1,0,3,0.09,3,0,0,0,0,0
Carlos Baleba,CMR,MF,20,29.6,66,2.23,55,0,2,5,1,3,4,0.14,2,0,0,0,1,1
Kaoru Mitoma,JPN,"FW,MF",27,28.9,87,3.01,73,0,6,3,4,1,10,0.35,9,0,0,0,1,0
Pervis Estupiñán,ECU,DF,26,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0
Danny Welbeck,ENG,FW,33,23.5,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0
Lewis Dunk,ENG,DF,32,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
João Pedro,BRA,"FW,MF",22,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0
Yasin Ayari,SWE,MF,20,21.8,61,2.79,36,13,3,3,4,2,6,0.27,4,2,0,0,0,0
Jack Hinshelwood,ENG,"MF,DF",19,20.5,35,1.71,28,4,0,2,1,0,3,0.15,3,0,0,0,0,0
Yankuba Minteh,GAM,"FW,MF",20,20.4,64,3.14,37,8,13,3,2,1,13,0.64,6,0,6,1,0,0
Joël Veltman,NED,DF,32,18.9,23,1.22,16,2,2,1,2,0,2,0.11,1,1,0,0,0,0
Georginio Rutter,FRA,"MF,FW",22,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0
Simon Adingra,CIV,"FW,MF",22,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0
Matt O'Riley,DEN,MF,23,10.4,40,3.84,23,11,1,2,1,2,5,0.48,4,0,0,0,1,0
Adam Webster,ENG,DF,29,9.9,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0
Mats Wieffer,NED,"DF,MF",24,11.3,32,2.83,28,0,0,2,2,0,6,0.53,5,0,0,0,1,0
Igor,BRA,DF,26,10.7,14,1.31,12,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Tariq Lamptey,GHA,DF,23,9.6,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1
Brajan Gruda,GER,"MF,FW",20,7.6,39,5.1,29,6,3,0,1,0,6,0.78,4,2,0,0,0,0
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
Diego Gómez,PAR,MF,21,5.7,19,3.32,14,3,0,1,1,0,4,0.7,2,1,0,0,1,0
James Milner,ENG,MF,38,1.9,8,4.24,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Julio Enciso,PAR,"MF,FW",20,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0
Evan Ferguson,IRL,FW,19,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jason Steele,ENG,GK,33,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Solly March,ENG,"FW,MF",30,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
Billy Gilmour,SCO,MF,23,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eiran Cashin,IRL,DF,22,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jakub Moder,POL,MF,25,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jeremy Sarmiento,ECU,MF,22,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Harry Howell,ENG,FW,15,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,24,38.0,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2
Opponent Total,,,26,38.0,746,19.63,539,69,49,44,35,10,97,2.55,64,6,7,9,10,1
