player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Moisés Caicedo,ECU,"MF,DF",23,35.2,94,2.67,82,0,2,0,3,7,9,0.26,6,0,0,0,2,1
Cole Palmer,ENG,MF,23,33.5,194,5.8,128,21,16,20,7,2,15,0.45,11,0,2,1,1,0
Levi Colwill,ENG,DF,22,33.0,38,1.15,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1
Marc Cucurella,ESP,DF,26,31.2,48,1.54,42,3,0,2,1,0,5,0.16,4,1,0,0,0,0
Enzo Fernández,ARG,MF,24,30.7,144,4.69,113,16,2,4,4,5,16,0.52,13,2,0,1,0,0
Robert Sánchez,ESP,GK,27,30.0,7,0.23,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0
Nicolas Jackson,SEN,FW,23,24.7,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0
Noni Madueke,ENG,FW,23,20.6,77,3.73,55,0,10,7,4,1,8,0.39,5,0,0,1,1,1
Pedro Neto,POR,FW,25,23.4,88,3.77,64,8,6,6,4,0,8,0.34,5,1,2,0,0,0
Malo Gusto,FRA,DF,21,20.5,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0
Jadon Sancho,ENG,FW,25,18.9,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0
Wesley Fofana,FRA,DF,24,13.0,15,1.15,12,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Tosin Adarabioyo,ENG,DF,27,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0
Trevoh Chalobah,ENG,DF,25,10.1,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1
Roméo Lavia,BEL,MF,21,8.4,14,1.66,13,0,0,0,0,1,2,0.24,2,0,0,0,0,0
Reece James,ENG,"DF,MF",25,9.8,16,1.63,10,5,0,1,0,0,1,0.1,0,0,0,1,0,0
Christopher Nkunku,FRA,FW,27,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0
Filip Jørgensen,DEN,GK,23,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Axel Disasi,FRA,DF,27,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
João Félix,POR,"FW,MF",25,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
Benoît Badiashile,FRA,DF,24,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,ENG,"MF,FW",26,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Joshua Acheampong,ENG,DF,19,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Renato Veiga,POR,"DF,MF",21,2.0,1,0.49,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Mykhailo Mudryk,UKR,FW,24,1.7,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Tyrique George,ENG,FW,19,1.1,6,5.24,5,0,1,0,0,0,1,0.87,1,0,0,0,0,0
Marc Guiu,ESP,FW,19,0.8,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mathis Amougou,FRA,MF,19,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Shumaira Mheuka,ENG,MF,17,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,24,36.0,1031,28.64,789,58,57,67,38,22,106,2.94,74,5,8,8,7,4
Opponent Total,,,27,36.0,673,18.69,497,53,38,30,39,16,73,2.03,48,5,9,4,5,2
