player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Jordan Pickford,ENG,GK,31,36.0,12,0.33,11,1,0,0,0,0,2,0.06,2,0,0,0,0,0
James Tarkowski,ENG,DF,32,32.5,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0
Vitaliy Mykolenko,UKR,DF,25,32.2,38,1.18,36,0,1,1,0,0,3,0.09,2,0,0,1,0,0
Idrissa Gana Gueye,SEN,MF,35,32.0,56,1.75,48,0,1,2,3,2,3,0.09,3,0,0,0,0,0
Abdoulaye Doucouré,MLI,MF,32,27.6,56,2.03,50,0,3,2,0,1,3,0.11,2,0,0,0,0,1
Jarrad Branthwaite,ENG,DF,22,27.1,13,0.48,11,1,0,0,1,0,2,0.07,1,1,0,0,0,0
Iliman Ndiaye,SEN,FW,25,25.4,61,2.41,47,0,7,1,6,0,6,0.24,4,0,1,0,1,0
Jack Harrison,ENG,FW,28,21.8,56,2.57,38,8,4,2,4,0,4,0.18,1,0,0,1,2,0
Dominic Calvert-Lewin,ENG,FW,28,17.7,25,1.42,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0
Ashley Young,ENG,"DF,FW",39,19.0,42,2.21,31,7,0,1,2,1,6,0.32,4,0,0,1,0,1
James Garner,ENG,"MF,DF",24,15.7,33,2.1,24,9,0,0,0,0,5,0.32,4,1,0,0,0,0
Jake O'Brien,IRL,DF,23,15.5,16,1.04,14,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Jesper Lindstrøm,DEN,FW,25,13.8,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0
Dwight McNeil,ENG,"MF,FW",25,14.4,64,4.46,35,20,4,2,2,1,8,0.56,4,2,1,0,0,1
Orel Mangala,BEL,MF,27,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0
Beto,GNB,FW,27,15.1,20,1.33,13,0,3,2,2,0,1,0.07,1,0,0,0,0,0
Michael Keane,ENG,DF,32,10.5,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlos Alcaraz,ARG,"FW,MF",22,7.4,29,3.94,23,1,3,1,1,0,6,0.81,5,0,0,1,0,0
Tim Iroegbunam,ENG,MF,21,6.4,10,1.57,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0
Armando Broja,ALB,FW,23,3.7,7,1.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nathan Patterson,SCO,DF,23,3.9,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0
Séamus Coleman,IRL,DF,36,2.2,2,0.91,1,0,1,0,0,0,1,0.45,1,0,0,0,0,0
Roman Dixon,ENG,DF,20,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Harrison Armstrong,ENG,MF,18,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Youssef Chermiti,POR,"FW,MF",20,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mason Holgate,ENG,"FW,DF",28,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28,36.0,666,18.5,503,58,40,26,29,10,62,1.72,42,4,4,4,5,3
Opponent Total,,,27,36.0,805,22.36,602,68,43,51,28,13,74,2.06,58,2,5,5,1,3
