player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Bernd Leno,GER,GK,32,38.0,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Antonee Robinson,USA,DF,26,35.2,80,2.27,74,1,2,2,0,1,11,0.31,11,0,0,0,0,0
Alex Iwobi,NGA,"FW,MF",28,33.1,122,3.68,106,0,8,6,2,0,16,0.48,13,0,2,1,0,0
Calvin Bassey,NGA,DF,24,34.2,23,0.67,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1
Raúl Jiménez,MEX,FW,33,27.7,66,2.38,48,1,2,9,5,1,7,0.25,4,0,0,1,1,1
Joachim Andersen,DEN,DF,28,28.7,35,1.23,27,1,0,7,0,0,2,0.07,1,1,0,0,0,0
Saša Lukić,SRB,MF,27,26.0,55,2.11,36,12,0,5,1,1,4,0.15,3,0,0,1,0,0
Sander Berge,NOR,MF,26,24.7,48,1.94,43,1,1,1,0,2,2,0.08,2,0,0,0,0,0
Emile Smith Rowe,ENG,MF,24,22.7,73,3.22,57,0,3,8,2,3,12,0.53,10,0,1,0,0,1
Andreas Pereira,BRA,MF,28,22.4,104,4.65,54,41,0,4,4,1,8,0.36,4,2,0,0,2,0
Kenny Tete,NED,DF,28,19.7,36,1.83,28,0,2,3,2,1,4,0.2,4,0,0,0,0,0
Adama Traoré,ESP,"FW,MF",28,19.7,82,4.16,66,0,9,4,1,2,10,0.51,9,0,1,0,0,0
Timothy Castagne,BEL,DF,28,18.3,25,1.36,21,0,1,2,1,0,3,0.16,2,0,0,1,0,0
Issa Diop,FRA,DF,27,14.9,6,0.4,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Harry Wilson,WAL,"FW,MF",27,12.9,44,3.41,30,6,0,5,2,1,3,0.23,2,0,0,0,1,0
Rodrigo Muniz,BRA,FW,23,10.7,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0
Ryan Sessegnon,ENG,"FW,DF",24,6.4,24,3.72,20,0,1,2,1,0,4,0.62,4,0,0,0,0,0
Reiss Nelson,ENG,FW,24,5.4,31,5.73,21,2,3,4,0,1,1,0.18,1,0,0,0,0,0
Jorge Cuenca,ESP,DF,24,3.9,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tom Cairney,SCO,MF,33,7.0,33,4.71,28,2,0,2,1,0,3,0.43,3,0,0,0,0,0
Willian,BRA,"FW,MF",35,2.9,17,5.93,11,4,0,2,0,0,0,0.0,0,0,0,0,0,0
Joshua King,ENG,MF,17,1.4,8,5.54,6,0,1,1,0,0,2,1.38,2,0,0,0,0,0
Harrison Reed,ENG,MF,29,1.2,1,0.89,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Martial Godo,ENG,"FW,DF",21,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlos Vinícius,BRA,"MF,FW",29,0.2,2,11.25,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Jay Stansfield,ENG,MF,21,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28,38.0,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3
Opponent Total,,,26,38.0,756,19.89,519,76,55,41,56,9,90,2.37,64,7,5,7,5,2
