player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Dara O'Shea,IRL,DF,25,34.7,24,0.69,19,0,0,2,2,1,4,0.12,4,0,0,0,0,0
Leif Davis,ENG,DF,24,30.5,93,3.05,46,39,3,3,1,1,4,0.13,3,0,1,0,0,0
Liam Delap,ENG,FW,21,28.8,62,2.15,28,0,12,7,13,2,7,0.24,3,0,2,0,2,0
Sam Morsy,EGY,MF,32,30.6,51,1.67,46,4,0,0,1,0,2,0.07,2,0,0,0,0,0
Omari Hutchinson,ENG,"MF,FW",20,28.7,81,2.82,59,0,9,6,5,2,6,0.21,6,0,0,0,0,0
Jacob Greaves,ENG,DF,23,24.5,20,0.82,16,1,0,1,1,1,1,0.04,1,0,0,0,0,0
Jens Cajuste,SWE,MF,24,21.8,36,1.65,28,2,4,0,1,1,2,0.09,1,0,1,0,0,0
Axel Tuanzebe,COD,DF,26,19.0,19,1.0,17,1,0,0,1,0,2,0.11,2,0,0,0,0,0
Arijanet Muric,KVX,GK,25,18.0,1,0.06,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Cameron Burgess,AUS,DF,28,17.1,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0
Ben Johnson,ENG,"DF,FW",24,15.0,24,1.6,12,9,0,1,2,0,5,0.33,4,0,0,1,0,0
Kalvin Phillips,ENG,MF,28,13.7,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0
Alex Palmer,ENG,GK,27,13.0,3,0.23,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sammie Szmodics,IRL,"FW,MF",28,11.0,10,0.91,8,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Luke Woolfenden,ENG,DF,25,13.2,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jack Clarke,ENG,"FW,MF",23,13.1,50,3.81,42,2,3,0,0,3,5,0.38,4,1,0,0,0,0
Wes Burns,WAL,"FW,DF",29,10.3,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0
Julio Enciso,PAR,"MF,FW",20,9.7,29,3.0,16,4,6,2,0,1,4,0.41,2,1,1,0,0,0
Conor Chaplin,ENG,"MF,FW",27,9.5,22,2.32,19,3,0,0,0,0,1,0.11,1,0,0,0,0,0
Nathan Broadhead,WAL,"MF,FW",26,7.8,22,2.82,15,0,6,1,0,0,2,0.26,1,0,1,0,0,0
Christian Walton,ENG,GK,28,7.0,2,0.29,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
George Hirst,SCO,FW,25,7.3,9,1.22,7,0,0,1,1,0,3,0.41,2,0,0,1,0,0
Jaden Philogene Bidace,ENG,"FW,DF",22,5.3,9,1.71,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Jack Taylor,IRL,MF,26,9.6,22,2.3,15,1,2,2,0,2,2,0.21,2,0,0,0,0,0
Harry Clarke,ENG,DF,23,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Conor Townsend,ENG,DF,31,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Chiedozie Ogbene,IRL,FW,27,2.6,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Massimo Luongo,AUS,MF,31,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Godfrey,ENG,DF,26,1.8,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ali Al Hamadi,IRQ,FW,22,1.5,8,5.37,4,0,3,0,1,0,0,0.0,0,0,0,0,0,0
Marcus Harness,ENG,MF,28,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
George Edmundson,ENG,DF,26,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25,38.0,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0
Opponent Total,,,26,38.0,1080,28.42,837,67,63,65,33,15,142,3.74,108,7,7,12,7,1
