player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Virgil van Dijk,NED,DF,33,36.0,48,1.33,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0
Mohamed Salah,EGY,FW,32,35.5,161,4.54,118,2,20,14,5,2,27,0.76,20,0,5,2,0,0
Ryan Gravenberch,NED,MF,22,33.4,65,1.95,57,0,5,2,0,1,6,0.18,6,0,0,0,0,0
Alexis Mac Allister,ARG,MF,26,28.9,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0
Ibrahima Konaté,FRA,DF,25,26.8,31,1.16,26,0,0,4,0,1,7,0.26,6,0,0,0,0,1
Andrew Robertson,SCO,DF,31,26.6,78,2.93,66,9,1,1,0,1,4,0.15,4,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,26,25.8,95,3.68,73,14,4,4,0,0,10,0.39,9,1,0,0,0,0
Dominik Szoboszlai,HUN,MF,24,26.3,112,4.26,85,6,4,13,3,1,15,0.57,12,0,0,3,0,0
Luis Díaz,COL,FW,28,25.6,117,4.57,88,0,16,9,4,0,16,0.63,13,0,1,0,2,0
Alisson,BRA,GK,32,25.9,6,0.23,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Cody Gakpo,NED,FW,26,19.8,72,3.64,53,0,8,5,4,2,7,0.35,3,0,3,0,1,0
Curtis Jones,ENG,"MF,DF",24,17.7,47,2.65,41,1,0,3,2,0,8,0.45,5,1,0,1,1,0
Diogo Jota,POR,FW,28,13.0,35,2.7,22,0,6,5,1,1,9,0.7,5,0,2,1,1,0
Caoimhín Kelleher,IRL,GK,26,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0
Darwin Núñez,URU,FW,25,11.9,29,2.42,19,0,4,1,2,3,4,0.33,3,0,0,0,1,0
Kostas Tsimikas,GRE,DF,29,8.3,28,3.37,18,9,0,0,1,0,2,0.24,1,1,0,0,0,0
Joe Gomez,ENG,DF,27,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0
Conor Bradley,NIR,DF,21,7.0,16,2.28,11,0,4,0,1,0,2,0.28,2,0,0,0,0,0
Jarell Quansah,ENG,DF,22,4.5,2,0.44,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Harvey Elliott,ENG,"MF,FW",22,3.1,15,4.91,11,3,1,0,0,0,2,0.65,2,0,0,0,0,0
Wataru Endo,JPN,MF,32,2.6,6,2.26,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Federico Chiesa,ITA,FW,27,0.5,3,5.87,3,0,0,0,0,0,1,1.96,1,0,0,0,0,0
Vitezslav Jaros,CZE,GK,23,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jayden Danns,ENG,MF,19,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28,36.0,1094,30.39,837,68,76,70,26,17,142,3.94,109,6,11,9,6,1
Opponent Total,,,26,36.0,604,16.78,449,42,39,32,36,6,60,1.67,40,7,4,4,4,1
