player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Bruno Fernandes,POR,MF,29,33.5,193,5.76,136,37,5,6,7,2,13,0.39,10,2,0,1,0,0
André Onana,CMR,GK,28,34.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Noussair Mazraoui,MAR,DF,26,31.5,56,1.78,46,2,1,2,3,2,1,0.03,1,0,0,0,0,0
Diogo Dalot,POR,DF,25,31.3,74,2.37,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0
Matthijs de Ligt,NED,DF,24,23.6,14,0.59,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Alejandro Garnacho,ARG,"MF,FW",20,24.4,83,3.4,64,1,3,9,6,0,6,0.25,4,0,0,1,1,0
Rasmus Højlund,DEN,FW,21,22.3,34,1.53,22,0,3,5,4,0,1,0.04,0,0,0,0,1,0
Manuel Ugarte Ribeiro,URU,MF,23,19.8,31,1.56,24,0,0,2,2,3,4,0.2,3,0,0,1,0,0
Amad Diallo,CIV,"MF,FW",22,21.1,97,4.59,65,9,10,3,6,4,18,0.85,7,0,4,1,2,4
Lisandro Martínez,ARG,DF,26,19.5,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0
Harry Maguire,ENG,DF,31,19.5,20,1.02,14,1,0,5,0,0,0,0.0,0,0,0,0,0,0
Kobbie Mainoo,ENG,MF,19,18.3,34,1.85,29,0,4,0,1,0,3,0.16,3,0,0,0,0,0
Casemiro,BRA,MF,32,16.6,53,3.19,49,1,0,3,0,0,4,0.24,4,0,0,0,0,0
Joshua Zirkzee,NED,"FW,MF",23,15.6,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0
Leny Yoro,FRA,DF,18,12.9,9,0.7,6,0,0,2,0,1,0,0.0,0,0,0,0,0,0
Marcus Rashford,ENG,"FW,MF",26,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0
Christian Eriksen,DEN,MF,32,11.8,56,4.74,38,15,0,3,0,0,7,0.59,5,2,0,0,0,0
Patrick Dorgu,DEN,DF,19,9.4,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0
Mason Mount,ENG,MF,25,6.9,22,3.18,15,3,0,3,1,0,0,0.0,0,0,0,0,0,0
Victor Lindelöf,SWE,DF,30,7.8,4,0.51,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Altay Bayındır,TUR,GK,26,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luke Shaw,ENG,DF,29,3.9,10,2.58,8,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Harry Amass,ENG,DF,17,3.8,8,2.08,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Jonny Evans,NIR,DF,36,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ayden Heaven,ENG,DF,17,1.9,4,2.12,0,0,1,2,1,0,0,0.0,0,0,0,0,0,0
Tyler Fredricson,ENG,DF,19,1.8,3,1.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tyrell Malacia,NED,DF,24,1.1,2,1.8,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Chidozie Obi-Martin,DEN,FW,16,1.8,2,1.09,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Toby Collyer,ENG,MF,20,2.0,5,2.5,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Antony,BRA,"DF,MF",24,1.6,8,5.11,6,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Scott McTominay,SCO,MF,27,0.2,1,4.74,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25,38.0,939,24.71,711,78,38,61,36,15,70,1.84,45,4,5,6,6,4
Opponent Total,,,26,38.0,714,18.79,498,64,50,54,38,10,86,2.26,61,6,5,9,4,1
