player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Matz Sels,BEL,GK,32,38.0,6,0.16,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Nikola Milenković,SRB,DF,26,37.0,21,0.57,16,0,0,4,0,1,3,0.08,3,0,0,0,0,0
Murillo,BRA,DF,22,35.4,44,1.24,30,7,0,4,1,2,2,0.06,1,1,0,0,0,0
Ola Aina,NGA,DF,27,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1
Chris Wood,NZL,FW,32,32.9,44,1.34,36,0,2,4,0,2,5,0.15,4,0,0,0,0,1
Morgan Gibbs-White,ENG,MF,24,31.1,115,3.69,94,0,3,8,5,5,19,0.61,13,0,0,4,1,1
Elliot Anderson,ENG,MF,21,30.3,87,2.87,43,20,7,8,4,5,10,0.33,4,3,0,1,1,1
Anthony Elanga,SWE,"FW,MF",22,27.8,102,3.67,56,23,5,7,11,0,18,0.65,10,4,1,0,3,0
Neco Williams,WAL,DF,23,28.8,51,1.77,37,6,0,5,3,0,6,0.21,4,1,0,1,0,0
Callum Hudson-Odoi,ENG,"FW,MF",23,24.4,94,3.86,74,3,10,3,4,0,11,0.45,7,0,2,0,2,0
Nicolás Domínguez,ARG,"MF,FW",26,21.8,38,1.74,29,1,0,3,3,2,0,0.0,0,0,0,0,0,0
Ryan Yates,ENG,MF,26,21.3,38,1.78,26,1,1,6,2,2,3,0.14,2,0,0,1,0,0
Álex Moreno,ESP,"DF,MF",31,10.6,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0
Ibrahim Sangaré,CIV,MF,26,6.6,8,1.22,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Morato,BRA,DF,23,10.1,3,0.3,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jota Silva,POR,"FW,MF",24,9.5,29,3.06,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0
James Ward-Prowse,ENG,MF,29,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0
Danilo,BRA,"MF,FW",23,3.1,7,2.31,7,0,0,0,0,0,2,0.66,2,0,0,0,0,0
Taiwo Awoniyi,NGA,FW,26,4.6,9,1.95,5,0,1,2,1,0,1,0.22,0,0,0,1,0,0
Ramón Sosa,PAR,"FW,MF",24,3.3,14,4.23,11,0,2,1,0,0,0,0.0,0,0,0,0,0,0
Willy Boly,CIV,DF,33,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Harry Toffolo,ENG,DF,28,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eric da Silva Moreira,GER,"MF,DF",18,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26,38.0,798,21.0,569,74,35,60,40,20,91,2.39,58,10,3,8,8,4
Opponent Total,,,26,38.0,941,24.76,698,89,67,51,26,10,80,2.11,55,4,9,8,3,1
