player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Mateus Fernandes,POR,MF,20,32.3,78,2.41,44,14,6,6,6,2,7,0.22,4,2,0,0,0,1
Kyle Walker-Peters,ENG,DF,27,32.4,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0
Taylor Harwood-Bellis,ENG,DF,22,31.4,37,1.18,32,0,0,3,1,1,2,0.06,1,0,0,1,0,0
Aaron Ramsdale,ENG,GK,26,30.0,3,0.1,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jan Bednarek,POL,DF,28,28.1,16,0.57,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Flynn Downes,ENG,MF,25,23.9,31,1.3,27,2,0,1,0,1,2,0.08,1,1,0,0,0,0
Joe Aribo,NGA,"MF,DF",28,22.4,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0
Tyler Dibling,ENG,"FW,MF",18,20.8,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0
Lesley Ugochukwu,FRA,MF,20,18.4,24,1.3,20,0,1,1,2,0,1,0.05,0,0,0,1,0,0
Ryan Manning,IRL,"DF,MF",28,16.2,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0
Kamaldeen Sulemana,GHA,"FW,MF",22,15.6,30,1.93,15,1,10,3,1,0,3,0.19,1,0,1,1,0,0
Jack Stephens,ENG,DF,30,15.4,13,0.84,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yukinari Sugawara,JPN,"DF,MF",24,17.3,39,2.25,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0
Adam Armstrong,ENG,"FW,MF",27,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0
Cameron Archer,ENG,FW,23,16.0,20,1.25,10,0,4,5,1,0,0,0.0,0,0,0,0,0,0
James Bree,ENG,DF,26,11.9,16,1.34,13,2,0,1,0,0,1,0.08,1,0,0,0,0,0
Paul Onuachu,NGA,FW,30,11.7,9,0.77,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0
Nathan Wood-Gordon,ENG,DF,22,8.6,3,0.35,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
William Smallbone,IRL,MF,24,7.7,16,2.09,12,3,0,1,0,0,0,0.0,0,0,0,0,0,0
Welington,BRA,DF,23,5.4,7,1.31,6,1,0,0,0,0,1,0.19,1,0,0,0,0,0
Alex McCarthy,ENG,GK,34,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adam Lallana,ENG,MF,36,4.0,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0
Ben Brereton,CHI,FW,25,5.0,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Ross Stewart,SCO,FW,28,4.3,5,1.16,1,0,1,2,1,0,0,0.0,0,0,0,0,0,0
Ryan Fraser,SCO,"FW,DF",30,3.4,5,1.47,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Charlie Taylor,ENG,DF,30,4.0,2,0.51,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Joe Lumley,ENG,GK,29,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Armel Bella Kotchap,GER,DF,22,3.7,2,0.54,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Albert Grønbaek,DEN,"FW,MF",23,1.6,2,1.26,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Jay Robinson,ENG,"MF,FW",17,1.5,8,5.26,4,0,3,1,0,0,1,0.66,0,0,0,1,0,0
Maxwel Cornet,CIV,FW,27,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Samuel Edozie,ENG,"DF,FW",21,0.7,4,5.54,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Samuel Amo-Ameyaw,ENG,"FW,DF",18,0.3,2,6.43,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Joachim Kayi Sanda,FRA,DF,17,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ronnie Edwards,ENG,DF,21,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlos Alcaraz,ARG,MF,21,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25,38.0,616,16.21,427,56,51,46,28,8,42,1.11,23,5,3,9,1,1
Opponent Total,,,26,38.0,1207,31.76,870,84,72,92,51,38,144,3.79,94,12,11,14,7,6
