player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Pedro Porro,ESP,DF,25,28.0,107,3.82,71,23,3,5,4,1,8,0.29,4,3,1,0,0,0
Dejan Kulusevski,SWE,"MF,FW",25,26.5,128,4.82,95,12,15,3,3,0,9,0.34,7,1,1,0,0,0
Dominic Solanke,ENG,FW,27,23.5,37,1.57,25,0,0,9,2,1,8,0.34,6,0,0,1,1,0
Brennan Johnson,WAL,FW,23,23.1,46,1.99,30,0,6,4,5,1,7,0.3,5,0,1,0,1,0
Guglielmo Vicario,ITA,GK,28,23.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Son Heung-min,KOR,FW,32,22.6,116,5.13,86,8,10,7,5,0,15,0.66,13,0,0,1,1,0
Destiny Udogie,ITA,DF,22,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1
James Maddison,ENG,MF,28,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0
Pape Matar Sarr,SEN,MF,22,20.2,44,2.18,34,2,2,4,0,2,6,0.3,4,0,1,1,0,0
Rodrigo Bentancur,URU,MF,27,17.4,45,2.59,36,0,1,5,1,2,3,0.17,3,0,0,0,0,0
Djed Spence,ENG,DF,24,18.8,29,1.54,23,1,4,1,0,0,5,0.27,3,1,1,0,0,0
Cristian Romero,ARG,DF,27,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0
Archie Gray,ENG,"DF,MF",19,17.5,5,0.29,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Yves Bissouma,MLI,MF,28,14.9,16,1.07,15,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Radu Drăgușin,ROU,DF,23,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Ben Davies,WAL,DF,32,13.5,8,0.59,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Lucas Bergvall,SWE,MF,19,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0
Micky van de Ven,NED,DF,24,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0
Mathys Tel,FRA,FW,20,8.2,24,2.93,16,1,2,2,3,0,1,0.12,1,0,0,0,0,0
Wilson Odobert,FRA,FW,20,8.0,14,1.75,12,0,0,2,0,0,1,0.13,1,0,0,0,0,0
Kevin Danso,AUT,DF,26,7.4,8,1.09,7,0,0,1,0,0,2,0.27,2,0,0,0,0,0
Fraser Forster,ENG,GK,37,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Antonín Kinský,CZE,GK,22,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Timo Werner,GER,"FW,MF",29,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0
Richarlison,BRA,FW,28,5.3,8,1.51,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0
Mikey Moore,ENG,FW,17,3.1,11,3.54,7,2,0,1,1,0,2,0.64,1,0,0,1,0,0
Brandon Austin,ENG,GK,26,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergio Reguilón,ESP,DF,28,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dane Scarlett,ENG,"FW,MF",21,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0
Alfie Dorrington,ENG,DF,20,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Will Lankshear,ENG,"FW,MF",20,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25,36.0,862,23.94,639,67,52,59,34,11,104,2.89,78,7,8,7,3,1
Opponent Total,,,27,36.0,839,23.31,616,63,53,65,27,15,99,2.75,72,6,7,8,3,3
