player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Rayan Aït-Nouri,ALG,DF,23,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1
João Gomes,BRA,MF,23,33.0,67,2.03,53,1,5,2,2,4,4,0.12,4,0,0,0,0,0
Nélson Semedo,POR,DF,30,32.1,60,1.87,44,1,8,1,3,3,6,0.19,6,0,0,0,0,0
André,BRA,MF,23,27.5,49,1.78,41,3,1,0,0,4,3,0.11,2,1,0,0,0,0
Toti Gomes,POR,DF,25,29.0,21,0.72,20,0,0,1,0,0,1,0.03,1,0,0,0,0,0
Jørgen Strand Larsen,NOR,FW,24,28.7,42,1.46,33,1,1,3,2,2,6,0.21,6,0,0,0,0,0
José Sá,POR,GK,31,29.0,5,0.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matheus Cunha,BRA,"MF,FW",25,28.9,132,4.57,75,14,19,9,12,3,16,0.55,10,0,4,0,1,1
Matt Doherty,IRL,DF,32,23.4,25,1.07,19,3,1,1,1,0,3,0.13,3,0,0,0,0,0
Jean-Ricner Bellegarde,FRA,"MF,FW",26,18.6,57,3.06,35,5,4,4,7,2,11,0.59,8,1,0,0,1,1
Santiago Bueno,URU,DF,25,18.7,12,0.64,10,1,0,0,0,1,4,0.21,3,0,0,0,0,1
Emmanuel Agbadou,CIV,DF,27,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0
Mario Lemina,GAB,"MF,DF",30,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0
Marshall Munetsi,ZIM,"MF,FW",28,12.0,21,1.75,16,0,0,2,2,1,1,0.08,1,0,0,0,0,0
Gonçalo Guedes,POR,"MF,FW",27,11.1,30,2.71,27,0,2,0,1,0,8,0.72,7,0,1,0,0,0
Craig Dawson,ENG,DF,34,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0
Pablo Sarabia,ESP,"MF,FW",32,9.0,28,3.1,20,6,2,0,0,0,5,0.55,4,0,1,0,0,0
Rodrigo Gomes,POR,"DF,FW",21,9.0,22,2.45,18,1,2,1,0,0,1,0.11,0,1,0,0,0,0
Sam Johnstone,ENG,GK,31,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hwang Hee-chan,KOR,"MF,FW",28,7.3,9,1.22,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0
Yerson Mosquera,COL,DF,23,4.9,5,1.02,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tommy Doyle,ENG,MF,22,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0
Daniel Bentley,ENG,GK,31,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlos Forbs,POR,"MF,FW",20,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0
Pedro Lima,BRA,DF,18,0.8,4,5.14,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0
Nasser Djiga,BFA,DF,21,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Podence,POR,"MF,FW",28,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chiquinho,POR,MF,24,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mateus Mane,,MF,na,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tom King,WAL,GK,29,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alfie Pond,ENG,DF,20,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Boubacar Traoré,MLI,MF,22,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26,38.0,756,19.89,547,57,58,36,34,24,96,2.53,77,5,7,1,2,4
Opponent Total,,,26,38.0,832,21.89,598,87,41,45,49,12,117,3.08,79,10,7,9,11,1
