player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Emiliano Martínez,ARG,GK,31,35.5,5,1,0,2,6,0,0,0,3,0,0,0,34,10,1,90.9
Morgan Rogers,ENG,"FW,MF",22,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20.0
Youri Tielemans,BEL,MF,27,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55.0
Ezri Konsa,ENG,DF,26,32.6,1,0,0,9,47,1,5,24,18,0,0,0,97,31,23,57.4
Ollie Watkins,ENG,FW,28,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3
Lucas Digne,FRA,DF,31,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9
John McGinn,SCO,"MF,FW",29,24.7,7,0,0,43,69,3,60,14,24,1,0,0,100,17,12,58.6
Matty Cash,POL,DF,26,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0
Pau Torres,ESP,DF,27,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3
Boubacar Kamara,FRA,MF,24,19.2,2,0,0,30,35,0,1,19,21,0,0,0,87,21,26,44.7
Amadou Onana,BEL,MF,22,18.0,4,0,0,32,30,0,2,26,30,0,0,0,72,32,21,60.4
Jacob Ramsey,ENG,"FW,MF",23,18.0,4,1,1,13,28,5,12,8,15,1,0,0,83,7,13,35.0
Leon Bailey,JAM,"FW,MF",26,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0
Tyrone Mings,ENG,DF,31,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1
Ian Maatsen,NED,DF,22,12.7,2,0,0,11,9,3,51,15,17,0,1,0,67,10,6,62.5
Marco Asensio,ESP,MF,28,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0
Diego Carlos,BRA,DF,31,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4
Axel Disasi,FRA,DF,26,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1
Lamare Bogarde,NED,"DF,MF",20,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0
Andrés García,ESP,"DF,MF",21,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0
Jáder Durán,COL,FW,20,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0
Marcus Rashford,ENG,FW,26,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1
Ross Barkley,ENG,MF,30,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0
Jaden Philogene Bidace,ENG,"FW,MF",22,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0
Donyell Malen,NED,FW,25,3.4,0,0,0,1,5,2,8,0,4,0,0,0,9,4,4,50.0
Robin Olsen,SWE,GK,34,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kosta Nedeljković,SRB,DF,18,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0
Emi Buendía,ARG,"MF,FW",27,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0
Squad Total,,,27,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2
Opponent Total,,,26,38.0,104,2,1,510,394,93,683,347,387,2,6,2,1539,423,378,52.8
