player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Milos Kerkez,HUN,DF,20,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4
Antoine Semenyo,GHA,FW,24,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5
Illia Zabarnyi,UKR,DF,21,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6
Lewis Cook,ENG,"MF,DF",27,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
Kepa Arrizabalaga,ESP,GK,29,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5
Justin Kluivert,NED,MF,25,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2
Evanilson,BRA,FW,24,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4
Ryan Christie,SCO,MF,29,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
Dean Huijsen,ESP,DF,19,27.0,10,0,0,31,10,2,12,51,26,0,0,0,105,68,44,60.7
Dango Ouattara,BFA,FW,22,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7
Tyler Adams,USA,MF,25,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
Marcus Tavernier,ENG,"FW,MF",25,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1
Adam Smith,ENG,DF,33,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3
Marcos Senesi,ARG,DF,27,12.3,5,0,0,22,8,0,11,14,21,0,0,0,71,32,29,52.5
David Brooks,WAL,"FW,MF",27,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2
Alex Scott,ENG,MF,20,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0
Julian Araujo,MEX,DF,22,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0
James Hill,ENG,DF,22,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8
Mark Travers,IRL,GK,25,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
Enes Ünal,TUR,"FW,MF",27,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2
Neto,BRA,GK,35,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
Luis Sinisterra,COL,"FW,MF",25,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0
Philip Billing,DEN,MF,28,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0
Max Aarons,ENG,DF,24,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,
Daniel Jebbison,ENG,FW,20,1.3,1,0,0,2,4,0,3,1,3,0,0,0,10,2,10,16.7
Ben Winterburn,ENG,"MF,FW",19,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0
Julio Soler,ARG,"DF,FW",19,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,
Remy Rees-Dottin,ENG,FW,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zain Silcott-Duberry,MSR,FW,19,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
Squad Total,,,25,38.0,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6
Opponent Total,,,26,38.0,94,5,3,410,510,42,601,279,396,3,7,1,1662,606,573,51.4
