player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Nathan Collins,IRL,DF,24,36.0,5,0,0,25,28,6,8,33,22,2,0,0,154,116,63,64.8
Bryan Mbeumo,CMR,FW,25,35.9,3,0,0,24,44,11,192,14,29,0,0,0,145,34,71,32.4
Mark Flekken,NED,GK,31,34.4,1,0,0,0,3,0,0,0,4,0,0,0,37,4,0,100.0
Keane Lewis-Potter,ENG,"DF,FW",24,32.5,6,0,0,17,29,4,74,19,26,1,0,0,140,27,34,44.3
Mikkel Damsgaard,DEN,"MF,FW",24,30.5,2,0,0,18,27,6,135,26,43,0,0,0,162,12,26,31.6
Yoane Wissa,COD,FW,28,30.4,3,0,0,29,49,14,20,8,12,1,0,0,70,30,36,45.5
Christian Nørgaard,DEN,MF,31,29.3,7,1,0,43,28,1,16,46,46,0,0,0,184,44,29,60.3
Sepp van den Berg,NED,DF,23,26.7,2,0,0,20,5,1,7,20,22,1,0,0,92,85,66,56.3
Vitaly Janelt,GER,MF,27,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3
Kevin Schade,GER,FW,23,23.8,3,0,0,21,33,13,36,5,23,0,0,0,78,82,69,54.3
Ethan Pinnock,JAM,DF,31,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4
Kristoffer Ajer,NOR,DF,27,15.6,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1
Yehor Yarmoliuk,UKR,MF,21,14.3,6,0,0,16,12,2,16,12,25,0,0,0,96,8,8,50.0
Mads Roerslev,DEN,DF,25,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
Mathias Jensen,DEN,MF,29,9.3,2,0,0,7,10,0,31,8,10,0,0,0,45,8,5,61.5
Michael Kayode,ITA,DF,20,4.2,2,0,0,7,2,0,9,5,10,0,0,0,29,6,2,75.0
Fabio Carvalho,POR,"FW,MF",22,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
Ben Mee,ENG,DF,35,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0
Thiago,BRA,FW,23,1.6,0,0,0,3,3,1,1,2,3,0,0,0,10,6,5,54.5
Hákon Rafn Valdimarsson,ISL,GK,23,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Edmond-Paris Maghoma,ENG,"MF,FW",24,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0
Rico Henry,ENG,DF,27,0.9,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,50.0
Yunus Emre Konak,TUR,"FW,MF",19,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
Kim Jisoo,KOR,DF,20,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Frank Onyeka,NGA,MF,27,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
Gustavo Nunes,BRA,"FW,MF",19,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Jayden Meghoma,ENG,DF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ryan Trevitt,ENG,MF,22,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Squad Total,,,26,36.0,57,1,0,299,324,62,642,274,360,5,1,3,1540,596,528,53.0
Opponent Total,,,27,36.0,76,3,2,340,295,55,755,276,333,1,5,1,1586,528,596,47.0
