player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Jordan Pickford,ENG,GK,31,36.0,7,0,0,0,7,0,0,1,0,0,0,0,33,4,1,80.0
James Tarkowski,ENG,DF,32,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6
Vitaliy Mykolenko,UKR,DF,25,32.2,3,0,0,21,30,3,93,39,33,0,1,0,81,47,37,56.0
Idrissa Gana Gueye,SEN,MF,35,32.0,8,0,0,52,43,0,7,44,74,0,0,0,182,23,15,60.5
Abdoulaye Doucouré,MLI,MF,32,27.6,5,1,1,47,5,10,23,9,27,0,0,0,145,29,43,40.3
Jarrad Branthwaite,ENG,DF,22,27.1,4,0,0,12,18,1,5,25,20,0,0,0,89,55,41,57.3
Iliman Ndiaye,SEN,FW,25,25.4,3,0,0,24,48,5,38,17,25,0,0,0,163,6,19,24.0
Jack Harrison,ENG,FW,28,21.8,0,0,0,13,27,4,126,9,22,1,0,0,68,4,26,13.3
Dominic Calvert-Lewin,ENG,FW,28,17.7,2,0,0,27,23,27,6,6,7,0,0,0,34,84,80,51.2
Ashley Young,ENG,"DF,FW",39,19.0,6,1,0,26,19,0,70,24,30,0,0,0,66,10,11,47.6
James Garner,ENG,"MF,DF",24,15.7,3,0,0,19,15,0,53,20,28,0,0,0,66,10,8,55.6
Jake O'Brien,IRL,DF,23,15.5,5,0,0,13,4,3,18,4,16,0,0,0,51,33,27,55.0
Jesper Lindstrøm,DEN,FW,25,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3
Dwight McNeil,ENG,"MF,FW",25,14.4,1,0,0,6,16,1,98,5,7,0,0,0,72,3,15,16.7
Orel Mangala,BEL,MF,27,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9
Beto,GNB,FW,27,15.1,2,0,0,31,20,14,4,3,6,0,0,0,33,86,95,47.5
Michael Keane,ENG,DF,32,10.5,5,0,0,9,0,0,1,15,7,0,0,0,25,23,18,56.1
Carlos Alcaraz,ARG,"FW,MF",22,7.4,4,0,0,11,11,1,10,4,5,0,0,0,32,13,6,68.4
Tim Iroegbunam,ENG,MF,21,6.4,4,0,0,15,12,0,1,16,14,0,0,0,51,11,4,73.3
Armando Broja,ALB,FW,23,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2
Nathan Patterson,SCO,DF,23,3.9,1,0,0,6,1,0,14,2,6,0,0,0,12,1,7,12.5
Séamus Coleman,IRL,DF,36,2.2,1,0,0,0,1,0,3,1,2,0,0,0,7,2,1,66.7
Roman Dixon,ENG,DF,20,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
Harrison Armstrong,ENG,MF,18,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0
Youssef Chermiti,POR,"FW,MF",20,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7
Mason Holgate,ENG,"FW,DF",28,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Squad Total,,,28,36.0,77,2,1,415,362,79,651,320,408,1,2,0,1444,578,535,51.9
Opponent Total,,,27,36.0,44,2,1,373,406,50,686,222,405,2,2,3,1495,535,578,48.1
