player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Dara O'Shea,IRL,DF,25,34.7,6,0,0,21,26,3,8,33,31,0,0,0,110,114,85,57.3
Leif Davis,ENG,DF,24,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6
Liam Delap,ENG,FW,21,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6
Sam Morsy,EGY,MF,32,30.6,10,0,0,48,27,0,15,29,41,0,1,1,157,18,24,42.9
Omari Hutchinson,ENG,"MF,FW",20,28.7,5,0,0,30,46,6,81,11,13,0,0,0,110,6,26,18.8
Jacob Greaves,ENG,DF,23,24.5,5,0,0,16,21,1,1,21,21,0,0,0,61,83,40,67.5
Jens Cajuste,SWE,MF,24,21.8,2,0,0,24,22,0,10,28,22,0,0,0,107,13,22,37.1
Axel Tuanzebe,COD,DF,26,19.0,5,1,1,17,12,0,10,23,19,0,0,1,49,22,18,55.0
Arijanet Muric,KVX,GK,25,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7
Cameron Burgess,AUS,DF,28,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7
Ben Johnson,ENG,"DF,FW",24,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4
Kalvin Phillips,ENG,MF,28,13.7,6,1,1,28,20,0,20,19,19,0,0,0,68,7,22,24.1
Alex Palmer,ENG,GK,27,13.0,2,0,0,1,4,0,0,0,0,0,0,0,17,5,0,100.0
Sammie Szmodics,IRL,"FW,MF",28,11.0,2,0,0,9,8,8,14,6,10,0,1,0,42,6,11,35.3
Luke Woolfenden,ENG,DF,25,13.2,2,0,0,5,2,1,0,19,6,0,0,0,38,15,15,50.0
Jack Clarke,ENG,"FW,MF",23,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28.0
Wes Burns,WAL,"FW,DF",29,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6
Julio Enciso,PAR,"MF,FW",20,9.7,3,0,0,9,21,0,21,1,9,0,1,0,43,8,17,32.0
Conor Chaplin,ENG,"MF,FW",27,9.5,2,0,0,11,7,0,9,4,5,0,0,0,27,3,9,25.0
Nathan Broadhead,WAL,"MF,FW",26,7.8,1,0,0,4,13,2,9,4,4,0,0,0,32,1,10,9.1
Christian Walton,ENG,GK,28,7.0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100.0
George Hirst,SCO,FW,25,7.3,3,0,0,13,12,3,3,2,3,0,0,0,12,32,23,58.2
Jaden Philogene Bidace,ENG,"FW,DF",22,5.3,1,0,0,8,10,1,13,10,7,0,0,0,23,5,3,62.5
Jack Taylor,IRL,MF,26,9.6,4,0,0,16,5,0,7,9,10,0,0,0,53,7,8,46.7
Harry Clarke,ENG,DF,23,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4
Conor Townsend,ENG,DF,31,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0
Chiedozie Ogbene,IRL,FW,27,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3
Massimo Luongo,AUS,MF,31,2.2,0,0,0,1,2,0,1,2,6,0,0,0,10,2,0,100.0
Ben Godfrey,ENG,DF,26,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0
Ali Al Hamadi,IRQ,FW,22,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7
Marcus Harness,ENG,MF,28,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
George Edmundson,ENG,DF,26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,25,38.0,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9
Opponent Total,,,26,38.0,65,2,1,414,414,42,778,242,366,6,2,1,1596,533,552,49.1
