player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Jamie Vardy,ENG,FW,37,31.4,5,0,0,25,23,27,11,5,13,2,0,0,39,50,55,47.6
James Justin,ENG,DF,26,32.4,6,0,0,29,44,2,57,46,37,0,0,0,88,69,55,55.6
Wout Faes,BEL,DF,26,31.3,4,0,0,23,11,1,5,26,26,0,0,0,90,45,36,55.6
Victor Bernth Kristiansen,DEN,DF,21,27.6,1,0,0,19,18,3,97,42,51,0,1,1,99,22,42,34.4
Wilfred Ndidi,NGA,MF,27,25.8,8,0,0,39,18,3,30,31,51,0,0,1,127,61,59,50.8
Mads Hermansen,DEN,GK,24,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0
Bilal El Khannouss,MAR,"MF,FW",20,24.2,4,0,0,30,13,1,89,6,30,0,0,0,92,19,24,44.2
Boubakary Soumaré,FRA,MF,25,24.1,8,0,0,24,23,0,10,27,20,0,0,0,140,21,11,65.6
Conor Coady,ENG,DF,31,19.0,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1
Jordan Ayew,GHA,"FW,MF",32,18.2,5,0,0,30,59,7,60,12,15,0,0,0,93,37,80,31.6
Harry Winks,ENG,MF,28,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1
Stephy Mavididi,ENG,FW,26,17.9,2,0,0,18,18,3,69,11,19,0,0,0,83,9,15,37.5
Jannik Vestergaard,DEN,DF,31,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8
Facundo Buonanotte,ARG,"FW,MF",19,16.9,8,0,0,37,35,3,43,12,32,0,0,0,79,18,36,33.3
Luke Thomas,ENG,DF,23,12.3,3,0,0,16,10,0,29,21,25,0,1,0,42,13,11,54.2
Caleb Okoli,ITA,DF,23,12.5,4,0,0,16,9,0,1,15,14,0,0,0,44,23,21,52.3
Oliver Skipp,ENG,MF,23,12.5,8,0,0,21,13,0,5,11,4,0,0,0,46,12,6,66.7
Jakub Stolarczyk,POL,GK,23,10.0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,100.0
Kasey McAteer,IRL,FW,22,9.5,3,0,0,18,15,3,21,5,16,0,0,0,45,13,17,43.3
Bobby De Cordova-Reid,JAM,FW,31,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0
Patson Daka,ZAM,"FW,MF",25,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3
Abdul Fatawu Issahaku,GHA,FW,20,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9
Ricardo Pereira,POR,DF,30,4.3,1,0,0,6,8,0,3,4,8,0,0,0,19,4,2,66.7
Danny Ward,WAL,GK,31,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Hamza Choudhury,BAN,"MF,DF",26,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,
Woyo Coulibaly,MLI,DF,25,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0
Jeremy Monga,,"FW,MF",na,1.2,0,0,0,0,5,0,4,0,1,0,0,0,10,0,1,0.0
Odsonne Édouard,FRA,FW,26,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0
Jake Evans,,FW,na,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
Olabade Aluko,,DF,na,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Will Alves,ENG,FW,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Golding,ENG,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,26,38.0,87,0,0,420,393,63,621,327,431,3,4,3,1478,503,579,46.5
Opponent Total,,,26,38.0,58,2,1,403,412,61,751,269,411,3,3,0,1655,579,503,53.5
