player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Mohamed Salah,EGY,FW,32,37.5,1,0,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1
Virgil van Dijk,NED,DF,33,37.0,5,0,0,17,13,0,1,56,20,0,0,0,115,119,46,72.1
Ryan Gravenberch,NED,MF,22,35.1,6,1,0,47,52,0,7,60,35,0,0,0,193,26,14,65.0
Alexis Mac Allister,ARG,MF,25,28.9,6,0,0,62,40,2,86,22,58,0,0,0,148,19,34,35.8
Ibrahima Konaté,FRA,DF,25,28.4,5,0,0,27,20,0,0,17,26,0,0,0,98,74,29,71.8
Dominik Szoboszlai,HUN,MF,23,27.7,6,0,0,44,24,4,41,9,20,0,0,0,133,19,23,45.2
Andrew Robertson,SCO,DF,30,27.6,3,1,0,11,8,3,147,21,22,0,1,1,105,7,14,33.3
Alisson,BRA,GK,31,27.9,0,0,0,0,2,0,0,0,0,0,0,0,47,7,0,100.0
Luis Díaz,COL,FW,27,26.7,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5
Trent Alexander-Arnold,ENG,DF,25,26.3,5,0,0,11,9,1,153,31,50,0,0,0,132,3,13,18.8
Cody Gakpo,NED,FW,25,21.5,5,0,0,20,31,5,74,12,16,1,0,0,77,17,26,39.5
Curtis Jones,ENG,"MF,DF",23,19.0,3,1,1,18,25,1,8,7,22,1,0,0,97,14,13,51.9
Diogo Jota,POR,FW,27,13.3,2,0,0,23,14,1,8,8,8,1,0,0,41,22,32,40.7
Caoimhín Kelleher,IRL,GK,25,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0
Kostas Tsimikas,GRE,DF,28,9.3,2,0,0,9,6,1,64,11,20,0,0,0,31,5,8,38.5
Darwin Núñez,URU,FW,25,12.6,8,0,0,27,14,12,3,4,18,1,0,0,41,20,33,37.7
Conor Bradley,NIR,DF,21,8.4,4,0,0,12,14,1,7,4,10,0,0,0,51,11,7,61.1
Joe Gomez,ENG,DF,27,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2
Jarell Quansah,ENG,DF,21,5.5,2,0,0,9,1,0,2,7,8,0,1,1,19,7,10,41.2
Harvey Elliott,ENG,MF,21,4.1,1,0,0,0,1,1,12,1,3,0,0,0,15,1,2,33.3
Wataru Endo,JPN,"MF,DF",31,3.0,0,0,0,15,7,0,1,6,8,0,0,0,14,3,4,42.9
Federico Chiesa,ITA,FW,26,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0.0
Vitezslav Jaros,CZE,GK,23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jayden Danns,ENG,MF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,27,38.0,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5
Opponent Total,,,26,38.0,84,2,2,371,419,96,500,320,402,2,9,1,1576,368,406,47.5
