player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Bruno Fernandes,POR,MF,29,33.5,5,2,1,32,40,2,186,26,50,0,0,0,213,22,28,44.0
André Onana,CMR,GK,28,34.0,0,0,0,0,2,0,0,0,2,0,0,0,34,6,0,100.0
Noussair Mazraoui,MAR,DF,26,31.5,3,0,0,38,25,4,23,34,68,0,1,0,149,50,30,62.5
Diogo Dalot,POR,DF,25,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4
Matthijs de Ligt,NED,DF,24,23.6,3,0,0,16,12,2,6,33,22,0,2,0,68,58,29,66.7
Alejandro Garnacho,ARG,"MF,FW",20,24.4,3,0,0,12,43,10,56,13,18,0,0,0,108,3,24,11.1
Rasmus Højlund,DEN,FW,21,22.3,2,0,0,17,28,13,8,2,1,1,0,0,35,31,94,24.8
Manuel Ugarte Ribeiro,URU,MF,23,19.8,11,0,0,41,33,0,7,27,49,0,0,1,122,18,18,50.0
Amad Diallo,CIV,"MF,FW",22,21.1,5,0,0,21,28,9,42,11,31,2,0,0,109,10,15,40.0
Lisandro Martínez,ARG,DF,26,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2
Harry Maguire,ENG,DF,31,19.5,7,0,0,18,11,2,4,40,15,0,0,0,68,64,25,71.9
Kobbie Mainoo,ENG,MF,19,18.3,5,0,0,27,21,3,7,19,29,0,0,0,88,19,31,38.0
Casemiro,BRA,MF,32,16.6,5,0,0,20,19,4,20,14,50,0,0,0,103,36,19,65.5
Joshua Zirkzee,NED,"FW,MF",23,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0
Leny Yoro,FRA,DF,18,12.9,5,0,0,9,2,1,1,18,11,0,0,0,46,16,16,50.0
Marcus Rashford,ENG,"FW,MF",26,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7
Christian Eriksen,DEN,MF,32,11.8,4,0,0,8,3,0,85,7,9,0,0,0,62,2,6,25.0
Patrick Dorgu,DEN,DF,19,9.4,3,1,0,17,28,3,39,4,24,0,0,0,37,15,9,62.5
Mason Mount,ENG,MF,25,6.9,3,0,0,16,9,1,13,4,5,0,0,0,18,4,8,33.3
Victor Lindelöf,SWE,DF,30,7.8,1,0,0,8,1,0,1,8,2,0,0,0,29,17,15,53.1
Altay Bayındır,TUR,GK,26,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0
Luke Shaw,ENG,DF,29,3.9,1,0,0,3,1,0,11,2,3,0,0,1,9,3,2,60.0
Harry Amass,ENG,DF,17,3.8,0,0,0,2,4,1,9,2,2,0,0,0,26,7,6,53.8
Jonny Evans,NIR,DF,36,3.5,1,0,0,5,6,0,0,5,6,0,0,0,16,9,3,75.0
Ayden Heaven,ENG,DF,17,1.9,1,0,0,4,4,0,0,4,3,0,0,0,11,2,3,40.0
Tyler Fredricson,ENG,DF,19,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3
Tyrell Malacia,NED,DF,24,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,
Chidozie Obi-Martin,DEN,FW,16,1.8,1,0,0,3,1,0,0,0,1,0,0,0,9,2,4,33.3
Toby Collyer,ENG,MF,20,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0
Antony,BRA,"DF,MF",24,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0
Scott McTominay,SCO,MF,27,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Squad Total,,,25,38.0,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9
Opponent Total,,,26,38.0,71,3,0,385,387,57,598,325,414,3,4,2,1690,488,486,50.1
