player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Bruno Guimarães,BRA,MF,26,36.3,7,0,0,65,108,2,28,29,47,0,0,0,188,18,19,48.6
Dan Burn,ENG,DF,32,37.0,11,0,0,34,12,5,3,27,24,0,0,2,103,146,75,66.1
Alexander Isak,SWE,FW,24,30.6,1,0,0,27,14,20,16,3,5,1,0,0,55,26,55,32.1
Fabian Schär,SUI,DF,32,32.6,9,1,0,35,15,4,13,45,21,0,0,0,134,56,71,44.1
Valentino Livramento,ENG,DF,21,31.6,1,0,0,6,35,2,52,23,36,0,0,0,189,27,35,43.5
Jacob Murphy,ENG,FW,29,26.2,4,0,0,11,15,3,120,13,19,1,0,0,98,5,16,23.8
Joelinton,BRA,"MF,FW",27,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2
Sandro Tonali,ITA,MF,24,29.2,5,0,0,37,49,2,54,34,32,1,0,0,177,12,12,50.0
Nick Pope,ENG,GK,32,28.0,2,0,0,2,5,0,0,1,0,0,2,0,24,11,1,91.7
Anthony Gordon,ENG,"FW,MF",23,27.0,2,0,0,20,71,8,131,7,18,1,0,0,97,8,8,50.0
Lewis Hall,ENG,DF,19,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2
Harvey Barnes,ENG,FW,26,19.5,0,0,0,15,22,5,47,6,9,0,0,0,55,6,15,28.6
Kieran Trippier,ENG,DF,33,14.5,1,0,0,16,11,2,82,12,21,0,0,0,68,22,15,59.5
Joe Willock,ENG,"MF,FW",24,12.1,4,0,0,23,13,3,18,6,17,0,0,0,40,5,14,26.3
Martin Dúbravka,SVK,GK,35,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0
Sean Longstaff,ENG,MF,26,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0
Sven Botman,NED,DF,24,4.6,1,0,0,5,4,0,0,5,9,0,0,0,14,17,9,65.4
Lloyd Kelly,ENG,DF,25,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0
Callum Wilson,ENG,FW,32,4.1,1,0,0,4,1,3,2,1,2,0,0,0,11,2,16,11.1
Emil Krafth,SWE,DF,29,3.8,2,0,0,5,2,0,2,2,2,0,0,0,19,8,8,50.0
Lewis Miley,ENG,MF,18,3.5,0,0,0,3,1,0,0,2,11,0,0,0,16,6,7,46.2
Miguel Almirón,PAR,FW,30,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0
William Osula,DEN,FW,20,1.5,0,0,0,4,1,1,4,4,0,0,0,0,2,6,2,75.0
Matt Targett,ENG,DF,28,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
Squad Total,,,27,38.0,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1
Opponent Total,,,26,38.0,97,3,1,464,385,43,651,301,433,2,6,2,1634,466,487,48.9
