player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Kyle Walker-Peters,ENG,DF,28,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4
Mateus Fernandes,POR,MF,20,30.3,8,0,0,44,55,4,105,26,46,0,0,0,169,14,9,60.9
Taylor Harwood-Bellis,ENG,DF,23,30.5,9,0,0,35,14,0,10,30,19,0,0,0,121,60,45,57.1
Jan Bednarek,POL,DF,29,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7
Aaron Ramsdale,ENG,GK,27,28.0,2,0,0,1,4,0,0,2,0,0,0,0,20,6,0,100.0
Flynn Downes,ENG,MF,26,21.9,11,0,0,47,36,0,3,31,24,0,0,0,76,16,13,55.2
Joe Aribo,NGA,"MF,DF",28,21.7,1,0,0,20,28,1,10,20,33,0,1,0,111,25,21,54.3
Tyler Dibling,ENG,"FW,MF",19,20.1,6,0,0,29,50,2,28,8,20,2,0,0,79,10,21,32.3
Ryan Manning,IRL,"DF,MF",28,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,6,71.4
Lesley Ugochukwu,FRA,MF,21,17.4,7,0,0,31,15,0,6,14,24,0,1,0,63,20,17,54.1
Jack Stephens,ENG,DF,31,14.4,2,2,0,12,4,1,1,11,19,0,1,0,43,6,10,37.5
Yukinari Sugawara,JPN,"DF,MF",24,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7
Kamaldeen Sulemana,GHA,"FW,MF",23,14.1,2,0,0,20,11,3,25,6,15,0,0,0,54,10,25,28.6
Adam Armstrong,ENG,"FW,MF",28,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7
Cameron Archer,ENG,FW,23,15.5,0,0,0,16,12,8,3,2,7,0,0,0,34,8,30,21.1
James Bree,ENG,DF,27,10.9,0,0,0,2,5,0,27,8,13,0,0,0,62,12,7,63.2
Paul Onuachu,NGA,FW,30,11.4,4,0,0,28,16,9,0,1,2,0,0,0,17,90,56,61.6
Nathan Wood-Gordon,ENG,DF,22,6.9,2,0,0,8,4,0,3,4,7,0,0,0,20,11,7,61.1
William Smallbone,IRL,MF,25,7.2,1,0,0,11,3,0,34,2,11,0,1,0,23,4,2,66.7
Alex McCarthy,ENG,GK,35,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
Adam Lallana,ENG,MF,37,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0
Ben Brereton,CHI,FW,26,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3
Ryan Fraser,SCO,"FW,DF",31,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0
Welington,BRA,"DF,MF",24,3.4,1,0,0,3,5,0,11,6,5,0,1,0,17,2,3,40.0
Ross Stewart,SCO,FW,28,3.2,1,0,0,7,5,1,0,0,2,0,0,0,2,10,16,38.5
Joe Lumley,ENG,GK,30,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Armel Bella Kotchap,GER,DF,23,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5
Charlie Taylor,ENG,DF,31,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7
Albert Grønbaek,DEN,"FW,MF",23,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0
Maxwel Cornet,CIV,FW,28,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
Samuel Edozie,ENG,"DF,FW",22,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,
Jay Robinson,ENG,"MF,FW",18,0.4,0,0,0,1,1,0,0,0,1,0,0,0,5,0,1,0.0
Samuel Amo-Ameyaw,ENG,"FW,DF",18,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0
Ronnie Edwards,ENG,DF,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Alcaraz,ARG,MF,22,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
Squad Total,,,26,36.0,88,3,0,442,409,47,526,291,358,2,9,0,1374,444,386,53.5
Opponent Total,,,27,36.0,53,1,0,421,428,46,709,298,384,7,2,1,1555,386,444,46.5
