player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Pedro Porro,ESP,DF,24,29.0,5,0,0,25,33,1,196,36,49,0,0,0,152,12,23,34.3
Dejan Kulusevski,SWE,"MF,FW",24,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0
Dominic Solanke,ENG,FW,26,24.5,0,0,0,36,36,5,4,1,11,0,0,1,38,46,60,43.4
Brennan Johnson,WAL,FW,23,24.2,5,0,0,27,26,12,53,4,26,2,0,0,63,7,20,25.9
Guglielmo Vicario,ITA,GK,27,24.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0
Son Heung-min,KOR,FW,32,23.4,1,0,0,6,28,12,78,5,9,1,0,0,85,6,12,33.3
Destiny Udogie,ITA,DF,21,21.4,2,0,0,29,38,3,19,22,47,0,0,1,111,13,13,50.0
Pape Matar Sarr,SEN,MF,21,21.3,6,0,0,34,35,2,14,30,36,0,1,0,115,34,45,43.0
James Maddison,ENG,MF,27,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
Rodrigo Bentancur,URU,MF,27,18.3,9,0,0,34,10,1,4,40,22,0,0,0,121,36,30,54.5
Djed Spence,ENG,DF,23,19.9,4,1,1,21,23,2,25,21,34,0,0,1,109,21,14,60.0
Archie Gray,ENG,"DF,MF",18,19.5,1,0,0,17,11,0,17,19,8,0,0,1,69,11,11,50.0
Cristian Romero,ARG,DF,26,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
Yves Bissouma,MLI,MF,27,15.6,7,0,0,28,18,0,2,18,31,0,2,0,85,7,7,50.0
Ben Davies,WAL,DF,31,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,44,54.2
Radu Drăgușin,ROU,DF,22,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Micky van de Ven,NED,DF,23,11.3,4,0,0,10,9,0,0,10,6,0,0,0,63,19,20,48.7
Lucas Bergvall,SWE,MF,18,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
Mathys Tel,FRA,FW,19,10.1,2,0,0,14,16,1,35,2,6,1,0,0,38,4,7,36.4
Wilson Odobert,FRA,"FW,MF",19,9.4,0,0,0,2,3,1,25,4,5,0,0,0,34,4,8,33.3
Kevin Danso,AUT,DF,25,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6
Fraser Forster,ENG,GK,36,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Antonín Kinský,CZE,GK,21,6.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0
Timo Werner,GER,"FW,MF",28,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
Richarlison,BRA,FW,27,5.6,2,0,0,7,13,3,7,0,3,0,0,0,11,10,23,30.3
Mikey Moore,ENG,FW,16,4.1,0,0,0,3,7,3,16,1,1,0,0,0,11,1,6,14.3
Sergio Reguilón,ESP,DF,27,2.2,2,0,0,2,6,0,12,4,3,0,0,0,14,5,2,71.4
Brandon Austin,ENG,GK,25,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Dane Scarlett,ENG,"FW,MF",20,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0
Alfie Dorrington,ENG,DF,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Will Lankshear,ENG,"FW,MF",19,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,25,38.0,72,1,1,446,483,63,752,322,414,4,3,4,1659,422,437,49.1
Opponent Total,,,26,38.0,85,3,0,494,431,87,697,391,548,3,4,3,1652,437,422,50.9
