player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Nathan Collins,IRL,DF,23,38.0,1985,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8
Bryan Mbeumo,CMR,FW,24,37.9,1319,1162,149,40,13,9,202,17,87,70,2,0,872,8,50
Mark Flekken,NED,GK,31,36.4,1717,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0
Keane Lewis-Potter,ENG,"DF,FW",23,34.4,1273,1112,153,8,5,9,78,139,5,2,0,0,982,8,29
Yoane Wissa,COD,FW,27,32.4,588,552,33,4,5,1,20,2,1,0,0,0,450,3,23
Mikkel Damsgaard,DEN,"MF,FW",24,32.3,1529,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
Christian Nørgaard,DEN,MF,30,31.3,1427,1391,30,19,4,5,17,10,0,0,0,0,1164,6,25
Sepp van den Berg,NED,DF,22,28.7,1278,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
Vitaly Janelt,GER,MF,26,25.0,1057,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
Kevin Schade,GER,FW,22,25.5,541,483,57,0,1,4,38,54,0,0,0,0,323,1,20
Ethan Pinnock,JAM,DF,31,21.3,1080,954,126,15,0,0,9,39,0,0,0,0,924,0,8
Kristoffer Ajer,NOR,DF,26,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18
Yehor Yarmoliuk,UKR,MF,20,16.1,760,752,7,3,4,9,16,4,0,0,0,0,661,1,12
Mads Roerslev,DEN,DF,25,12.2,536,471,63,2,0,1,31,61,0,0,0,0,422,2,11
Mathias Jensen,DEN,MF,28,9.6,486,404,78,15,2,5,33,44,14,11,0,0,363,4,7
Michael Kayode,ITA,DF,20,5.9,241,183,58,0,0,0,10,58,0,0,0,0,184,0,3
Fabio Carvalho,POR,"FW,MF",21,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7
Ben Mee,ENG,DF,34,2.0,120,108,12,5,0,1,0,4,0,0,0,0,93,0,1
Thiago,BRA,"FW,MF",23,1.9,56,55,1,0,0,0,2,0,0,0,0,0,40,0,0
Hákon Rafn Valdimarsson,ISL,GK,22,1.6,70,50,20,4,0,0,0,0,0,0,0,0,46,0,0
Edmond-Paris Maghoma,ENG,"MF,FW",23,1.3,84,83,1,1,0,0,3,0,0,0,0,0,76,0,2
Rico Henry,ENG,DF,27,1.1,49,39,10,0,0,0,2,10,0,0,0,0,33,0,3
Yunus Emre Konak,TUR,"FW,MF",18,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
Kim Jisoo,KOR,DF,19,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0
Frank Onyeka,NGA,MF,26,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Gustavo Nunes,BRA,"FW,MF",18,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jayden Meghoma,ENG,DF,18,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ryan Trevitt,ENG,MF,21,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
Squad Total,,,25,38.0,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288
Opponent Total,,,26,38.0,18708,17074,1576,363,63,74,793,615,242,131,61,4,15047,58,331
