player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Moisés Caicedo,ECU,"MF,DF",23,35.2,2103,2026,73,46,12,13,10,27,0,0,0,0,1889,4,18
Cole Palmer,ENG,MF,23,33.5,1406,1210,188,42,21,14,138,16,71,49,5,0,1083,8,46
Levi Colwill,ENG,DF,22,33.0,2516,2331,181,83,3,7,13,6,0,0,0,0,2252,4,20
Marc Cucurella,ESP,DF,26,31.2,1834,1568,259,28,2,1,31,229,2,0,0,0,1612,7,21
Enzo Fernández,ARG,MF,24,30.7,1830,1688,133,52,14,25,108,4,74,44,12,1,1468,9,43
Robert Sánchez,ESP,GK,27,30.0,1184,1031,146,68,0,6,0,0,0,0,0,0,840,7,1
Nicolas Jackson,SEN,FW,23,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
Noni Madueke,ENG,FW,23,20.6,621,597,19,1,1,4,59,17,1,0,0,0,482,5,12
Pedro Neto,POR,FW,25,23.4,842,762,79,14,0,5,140,13,49,16,12,5,663,1,25
Malo Gusto,FRA,DF,21,20.5,1379,1224,153,37,2,3,52,116,0,0,0,0,1194,2,26
Jadon Sancho,ENG,FW,25,18.9,779,767,11,1,7,1,24,9,1,1,0,0,643,1,23
Wesley Fofana,FRA,DF,24,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
Tosin Adarabioyo,ENG,DF,27,13.7,1081,1044,35,19,2,3,0,4,0,0,0,0,988,2,3
Trevoh Chalobah,ENG,DF,25,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
Roméo Lavia,BEL,MF,21,8.4,414,409,3,3,3,3,0,0,0,0,0,0,381,2,1
Reece James,ENG,"DF,MF",25,9.8,723,620,100,30,4,2,41,51,19,11,5,1,609,3,7
Christopher Nkunku,FRA,FW,27,10.2,334,327,7,1,2,1,4,0,2,0,0,0,299,0,3
Filip Jørgensen,DEN,GK,23,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
Axel Disasi,FRA,DF,27,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
João Félix,POR,"FW,MF",25,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Benoît Badiashile,FRA,DF,24,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0
Kiernan Dewsbury-Hall,ENG,"MF,FW",26,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Joshua Acheampong,ENG,DF,19,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Renato Veiga,POR,"DF,MF",21,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
Mykhailo Mudryk,UKR,FW,24,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
Tyrique George,ENG,FW,19,1.1,46,45,1,0,0,0,3,1,0,0,0,0,38,0,1
Marc Guiu,ESP,FW,19,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
Mathis Amougou,FRA,MF,19,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Shumaira Mheuka,ENG,MF,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,24,36.0,20436,18818,1557,487,78,94,639,555,223,121,34,8,17340,61,285
Opponent Total,,,27,36.0,15248,13665,1502,438,53,53,501,539,130,78,31,1,12219,81,279
