player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Jordan Pickford,ENG,GK,30,38.0,1595,1167,419,188,0,7,0,0,0,0,0,0,1057,9,0
Vitaliy Mykolenko,UKR,DF,25,34.2,1322,1060,259,13,2,3,101,246,0,0,0,0,986,3,23
Idrissa Gana Gueye,SEN,MF,34,34.0,1422,1388,27,7,2,7,7,7,0,0,0,0,1230,7,22
James Tarkowski,ENG,DF,31,32.5,1290,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
Abdoulaye Doucouré,MLI,MF,31,28.5,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27
Iliman Ndiaye,SEN,FW,24,27.0,736,709,25,5,2,2,38,5,10,4,0,2,602,2,22
Jarrad Branthwaite,ENG,DF,22,27.9,1198,1141,51,38,1,17,5,3,0,0,0,0,984,6,7
Jack Harrison,ENG,FW,27,23.1,659,588,64,23,4,2,131,8,32,27,0,1,414,7,33
Ashley Young,ENG,DF,39,20.8,999,770,222,25,3,4,75,180,15,8,6,0,708,7,20
Dominic Calvert-Lewin,ENG,FW,27,17.9,289,287,2,0,0,1,6,1,0,0,0,0,181,0,12
James Garner,ENG,"MF,DF",23,17.7,803,687,110,17,2,2,57,42,23,16,4,2,611,6,23
Jake O'Brien,IRL,DF,23,17.5,725,602,121,5,0,1,18,100,0,0,0,0,577,2,12
Beto,GNB,FW,26,17.0,268,264,4,0,1,2,4,0,1,0,0,0,156,0,13
Dwight McNeil,ENG,"MF,FW",24,15.2,619,516,99,32,8,5,105,5,45,32,5,4,461,4,16
Jesper Lindstrøm,DEN,FW,24,13.8,428,383,42,11,1,0,71,6,25,12,8,2,297,3,18
Orel Mangala,BEL,MF,26,14.0,490,485,4,3,0,1,6,0,0,0,0,0,437,1,10
Michael Keane,ENG,DF,31,11.7,377,365,8,4,0,12,1,0,0,0,0,0,312,4,7
Carlos Alcaraz,ARG,"FW,MF",21,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10
Tim Iroegbunam,ENG,MF,21,6.4,158,156,0,0,0,0,1,0,0,0,0,0,115,2,5
Armando Broja,ALB,FW,22,3.7,73,72,0,0,0,0,1,0,0,0,0,0,53,1,1
Nathan Patterson,SCO,DF,22,3.9,176,134,42,0,1,0,14,42,0,0,0,0,130,0,0
Séamus Coleman,IRL,DF,35,2.4,98,78,19,0,0,0,4,19,0,0,0,0,74,1,2
Roman Dixon,ENG,DF,19,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Harrison Armstrong,ENG,MF,17,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0
Youssef Chermiti,POR,"FW,MF",20,0.5,11,11,0,0,0,0,1,0,0,0,0,0,6,0,0
Mason Holgate,JAM,"FW,DF",27,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
Squad Total,,,28,38.0,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295
Opponent Total,,,26,38.0,21623,19822,1750,489,68,106,731,708,229,146,42,7,17944,51,304
