player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Bernd Leno,GER,GK,32,38.0,1404,1160,243,71,0,0,0,0,0,0,0,0,1149,1,1
Antonee Robinson,USA,DF,26,35.2,2076,1781,289,17,1,5,170,272,0,0,0,0,1595,6,47
Alex Iwobi,NGA,"FW,MF",28,33.1,1532,1487,39,7,15,21,126,24,2,0,1,0,1150,6,52
Calvin Bassey,NGA,DF,24,34.2,2155,2025,128,48,0,10,8,8,0,0,0,0,1934,2,17
Raúl Jiménez,MEX,FW,33,27.7,643,635,7,3,3,5,23,4,0,0,0,0,458,1,28
Joachim Andersen,DEN,DF,28,28.7,2000,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8
Saša Lukić,SRB,MF,27,26.0,1260,1171,87,38,1,4,62,1,42,12,24,0,1100,2,23
Sander Berge,NOR,MF,26,24.7,1193,1152,41,40,3,7,3,1,0,0,0,0,1091,0,8
Emile Smith Rowe,ENG,MF,24,22.7,1023,985,35,6,2,2,16,3,1,0,0,0,922,3,18
Andreas Pereira,BRA,MF,28,22.4,970,761,205,50,5,8,171,9,109,53,47,0,670,4,26
Kenny Tete,NED,DF,28,19.7,956,799,153,6,1,2,38,147,0,0,0,0,772,4,23
Adama Traoré,ESP,"FW,MF",28,19.7,587,584,1,0,6,2,100,1,0,0,0,0,424,2,19
Timothy Castagne,BEL,DF,28,18.3,953,813,140,10,0,1,37,130,0,0,0,0,780,0,26
Issa Diop,FRA,DF,27,14.9,758,733,25,21,0,1,1,2,0,0,0,0,663,0,2
Harry Wilson,WAL,"FW,MF",27,12.9,445,393,51,16,1,5,41,4,27,14,6,1,326,1,6
Rodrigo Muniz,BRA,FW,23,10.7,142,135,6,1,3,2,1,0,0,0,0,0,92,1,4
Ryan Sessegnon,ENG,"FW,DF",24,6.4,241,226,15,0,0,0,16,13,1,0,0,0,189,0,9
Reiss Nelson,ENG,FW,24,5.4,268,261,6,0,2,2,23,1,5,3,1,0,232,1,2
Jorge Cuenca,ESP,DF,24,3.9,173,160,13,4,0,0,1,2,0,0,0,0,145,0,0
Tom Cairney,SCO,MF,33,7.0,627,602,25,11,0,2,20,1,8,3,3,0,569,0,8
Willian,BRA,"FW,MF",35,2.9,208,196,11,2,0,4,16,2,7,3,4,0,178,1,1
Joshua King,ENG,MF,17,1.4,64,63,1,0,0,1,2,0,0,0,0,0,54,0,3
Harrison Reed,ENG,MF,29,1.2,55,46,8,5,0,0,6,0,1,0,1,0,39,1,3
Martial Godo,ENG,"FW,DF",21,0.3,17,15,2,0,0,0,1,2,0,0,0,0,12,0,2
Carlos Vinícius,BRA,"MF,FW",29,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Jay Stansfield,ENG,MF,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,28,38.0,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337
Opponent Total,,,26,38.0,18069,16368,1618,445,75,96,632,613,172,122,26,3,14692,83,310
