player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Bruno Guimarães,BRA,MF,26,36.3,1798,1708,81,70,22,14,28,3,5,2,2,0,1481,9,38
Dan Burn,ENG,DF,32,37.0,2006,1968,37,25,0,12,3,8,0,0,0,0,1774,1,16
Alexander Isak,SWE,FW,24,30.6,689,606,77,0,6,3,16,9,3,0,0,0,519,6,24
Fabian Schär,SUI,DF,32,32.6,1977,1890,79,65,4,31,13,14,0,0,0,0,1654,8,8
Valentino Livramento,ENG,DF,21,31.6,1643,1387,251,17,1,1,52,233,1,0,0,0,1403,5,27
Jacob Murphy,ENG,FW,29,26.2,1004,943,53,5,5,6,120,32,16,1,0,0,688,8,51
Joelinton,BRA,"MF,FW",27,26.6,1043,1014,26,11,7,2,16,14,0,0,0,0,863,3,23
Sandro Tonali,ITA,MF,24,29.2,1535,1468,61,29,7,7,54,12,19,9,8,1,1285,6,27
Nick Pope,ENG,GK,32,28.0,782,528,254,67,0,0,0,0,0,0,0,0,575,0,0
Anthony Gordon,ENG,"FW,MF",23,27.0,982,857,117,24,9,4,131,34,53,35,7,0,720,8,38
Lewis Hall,ENG,DF,19,24.3,1592,1300,287,68,4,2,110,164,55,45,2,0,1300,5,27
Harvey Barnes,ENG,FW,26,19.5,607,590,15,3,5,1,47,10,2,0,0,0,474,2,17
Kieran Trippier,ENG,DF,33,14.5,1256,1007,246,50,3,3,82,133,62,26,8,15,1036,3,16
Joe Willock,ENG,"MF,FW",24,12.1,363,356,5,0,0,2,18,5,0,0,0,0,300,2,8
Martin Dúbravka,SVK,GK,35,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0
Sean Longstaff,ENG,MF,26,8.9,349,344,4,2,2,3,5,0,1,0,0,1,295,1,12
Sven Botman,NED,DF,24,4.6,246,238,8,7,1,2,0,1,0,0,0,0,220,0,0
Lloyd Kelly,ENG,DF,25,3.4,181,159,22,7,0,0,1,15,0,0,0,0,146,0,5
Callum Wilson,ENG,FW,32,4.1,53,46,6,0,0,0,2,0,0,0,0,0,40,1,4
Emil Krafth,SWE,DF,29,3.8,158,138,20,4,0,0,2,16,0,0,0,0,124,0,4
Lewis Miley,ENG,MF,18,3.5,191,189,1,1,1,0,0,0,0,0,0,0,168,1,4
Miguel Almirón,PAR,FW,30,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2
William Osula,DEN,FW,20,1.5,29,27,2,0,0,0,4,0,0,0,0,0,18,0,0
Matt Targett,ENG,DF,28,0.2,15,15,0,0,0,0,1,0,0,0,0,0,14,0,0
Squad Total,,,27,38.0,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351
Opponent Total,,,26,38.0,17858,16153,1662,449,71,73,651,595,202,100,51,1,14333,43,344
