player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Pedro Porro,ESP,DF,24,29.0,1892,1530,355,53,4,16,196,249,53,4,44,0,1385,7,75
Dejan Kulusevski,SWE,"MF,FW",24,26.5,893,800,84,4,11,1,89,6,62,26,0,0,658,9,42
Dominic Solanke,ENG,FW,26,24.5,361,321,38,0,3,1,4,2,0,0,0,0,255,2,15
Brennan Johnson,WAL,FW,23,24.2,638,624,12,0,0,1,53,12,0,0,0,0,449,2,41
Guglielmo Vicario,ITA,GK,27,24.0,874,773,101,36,0,1,0,0,0,0,0,0,764,0,2
Son Heung-min,KOR,FW,32,23.4,925,853,70,15,4,4,78,12,38,25,5,0,730,2,26
Destiny Udogie,ITA,DF,21,21.4,1115,944,170,28,0,0,19,142,0,0,0,0,972,1,34
Pape Matar Sarr,SEN,MF,21,21.3,1029,999,26,9,1,3,14,12,0,0,0,0,889,4,20
James Maddison,ENG,MF,27,20.1,1256,1118,132,48,12,5,98,5,59,37,8,0,1021,6,15
Rodrigo Bentancur,URU,MF,27,18.3,1076,1036,38,31,4,2,4,2,0,0,0,0,946,2,19
Djed Spence,ENG,DF,23,19.9,1161,974,183,30,2,2,25,153,0,0,0,0,992,4,19
Archie Gray,ENG,"DF,MF",18,19.5,1145,1053,88,30,1,3,17,45,4,0,4,0,1001,4,18
Cristian Romero,ARG,DF,26,15.7,1223,1120,101,80,4,2,3,7,0,0,0,0,1094,2,7
Yves Bissouma,MLI,MF,27,15.6,852,807,42,41,2,2,2,1,0,0,0,0,755,3,10
Ben Davies,WAL,DF,31,14.8,1023,925,95,26,1,5,4,5,0,0,0,0,896,3,8
Radu Drăgușin,ROU,DF,22,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5
Micky van de Ven,NED,DF,23,11.3,802,758,43,18,0,1,0,4,0,0,0,0,729,1,5
Lucas Bergvall,SWE,MF,18,13.5,720,675,44,21,0,8,21,10,8,5,2,0,629,1,11
Mathys Tel,FRA,FW,19,10.1,266,243,22,3,2,1,35,7,8,6,2,0,185,1,12
Wilson Odobert,FRA,"FW,MF",19,9.4,274,262,8,0,0,1,25,2,1,0,0,0,212,4,13
Kevin Danso,AUT,DF,25,9.4,555,534,21,17,0,2,1,0,0,0,0,0,480,0,8
Fraser Forster,ENG,GK,36,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0
Antonín Kinský,CZE,GK,21,6.0,217,177,39,9,0,0,0,0,0,0,0,0,167,1,1
Timo Werner,GER,"FW,MF",28,5.7,236,222,12,2,2,2,28,8,2,1,0,0,158,2,15
Richarlison,BRA,FW,27,5.6,103,97,6,1,0,3,7,0,0,0,0,0,62,0,6
Mikey Moore,ENG,FW,16,4.1,96,88,8,0,0,0,16,2,6,3,0,0,67,0,5
Sergio Reguilón,ESP,DF,27,2.2,136,116,19,1,0,0,12,16,2,1,1,0,93,1,4
Brandon Austin,ENG,GK,25,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0
Dane Scarlett,ENG,"FW,MF",20,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
Alfie Dorrington,ENG,DF,19,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Will Lankshear,ENG,"FW,MF",19,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,25,38.0,19960,18013,1884,561,54,70,752,705,243,108,66,0,16513,63,437
Opponent Total,,,26,38.0,16529,14781,1661,490,63,100,697,593,206,121,47,2,13104,87,350
