player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Max Kilman,ENG,DF,27,37.2,1958,1916,37,25,0,12,4,1,0,0,0,0,1697,5,9
Aaron Wan-Bissaka,ENG,DF,26,35.0,1815,1568,243,11,5,1,76,232,0,0,0,0,1472,4,62
Jarrod Bowen,ENG,"FW,MF",27,33.0,815,722,87,6,7,4,106,3,44,28,15,0,584,6,44
Mohammed Kudus,GHA,"FW,MF",23,28.8,855,837,16,5,2,13,81,3,1,0,0,0,715,2,29
Tomáš Souček,CZE,MF,29,28.5,969,946,20,17,0,11,14,3,0,0,0,0,715,3,26
Lucas Paquetá,BRA,"MF,FW",26,26.4,1456,1367,81,35,18,12,29,12,4,1,3,0,1126,8,26
Emerson Palmieri,ITA,DF,29,23.5,1077,887,185,20,1,2,64,140,25,7,15,0,861,5,23
Alphonse Areola,FRA,GK,31,25.1,989,716,268,72,0,3,0,0,0,0,0,0,688,5,3
Konstantinos Mavropanos,GRE,DF,26,22.7,1265,1203,58,39,1,24,2,15,0,0,0,0,1092,4,10
Jean-Clair Todibo,FRA,DF,24,20.3,1082,1046,33,28,0,4,3,5,0,0,0,0,951,3,7
Edson Álvarez,MEX,MF,26,19.7,1003,980,16,12,3,12,6,3,0,0,0,0,861,7,10
Guido Rodríguez,ARG,MF,30,12.8,569,554,15,14,1,5,5,1,0,0,0,0,480,0,13
Carlos Soler,ESP,"MF,FW",27,15.7,669,605,62,28,4,6,34,4,21,11,6,0,570,2,10
Łukasz Fabiański,POL,GK,39,12.9,495,351,143,43,0,0,0,0,0,0,0,0,332,1,0
James Ward-Prowse,ENG,MF,29,11.5,768,699,64,28,0,9,49,1,34,18,14,1,677,5,4
Vladimír Coufal,CZE,DF,31,11.9,598,490,106,11,0,0,28,95,0,0,0,0,470,2,11
Michail Antonio,JAM,FW,34,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14
Aaron Cresswell,ENG,DF,34,9.2,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10
Crysencio Summerville,NED,"FW,MF",22,8.7,254,241,13,2,3,0,21,2,8,6,0,0,194,0,13
Oliver Scarles,ENG,"DF,FW",18,7.4,372,333,36,4,1,1,15,32,0,0,0,0,293,3,5
Niclas Füllkrug,GER,FW,31,8.8,198,190,7,0,0,2,1,0,0,0,0,0,133,1,7
Danny Ings,ENG,"FW,MF",32,3.2,92,86,5,0,1,0,3,0,0,0,0,0,63,1,4
Andy Irving,SCO,MF,24,1.8,124,120,2,2,1,0,2,0,0,0,0,0,109,2,1
Evan Ferguson,IRL,FW,19,1.7,37,35,1,0,1,1,0,0,0,0,0,0,28,1,0
Luis Guilherme,BRA,"MF,FW",18,1.7,67,64,3,0,0,0,8,1,2,0,2,0,58,0,2
Lewis Orford,ENG,MF,18,0.5,38,36,2,2,0,0,1,0,0,0,0,0,33,0,0
Kaelan Casey,ENG,DF,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,28,38.0,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343
Opponent Total,,,26,38.0,19489,17708,1726,494,79,79,811,701,208,108,44,7,15814,55,324
