player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
David Raya,ESP,GK,29,36.0,1010,1362,74.2,23949,16517,279,282,98.9,523,532,98.3,205,541,37.9,0,0.0,0.1,0.0,0,42,2,0,13
William Saliba,FRA,DF,24,33.3,2385,2529,94.3,41030,12426,1011,1055,95.8,1242,1293,96.1,123,154,79.9,0,0.9,1.3,-0.9,7,179,6,0,138
Declan Rice,ENG,MF,26,29.4,1304,1562,83.5,22238,5871,641,697,92.0,525,580,90.5,112,229,48.9,7,6.5,5.5,0.5,56,126,35,5,180
Thomas Partey,GHA,"MF,DF",31,29.1,1574,1804,87.3,25056,6685,825,889,92.8,636,719,88.5,87,133,65.4,2,2.0,2.5,0.0,18,152,33,2,173
Gabriel Magalhães,BRA,DF,27,26.3,1480,1641,90.2,25788,7938,598,617,96.9,782,830,94.2,83,154,53.9,1,0.9,1.2,0.1,13,145,8,0,126
Leandro Trossard,BEL,FW,30,27.0,665,897,74.1,10776,2895,348,407,85.5,259,337,76.9,42,83,50.6,6,6.0,4.0,0.0,39,44,46,10,99
Jurriën Timber,NED,DF,23,26.9,1194,1395,85.6,17327,4642,674,741,91.0,472,549,86.0,27,51,52.9,3,0.8,1.3,2.2,17,107,17,2,146
Martin Ødegaard,NOR,MF,26,24.7,1188,1435,82.8,18451,5271,653,720,90.7,433,496,87.3,75,139,54.0,7,5.3,6.6,1.7,59,124,84,5,250
Gabriel Martinelli,BRA,"FW,MF",23,23.7,459,648,70.8,6603,1442,292,350,83.4,129,185,69.7,24,49,49.0,4,4.7,4.4,-0.7,37,11,34,13,49
Kai Havertz,GER,"FW,MF",25,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,0.6,16,26,8,1,59
Bukayo Saka,ENG,"FW,MF",23,18.1,511,675,75.7,7860,2275,304,336,90.5,148,202,73.3,42,87,48.3,10,7.0,7.1,3.0,54,14,35,11,66
Mikel Merino,ESP,"MF,FW",28,16.6,442,565,78.2,6078,1722,280,322,87.0,127,162,78.4,16,30,53.3,2,2.0,1.2,0.0,16,37,24,4,67
Myles Lewis-Skelly,ENG,DF,18,14.0,648,711,91.1,9604,2088,361,376,96.0,265,291,91.1,13,20,65.0,0,0.4,0.4,-0.4,7,56,9,1,65
Ben White,ENG,DF,27,11.3,482,578,83.4,7797,2649,250,271,92.3,198,235,84.3,24,49,49.0,1,0.9,0.7,0.1,8,44,8,1,47
Riccardo Calafiori,ITA,DF,22,10.4,450,527,85.4,6560,1655,273,298,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,0.7,6,40,9,1,54
Ethan Nwaneri,ENG,"FW,MF",18,9.1,307,383,80.2,4430,1147,194,211,91.9,83,108,76.9,18,35,51.4,2,1.0,1.7,1.0,12,16,13,6,30
Jorginho,ITA,MF,33,7.8,410,473,86.7,6450,1591,215,235,91.5,167,189,88.4,21,36,58.3,0,0.4,0.6,-0.4,3,44,10,0,48
Jakub Kiwior,POL,DF,25,10.5,572,628,91.1,9930,2937,232,245,94.7,307,324,94.8,27,47,57.4,0,0.3,0.3,-0.3,3,53,3,0,42
Gabriel Jesus,BRA,FW,28,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19
Raheem Sterling,ENG,"FW,MF",30,4.9,141,183,77.0,1785,352,93,107,86.9,38,51,74.5,2,3,66.7,2,0.5,0.5,1.5,8,4,9,2,17
Oleksandr Zinchenko,UKR,"DF,MF",28,5.1,315,380,82.9,5001,1102,166,180,92.2,129,150,86.0,14,32,43.8,1,0.1,0.3,0.9,2,26,7,1,37
Kieran Tierney,SCO,"DF,FW",27,2.2,97,119,81.5,1521,461,53,56,94.6,36,47,76.6,6,11,54.5,0,0.9,0.5,-0.9,7,7,5,2,12
Nathan Butler-Oyedeji,ENG,FW,22,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Takehiro Tomiyasu,JPN,DF,26,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Reiss Nelson,ENG,FW,25,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,26,36.0,16194,19213,84.3,265139,83064,8127,8858,91.7,6786,7618,89.1,989,1929,51.3,52,42.6,42.9,9.4,396,1307,414,68,1738
Opponent Total,,,27,36.0,11565,14465,80.0,203489,69749,5308,5953,89.2,4992,5721,87.3,1037,2169,47.8,23,23.0,23.1,0.0,249,861,185,59,890
