player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Dean Henderson,ENG,GK,28,36.0,712,1152,61.8,19575,12987,167,168,99.4,341,343,99.4,200,636,31.4,0,0.1,0.1,-0.1,2,22,1,0,0
Tyrick Mitchell,ENG,DF,25,33.4,948,1316,72.0,15266,5732,495,585,84.6,373,499,74.7,59,142,41.5,4,5.8,3.7,-1.8,40,47,33,16,66
Daniel Muñoz,COL,DF,28,33.9,1087,1436,75.7,16578,5004,614,720,85.3,407,525,77.5,46,104,44.2,5,5.4,3.4,-0.4,44,56,35,15,93
Marc Guéhi,ENG,DF,24,34.0,1474,1765,83.5,28114,11524,547,603,90.7,762,855,89.1,152,274,55.5,2,1.7,2.0,0.3,16,133,11,3,134
Maxence Lacroix,FRA,DF,25,32.6,1160,1419,81.7,23883,9289,301,354,85.0,723,796,90.8,130,238,54.6,1,0.8,1.0,0.2,7,69,3,1,63
Jean-Philippe Mateta,FRA,FW,27,28.6,282,434,65.0,3770,993,170,224,75.9,82,129,63.6,7,23,30.4,2,3.2,2.2,-1.2,29,33,16,2,51
Eberechi Eze,ENG,"MF,FW",26,28.0,759,1018,74.6,12996,3500,366,433,84.5,297,355,83.7,76,167,45.5,8,5.3,4.0,2.7,55,49,36,4,94
Ismaila Sarr,SEN,MF,27,28.4,470,708,66.4,6987,2119,251,339,74.0,177,248,71.4,22,47,46.8,5,7.8,6.4,-2.8,42,28,39,9,81
Jefferson Lerma,COL,"MF,DF",30,23.3,799,1057,75.6,14015,4875,375,432,86.8,326,401,81.3,79,168,47.0,1,1.5,1.7,-0.5,10,86,18,2,94
Will Hughes,ENG,MF,30,22.1,707,929,76.1,11175,3885,361,408,88.5,274,332,82.5,46,126,36.5,3,3.1,2.6,-0.1,32,72,15,3,85
