player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Jamie Vardy,ENG,FW,37,31.4,258,389,66.3,3776,424,141,190,74.2,86,114,75.4,15,22,68.2,4,3.0,2.6,1.0,19,11,10,1,22
James Justin,ENG,DF,26,32.4,1205,1541,78.2,18606,5922,625,718,87.0,497,586,84.8,48,136,35.3,2,0.8,0.8,1.2,14,76,23,8,91
Wout Faes,BEL,DF,26,31.3,1376,1564,88.0,25369,9014,537,569,94.4,724,763,94.9,110,204,53.9,0,0.1,0.4,-0.1,4,83,6,0,86
Victor Bernth Kristiansen,DEN,DF,21,27.6,1023,1321,77.4,16420,5859,519,581,89.3,418,524,79.8,65,157,41.4,1,1.4,1.7,-0.4,18,76,23,18,70
Wilfred Ndidi,NGA,MF,27,25.8,839,1045,80.3,12034,3031,463,530,87.4,282,343,82.2,39,73,53.4,5,1.9,1.5,3.1,17,68,11,3,70
Mads Hermansen,DEN,GK,24,26.5,654,1073,61.0,17066,12387,151,155,97.4,312,329,94.8,191,584,32.7,0,0.0,0.0,0.0,0,20,1,0,1
Bilal El Khannouss,MAR,"MF,FW",20,24.2,798,1063,75.1,14413,4123,372,434,85.7,306,381,80.3,101,170,59.4,3,4.6,3.1,-1.6,42,89,31,6,128
Boubakary Soumaré,FRA,MF,25,24.1,1073,1234,87.0,16191,4336,581,632,91.9,414,471,87.9,42,60,70.0,0,0.4,1.0,-0.4,11,95,16,3,105
Conor Coady,ENG,DF,31,19.0,977,1072,91.1,17121,6371,405,418,96.9,507,523,96.9,61,112,54.5,0,0.1,0.5,-0.1,1,34,2,0,32
Jordan Ayew,GHA,"FW,MF",32,18.2,401,540,74.3,5942,1216,219,252,86.9,138,183,75.4,24,59,40.7,0,1.1,1.5,-1.1,16,25,14,7,46
Harry Winks,ENG,MF,28,17.1,910,1045,87.1,14101,5048,471,511,92.2,362,397,91.2,44,76,57.9,2,1.2,1.5,0.8,17,110,7,5,101
Stephy Mavididi,ENG,FW,26,17.9,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57
Jannik Vestergaard,DEN,DF,31,15.5,870,959,90.7,14697,5807,397,418,95.0,416,444,93.7,48,81,59.3,0,0.1,0.1,-0.1,3,34,1,0,32
Facundo Buonanotte,ARG,"FW,MF",19,16.9,437,572,76.4,6930,1757,236,276,85.5,150,182,82.4,35,74,47.3,2,3.1,2.3,-1.1,24,41,13,2,54
Luke Thomas,ENG,DF,23,12.3,493,629,78.4,8065,2702,245,267,91.8,205,251,81.7,35,82,42.7,0,0.5,0.5,-0.5,9,32,5,2,37
Caleb Okoli,ITA,DF,23,12.5,559,648,86.3,9749,3849,243,266,91.4,273,301,90.7,36,65,55.4,0,0.0,0.2,0.0,0,21,1,0,32
Oliver Skipp,ENG,MF,23,12.5,419,502,83.5,6399,1568,214,247,86.6,163,178,91.6,21,36,58.3,0,0.3,0.3,-0.3,9,32,4,0,35
Jakub Stolarczyk,POL,GK,23,10.0,238,386,61.7,6215,4560,70,70,100.0,91,94,96.8,76,220,34.5,0,0.0,0.0,0.0,0,2,0,0,1
Kasey McAteer,IRL,FW,22,9.5,183,252,72.6,2556,613,118,140,84.3,54,72,75.0,6,12,50.0,1,0.7,0.6,0.3,9,13,6,2,14
Bobby De Cordova-Reid,JAM,FW,31,8.3,145,206,70.4,1883,587,88,108,81.5,39,53,73.6,5,15,33.3,2,1.2,0.2,0.8,6,9,5,0,15
Patson Daka,ZAM,"FW,MF",25,8.2,106,147,72.1,1475,257,64,80,80.0,33,45,73.3,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8
Abdul Fatawu Issahaku,GHA,FW,20,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,0.4,6,7,7,2,17
Ricardo Pereira,POR,DF,30,4.3,207,248,83.5,3368,956,98,111,88.3,91,108,84.3,13,15,86.7,0,0.0,0.1,0.0,0,19,1,0,18
Danny Ward,WAL,GK,31,1.5,41,53,77.4,1162,949,6,6,100.0,20,20,100.0,15,27,55.6,0,0.0,0.0,0.0,0,2,0,0,0
Hamza Choudhury,BAN,"MF,DF",26,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3
Woyo Coulibaly,MLI,DF,25,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3
Jeremy Monga,,"FW,MF",na,1.2,18,29,62.1,215,53,13,15,86.7,5,6,83.3,0,3,0.0,0,0.0,0.0,0.0,1,2,1,0,3
Odsonne Édouard,FRA,FW,26,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1
Jake Evans,,FW,na,0.3,2,3,66.7,24,9,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Olabade Aluko,,DF,na,0.0,3,5,60.0,39,0,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Will Alves,ENG,FW,19,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Michael Golding,ENG,MF,18,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,26,38.0,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082
Opponent Total,,,26,38.0,17576,21079,83.4,302665,99007,8208,9124,90.0,7627,8620,88.5,1431,2419,59.2,57,52.2,51.2,4.8,490,1418,435,109,1755
