player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Kyle Walker-Peters,ENG,DF,28,32.4,1493,1693,88.2,22418,6584,832,886,93.9,573,637,90.0,56,93,60.2,2,2.8,2.3,-0.8,24,119,30,4,139
Mateus Fernandes,POR,MF,20,30.3,1017,1275,79.8,17183,4010,480,545,88.1,386,451,85.6,101,184,54.9,3,2.6,3.1,0.4,31,93,22,4,135
Taylor Harwood-Bellis,ENG,DF,23,30.5,1835,2093,87.7,34171,12258,664,717,92.6,987,1077,91.6,168,261,64.4,0,1.0,0.7,-1.0,14,176,10,1,121
Jan Bednarek,POL,DF,29,28.1,1564,1687,92.7,27781,8925,590,620,95.2,856,903,94.8,105,137,76.6,0,0.5,0.9,-0.5,5,72,1,0,60
Aaron Ramsdale,ENG,GK,27,28.0,737,1154,63.9,20898,16233,199,200,99.5,286,297,96.3,246,644,38.2,0,0.0,0.1,0.0,0,33,1,0,0
Flynn Downes,ENG,MF,26,21.9,906,1007,90.0,13223,2637,521,562,92.7,318,346,91.9,33,49,67.3,0,1.1,1.4,-1.1,15,54,12,0,63
Joe Aribo,NGA,"MF,DF",28,21.7,892,1006,88.7,13232,2533,488,534,91.4,347,381,91.1,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,72
Tyler Dibling,ENG,"FW,MF",19,20.1,489,603,81.1,7304,1539,278,308,90.3,178,208,85.6,20,46,43.5,0,1.5,1.5,-1.5,20,27,20,1,64
Ryan Manning,IRL,"DF,MF",28,16.2,619,803,77.1,10360,3336,317,344,92.2,233,288,80.9,55,125,44.0,1,3.2,2.8,-2.2,34,33,12,8,35
Lesley Ugochukwu,FRA,MF,21,17.4,577,680,84.9,8945,1971,280,317,88.3,252,277,91.0,22,37,59.5,1,1.0,0.6,0.0,14,52,7,1,49
