player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
David Raya,ESP,GK,29,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
William Saliba,FRA,DF,24,34,34,2994,33.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09
Declan Rice,ENG,MF,26,33,31,2645,29.4,3,7,10,3,0,0,7,1,3.3,3.3,6.5,9.7,88,180,92,0.10,0.24,0.34,0.10,0.34,0.11,0.22,0.33,0.11,0.33
Thomas Partey,GHA,"MF,DF",31,33,29,2617,29.1,4,2,6,4,0,0,4,0,2.0,2.0,2.0,4.0,33,173,48,0.14,0.07,0.21,0.14,0.21,0.07,0.07,0.14,0.07,0.14
Gabriel Magalhães,BRA,DF,27,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13
Leandro Trossard,BEL,FW,30,36,27,2431,27.0,8,6,14,8,0,0,4,1,7.1,7.1,6.0,13.0,79,99,216,0.30,0.22,0.52,0.30,0.52,0.26,0.22,0.48,0.26,0.48
Jurriën Timber,NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08
Martin Ødegaard,NOR,MF,26,28,25,2220,24.7,2,7,9,1,1,1,4,0,4.7,3.9,5.3,9.2,89,250,146,0.08,0.28,0.36,0.04,0.32,0.19,0.21,0.41,0.16,0.37
Gabriel Martinelli,BRA,"FW,MF",23,31,23,2131,23.7,8,4,12,8,0,0,1,0,6.4,6.4,4.7,11.1,116,49,276,0.34,0.17,0.51,0.34,0.51,0.27,0.20,0.47,0.27,0.47
Kai Havertz,GER,"FW,MF",25,21,21,1839,20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58
Bukayo Saka,ENG,"FW,MF",23,23,19,1626,18.1,6,10,16,5,1,1,3,0,6.7,5.9,7.0,12.9,89,66,241,0.33,0.55,0.89,0.28,0.83,0.37,0.39,0.76,0.33,0.71
Mikel Merino,ESP,"MF,FW",28,27,16,1496,16.6,7,2,9,7,0,0,4,1,5.6,5.6,2.0,7.6,10,67,92,0.42,0.12,0.54,0.42,0.54,0.34,0.12,0.46,0.34,0.46
Myles Lewis-Skelly,ENG,DF,18,21,14,1258,14.0,1,0,1,1,0,0,3,2,0.1,0.1,0.4,0.5,32,65,36,0.07,0.00,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04
Ben White,ENG,DF,27,15,11,1018,11.3,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,16,47,33,0.00,0.09,0.09,0.00,0.09,0.04,0.08,0.12,0.04,0.12
Riccardo Calafiori,ITA,DF,22,18,11,938,10.4,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11
Ethan Nwaneri,ENG,"FW,MF",18,25,10,821,9.1,4,2,6,4,0,0,1,0,1.1,1.1,1.0,2.2,44,30,102,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24
Jorginho,ITA,MF,33,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Jakub Kiwior,POL,DF,25,15,8,942,10.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,42,1,0.10,0.00,0.10,0.10,0.10,0.02,0.02,0.04,0.02,0.04
Gabriel Jesus,BRA,FW,28,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54
Raheem Sterling,ENG,"FW,MF",30,16,6,437,4.9,0,2,2,0,0,0,1,0,1.3,1.3,0.5,1.8,25,17,73,0.00,0.41,0.41,0.00,0.41,0.27,0.10,0.37,0.27,0.37
Oleksandr Zinchenko,UKR,"DF,MF",28,14,4,458,5.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,37,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08
Kieran Tierney,SCO,"DF,FW",27,11,1,194,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.50,0.10,0.50
Nathan Butler-Oyedeji,ENG,FW,22,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94
Takehiro Tomiyasu,JPN,DF,26,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37
Reiss Nelson,ENG,FW,25,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brayden Clarke,WAL,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi Gower,ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayden Heaven,ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Henry-Francis,IRL,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismeal Kabia,ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,na,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Ag,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Maldini Kacurri,ALB,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,BRA,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Nichols,ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Nketiah,ENG,FW,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salah Oulad M'Hand,NED,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Porter,ENG,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,ENG,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Setford,ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26,36,396,3240,36.0,64,52,116,62,2,2,67,6,57.0,55.5,42.6,98.1,806,1738,1713,1.78,1.44,3.22,1.72,3.17,1.58,1.18,2.77,1.54,2.72
Opponent Total,,,27,36,396,3240,36.0,33,23,56,30,3,3,80,2,32.3,29.9,23.0,52.9,583,890,882,0.92,0.64,1.56,0.83,1.47,0.90,0.64,1.53,0.83,1.47
