player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Dean Henderson,ENG,GK,27,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Muñoz,COL,DF,28,37,37,3228.0,35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,4.9,4.9,5.5,10.5,62.0,97.0,206.0,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29
Tyrick Mitchell,ENG,DF,24,37,37,3092.0,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,6.4,7.7,63.0,70.0,171.0,0.0,0.15,0.15,0.0,0.15,0.04,0.19,0.22,0.04,0.22
Maxence Lacroix,FRA,DF,24,35,35,3116.0,34.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.4,3.4,1.0,4.4,8.0,65.0,7.0,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13
Marc Guéhi,ENG,DF,24,34,34,3059.0,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,2.0,2.0,1.8,3.7,22.0,134.0,10.0,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11
Jean-Philippe Mateta,FRA,FW,27,37,33,2648.0,29.4,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,13.5,11.9,3.2,15.1,45.0,52.0,122.0,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51
Eberechi Eze,ENG,"MF,FW",26,34,31,2588.0,28.8,8.0,8.0,16.0,7.0,1.0,2.0,1.0,0.0,10.5,8.9,6.2,15.1,69.0,97.0,153.0,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53
Ismaila Sarr,SEN,MF,26,38,30,2711.0,30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,10.7,10.7,8.5,19.2,75.0,85.0,183.0,0.27,0.2,0.46,0.27,0.46,0.35,0.28,0.64,0.35,0.64
Jefferson Lerma,COL,"MF,DF",29,33,26,2274.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.1,1.1,1.6,2.7,13.0,97.0,26.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11
Will Hughes,ENG,MF,29,33,24,2108.0,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,1.1,1.1,3.1,4.2,20.0,87.0,27.0,0.0,0.13,0.13,0.0,0.13,0.05,0.13,0.18,0.05,0.18
Chris Richards,USA,DF,24,24,22,1922.0,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.4,1.4,0.1,1.5,6.0,39.0,2.0,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.07,0.06,0.07
Adam Wharton,ENG,MF,20,20,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23
Daichi Kamada,JPN,MF,27,34,15,1564.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,1.9,3.0,25.0,89.0,56.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.06,0.17
Trevoh Chalobah,ENG,DF,25,12,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,11.0,34.0,6.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14
Eddie Nketiah,ENG,"FW,MF",25,29,9,1034.0,11.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,5.8,5.8,1.7,7.4,41.0,19.0,79.0,0.26,0.09,0.35,0.26,0.35,0.5,0.15,0.65,0.5,0.65
Nathaniel Clyne,ENG,"DF,MF",33,13,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Justin Devenny,NIR,MF,20,23,4,507.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.6,1.4,5.0,21.0,13.0,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25
Cheick Doucouré,MLI,MF,24,13,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Ben Chilwell,ENG,DF,27,8,1,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,5.0,8.0,15.0,0.35,0.0,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34
Romain Esse,ENG,MF,19,7,1,138.0,1.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,1.0,7.0,14.0,0.65,0.65,1.3,0.65,1.3,0.21,0.27,0.48,0.21,0.48
Odsonne Édouard,FRA,"MF,FW",26,2,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34
Joachim Andersen,DEN,DF,28,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Chadi Riad,MAR,DF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Ward,ENG,DF,34,2,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Jeffrey Schlupp,GHA,"MF,DF",31,12,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28
Matheus França,BRA,"MF,FW",20,4,0,55.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,3.0,4.0,1.64,0.0,1.64,1.64,1.64,0.42,0.0,0.42,0.42,0.42
Jordan Ayew,GHA,"FW,MF",32,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17
Caleb Kporha,ENG,DF,18,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asher Agbinone,ENG,MF,18,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79
Naouirou Ahamada,FRA,MF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Holding,ENG,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Johnstone,ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachariah Marsh,ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remi Matthews,ENG,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaden Rodney,ENG,"DF,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,USA,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Umeh-Chibueze,IRL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26,38,418,3420.0,38.0,49.0,38.0,87.0,46.0,3.0,4.0,80.0,4.0,60.4,57.3,46.4,103.7,510.0,1158.0,1140.0,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73
Opponent Total,,,26,38,418,3420.0,38.0,48.0,39.0,87.0,47.0,1.0,2.0,84.0,4.0,49.1,47.5,38.5,86.0,686.0,1578.0,1566.0,1.26,1.03,2.29,1.24,2.26,1.29,1.01,2.31,1.25,2.26
