player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Dara O'Shea,IRL,DF,25,35,35,3122.0,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,0.5,1.8,3.0,80.0,8.0,0.0,0.06,0.06,0.0,0.06,0.04,0.01,0.05,0.04,0.05
Leif Davis,ENG,DF,24,33,32,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,4.9,5.8,52.0,59.0,137.0,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19
Liam Delap,ENG,FW,21,37,32,2593.0,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,9.3,7.8,1.9,9.7,61.0,30.0,110.0,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34
Sam Morsy,EGY,MF,32,33,31,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,1.2,1.6,22.0,120.0,13.0,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05
Omari Hutchinson,ENG,"MF,FW",20,31,30,2583.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,3.5,6.4,97.0,75.0,159.0,0.1,0.07,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22
Jacob Greaves,ENG,DF,23,25,25,2205.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.3,1.6,11.0,69.0,11.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
Jens Cajuste,SWE,MF,24,30,25,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,26.0,59.0,20.0,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07
Axel Tuanzebe,COD,DF,26,22,20,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,10.0,61.0,15.0,0.0,0.05,0.05,0.0,0.05,0.01,0.02,0.03,0.01,0.03
Arijanet Muric,KVX,GK,25,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Burgess,AUS,DF,28,18,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,2.0,42.0,4.0,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09
Ben Johnson,ENG,"DF,FW",24,23,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,1.3,2.3,16.0,27.0,33.0,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16
Kalvin Phillips,ENG,MF,28,19,14,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
Alex Palmer,ENG,GK,27,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammie Szmodics,IRL,"FW,MF",28,20,13,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,19.0,47.0,0.36,0.0,0.36,0.36,0.36,0.31,0.02,0.33,0.31,0.33
Luke Woolfenden,ENG,DF,25,15,12,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Clarke,ENG,"FW,MF",23,32,12,1181.0,13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.3,3.5,39.0,44.0,57.0,0.0,0.3,0.3,0.0,0.3,0.09,0.17,0.26,0.09,0.26
Wes Burns,WAL,"FW,DF",29,18,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.2,38.0,8.0,65.0,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21
Julio Enciso,PAR,"MF,FW",20,13,12,869.0,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,1.4,3.1,23.0,28.0,44.0,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32
Conor Chaplin,ENG,"MF,FW",27,22,10,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.7,2.2,13.0,29.0,23.0,0.11,0.11,0.21,0.11,0.21,0.16,0.07,0.23,0.16,0.23
Nathan Broadhead,WAL,"MF,FW",26,18,7,702.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,20.0,14.0,33.0,0.26,0.0,0.26,0.26,0.26,0.22,0.09,0.31,0.22,0.31
Christian Walton,ENG,GK,28,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Hirst,SCO,FW,25,26,5,661.0,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,0.3,2.5,9.0,13.0,31.0,0.41,0.14,0.54,0.41,0.54,0.29,0.05,0.34,0.29,0.34
Jaden Philogene Bidace,ENG,"FW,DF",22,10,5,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42
Jack Taylor,IRL,MF,26,32,4,860.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.3,11.0,43.0,23.0,0.1,0.0,0.1,0.1,0.1,0.08,0.06,0.13,0.08,0.13
Harry Clarke,ENG,DF,23,7,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Conor Townsend,ENG,DF,31,6,3,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,2.0,8.0,13.0,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18
Chiedozie Ogbene,IRL,FW,27,5,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Massimo Luongo,AUS,MF,31,11,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
