player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Matz Sels,BEL,GK,32,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4,0.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Nikola Milenković,SRB,DF,26,37,37,3330.0,37.0,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,4.0,4.0,1.1,5.1,3.0,51.0,6.0,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14
Murillo,BRA,DF,22,36,36,3188.0,35.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,1.2,2.6,22.0,115.0,5.0,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07
Ola Aina,NGA,DF,27,35,35,2995.0,33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,1.4,2.1,67.0,107.0,67.0,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06
Chris Wood,NZL,FW,32,36,35,2959.0,32.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0,13.4,11.0,2.6,13.6,14.0,42.0,94.0,0.61,0.09,0.7,0.52,0.61,0.41,0.08,0.49,0.34,0.42
Morgan Gibbs-White,ENG,MF,24,34,34,2803.0,31.1,7.0,8.0,15.0,7.0,0.0,0.0,11.0,1.0,6.3,6.3,5.0,11.2,69.0,164.0,137.0,0.22,0.26,0.48,0.22,0.48,0.2,0.16,0.36,0.2,0.36
Elliot Anderson,ENG,MF,21,37,33,2728.0,30.3,2.0,6.0,8.0,2.0,0.0,0.0,10.0,0.0,2.1,2.1,3.3,5.4,52.0,143.0,94.0,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18
Anthony Elanga,SWE,"FW,MF",22,38,31,2501.0,27.8,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0,4.5,4.5,5.7,10.1,102.0,63.0,229.0,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36
Neco Williams,WAL,DF,23,35,28,2594.0,28.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,2.3,2.3,1.6,3.9,68.0,89.0,103.0,0.03,0.1,0.14,0.03,0.14,0.08,0.05,0.13,0.08,0.13
Callum Hudson-Odoi,ENG,"FW,MF",23,31,25,2194.0,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.5,2.5,2.7,5.2,130.0,71.0,189.0,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.21,0.1,0.21
Nicolás Domínguez,ARG,"MF,FW",26,34,23,1963.0,21.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.5,1.5,1.3,2.8,16.0,83.0,33.0,0.0,0.05,0.05,0.0,0.05,0.07,0.06,0.13,0.07,0.13
Ryan Yates,ENG,MF,26,35,18,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,2.3,2.3,1.2,3.5,18.0,53.0,16.0,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16
Álex Moreno,ESP,"DF,MF",31,15,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.3,1.4,26.0,34.0,34.0,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13
Ibrahim Sangaré,CIV,MF,26,13,7,590.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,1.0,27.0,4.0,0.0,0.15,0.15,0.0,0.15,0.0,0.06,0.06,0.0,0.06
Morato,BRA,DF,23,26,6,907.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Jota Silva,POR,"FW,MF",24,31,5,854.0,9.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.1,2.1,2.9,5.0,21.0,18.0,59.0,0.32,0.11,0.42,0.32,0.42,0.22,0.3,0.53,0.22,0.53
James Ward-Prowse,ENG,MF,29,9,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.1,1.2,1.0,16.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26
Danilo,BRA,"MF,FW",23,8,5,275.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwo Awoniyi,NGA,FW,26,26,3,416.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.2,6.0,7.0,20.0,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48
Ramón Sosa,PAR,"FW,MF",24,19,1,295.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,12.0,6.0,17.0,0.31,0.0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45
Willy Boly,CIV,DF,33,6,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Harry Toffolo,ENG,DF,28,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Eric da Silva Moreira,GER,"MF,DF",18,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Abbott,ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Hennessey,WAL,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Miguel,BRA,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Omobamidele,IRL,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26,38,418,3420.0,38.0,57.0,42.0,99.0,54.0,3.0,3.0,90.0,2.0,45.5,43.2,33.0,76.2,633.0,1125.0,1117.0,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0
Opponent Total,,,26,38,418,3420.0,38.0,46.0,35.0,81.0,43.0,3.0,3.0,104.0,2.0,48.9,46.5,35.2,81.7,966.0,1886.0,1868.0,1.21,0.92,2.13,1.13,2.05,1.29,0.93,2.21,1.22,2.15
