player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Pedro Porro,ESP,DF,25,32,27,2520,28.0,2,6,8,2,0,0,4,0,1.6,1.6,4.4,6.0,64,152,107,0.07,0.21,0.29,0.07,0.29,0.06,0.16,0.21,0.06,0.21
Dejan Kulusevski,SWE,"MF,FW",25,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39
Dominic Solanke,ENG,FW,27,25,24,2119,23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56
Brennan Johnson,WAL,FW,23,31,23,2083,23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.60,0.48,0.60,0.43,0.10,0.52,0.43,0.52
Guglielmo Vicario,ITA,GK,28,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Son Heung-min,KOR,FW,32,29,23,2037,22.6,7,9,16,6,1,2,1,0,7.1,5.5,8.2,13.8,89,108,262,0.31,0.40,0.71,0.27,0.66,0.31,0.36,0.68,0.24,0.61
Destiny Udogie,ITA,DF,22,24,23,1834,20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09
James Maddison,ENG,MF,28,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50
Pape Matar Sarr,SEN,MF,22,34,20,1816,20.2,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,32,86,52,0.15,0.10,0.25,0.15,0.25,0.18,0.08,0.26,0.18,0.26
Rodrigo Bentancur,URU,MF,27,24,20,1563,17.4,2,0,2,2,0,0,8,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.02,0.10,0.08,0.10
Djed Spence,ENG,DF,24,23,18,1694,18.8,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,58,103,70,0.05,0.11,0.16,0.05,0.16,0.03,0.09,0.12,0.03,0.12
Cristian Romero,ARG,DF,27,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14
Archie Gray,ENG,"DF,MF",19,26,17,1571,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,37,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Yves Bissouma,MLI,MF,28,26,16,1345,14.9,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,74,3,0.13,0.00,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06
