player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Max Kilman,ENG,DF,27,36,36,3168.0,35.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,1.2,2.8,30.0,109.0,6.0,0.0,0.03,0.03,0.0,0.03,0.05,0.03,0.08,0.05,0.08
Aaron Wan-Bissaka,ENG,DF,27,34,33,2974.0,33.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,105.0,135.0,154.0,0.06,0.12,0.18,0.06,0.18,0.04,0.11,0.14,0.04,0.14
Jarrod Bowen,ENG,"FW,MF",28,32,32,2793.0,31.0,11.0,7.0,18.0,10.0,1.0,1.0,1.0,0.0,8.3,7.6,6.3,13.9,102.0,86.0,191.0,0.35,0.23,0.58,0.32,0.55,0.27,0.2,0.47,0.24,0.45
Mohammed Kudus,GHA,"FW,MF",24,30,30,2493.0,27.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,1.0,6.7,6.7,3.0,9.7,95.0,77.0,207.0,0.14,0.11,0.25,0.14,0.25,0.24,0.11,0.35,0.24,0.35
Tomáš Souček,CZE,MF,30,33,28,2420.0,26.9,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,6.6,6.6,1.0,7.6,8.0,70.0,67.0,0.33,0.04,0.37,0.33,0.37,0.24,0.04,0.28,0.24,0.28
Lucas Paquetá,BRA,"MF,FW",27,31,27,2336.0,26.0,4.0,0.0,4.0,2.0,2.0,2.0,9.0,0.0,5.2,3.6,3.1,6.7,22.0,145.0,82.0,0.15,0.0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26
Emerson Palmieri,ITA,DF,30,31,26,2113.0,23.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15
Alphonse Areola,FRA,GK,32,25,24,2170.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konstantinos Mavropanos,GRE,DF,27,32,20,1955.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,1.5,0.5,2.0,16.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
Edson Álvarez,MEX,MF,27,26,19,1660.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.3,0.3,0.8,1.1,22.0,76.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06
