player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
David Raya,ESP,GK,28,38,3420,90,100.0,38.0,38,90,38,0,,0,1.95,69,34,+35,+0.92,,59.9,34.4,+25.5,+0.67,
William Saliba,FRA,DF,23,35,3039,87,88.9,33.8,35,87,32,0,,0,1.97,62,27,+35,+1.04,+1.04,54.2,29.8,+24.4,+0.72,+0.48
Declan Rice,ENG,MF,25,35,2825,81,82.6,31.4,33,84,23,2,23,1,1.91,56,28,+28,+0.89,-0.17,48.8,26.8,+22.0,+0.70,+0.17
Thomas Partey,GHA,"MF,DF",31,35,2797,80,81.8,31.1,31,88,25,4,19,2,1.91,52,30,+22,+0.71,-1.17,43.7,30.3,+13.4,+0.43,-1.31
Leandro Trossard,BEL,FW,29,38,2546,67,74.4,28.3,28,82,14,10,25,0,1.95,53,26,+27,+0.95,+0.13,44.5,24.2,+20.3,+0.72,+0.19
Gabriel Magalhães,BRA,DF,26,28,2363,84,69.1,26.3,28,84,25,0,,0,2.04,50,22,+28,+1.07,+0.47,40.3,23.1,+17.2,+0.66,-0.05
Jurriën Timber,NED,DF,23,30,2417,81,70.7,26.9,27,87,18,3,25,2,2.00,52,21,+31,+1.15,+0.80,42.3,21.3,+21.0,+0.78,+0.38
Martin Ødegaard,NOR,MF,25,30,2325,78,68.0,25.8,26,86,14,4,23,0,2.00,50,21,+29,+1.12,+0.63,41.1,21.7,+19.4,+0.75,+0.25
Gabriel Martinelli,BRA,"FW,MF",23,33,2290,69,67.0,25.4,25,81,10,8,33,2,1.94,45,25,+20,+0.79,-0.41,38.5,25.9,+12.6,+0.49,-0.54
Kai Havertz,GER,"FW,MF",25,23,1875,82,54.8,20.8,21,88,18,2,18,1,2.13,40,20,+20,+0.96,+0.09,34.2,19.3,+14.9,+0.72,+0.10
