player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Mateus Fernandes,POR,MF,20,36,2909,81,85.1,32.3,34,84,19,2,30,0,0.33,25,66,-41,-1.27,+2.08,27.4,69.2,-41.7,-1.29,+0.55
Kyle Walker-Peters,ENG,DF,27,33,2918,88,85.3,32.4,33,88,29,0,,2,0.30,23,77,-54,-1.67,-0.59,26.6,74.2,-47.7,-1.47,-0.67
Taylor Harwood-Bellis,ENG,DF,22,34,2825,83,82.6,31.4,32,87,27,2,28,0,0.35,20,65,-45,-1.43,+0.84,26.1,66.8,-40.8,-1.30,+0.42
Aaron Ramsdale,ENG,GK,26,30,2700,90,78.9,30.0,30,90,30,0,,0,0.37,21,66,-45,-1.50,+0.38,25.0,64.9,-39.8,-1.33,+0.21
Jan Bednarek,POL,DF,28,30,2531,84,74.0,28.1,30,84,26,0,,0,0.37,19,57,-38,-1.35,+0.88,23.8,56.5,-32.6,-1.16,+0.81
Flynn Downes,ENG,MF,25,27,2151,80,62.9,23.9,25,85,18,2,13,2,0.33,14,49,-35,-1.46,+0.31,21.2,46.7,-25.5,-1.07,+0.82
Joe Aribo,NGA,"MF,DF",28,32,2013,63,58.9,22.4,21,79,8,11,32,6,0.34,17,56,-39,-1.74,-0.40,19.4,55.1,-35.7,-1.60,-0.54
Tyler Dibling,ENG,"FW,MF",18,33,1874,57,54.8,20.8,20,76,8,13,27,1,0.27,16,50,-34,-1.63,-0.12,19.5,48.5,-28.9,-1.39,-0.04
Lesley Ugochukwu,FRA,MF,20,26,1655,64,48.4,18.4,18,77,4,8,33,6,0.42,13,39,-26,-1.41,+0.32,13.5,39.5,-26.0,-1.41,-0.08
Ryan Manning,IRL,"DF,MF",28,24,1462,61,42.7,16.2,18,77,5,6,14,7,0.29,12,35,-23,-1.42,+0.28,14.0,35.3,-21.3,-1.31,+0.10
