player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Max Kilman,ENG,DF,27,38,3348.0,88.0,97.9,37.2,38,88.0,37,0,,0,1.13,45.0,62.0,-17.0,-0.46,-1.71,45.8,58.9,-13.1,-0.35,-0.8
Aaron Wan-Bissaka,ENG,DF,26,36,3154.0,88.0,92.2,35.0,35,89.0,33,1,29.0,1,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8
Jarrod Bowen,ENG,"FW,MF",27,34,2973.0,87.0,86.9,33.0,34,87.0,27,0,,0,1.15,41.0,50.0,-9.0,-0.27,1.14,41.4,50.6,-9.2,-0.28,0.44
Mohammed Kudus,GHA,"FW,MF",23,32,2590.0,81.0,75.7,28.8,31,83.0,14,1,19.0,0,1.13,33.0,46.0,-13.0,-0.45,-0.13,34.1,42.9,-8.9,-0.31,0.11
Tomáš Souček,CZE,MF,29,35,2567.0,73.0,75.1,28.5,30,81.0,20,5,27.0,1,1.23,38.0,44.0,-6.0,-0.21,0.84,37.6,43.3,-5.7,-0.2,0.53
Lucas Paquetá,BRA,"MF,FW",26,33,2380.0,72.0,69.6,26.4,27,82.0,16,6,29.0,1,0.94,34.0,50.0,-16.0,-0.61,-0.61,28.7,42.9,-14.2,-0.54,-0.67
Emerson Palmieri,ITA,DF,29,31,2113.0,68.0,61.8,23.5,26,77.0,7,5,24.0,4,1.16,32.0,41.0,-9.0,-0.38,0.1,28.0,37.1,-9.1,-0.39,-0.14
Alphonse Areola,FRA,GK,31,26,2260.0,87.0,66.1,25.1,25,88.0,24,1,55.0,8,0.96,29.0,41.0,-12.0,-0.48,-0.17,30.1,37.3,-7.2,-0.29,0.14
Konstantinos Mavropanos,GRE,DF,26,33,2045.0,62.0,59.8,22.7,21,85.0,17,12,22.0,3,1.15,22.0,38.0,-16.0,-0.7,-0.7,25.9,36.7,-10.9,-0.48,-0.36
Jean-Clair Todibo,FRA,DF,24,27,1825.0,68.0,53.4,20.3,20,80.0,9,7,31.0,5,1.37,30.0,33.0,-3.0,-0.15,0.59,26.6,29.4,-2.8,-0.14,0.43
Edson Álvarez,MEX,MF,26,28,1772.0,63.0,51.8,19.7,20,76.0,4,8,32.0,2,1.25,19.0,29.0,-10.0,-0.51,-0.18,23.5,29.7,-6.2,-0.32,0.04
Guido Rodríguez,ARG,MF,30,23,1149.0,50.0,33.6,12.8,16,69.0,3,7,5.0,13,1.43,19.0,19.0,0.0,0.0,0.63,17.5,20.6,-3.1,-0.25,0.13
Carlos Soler,ESP,"MF,FW",27,31,1409.0,45.0,41.2,15.7,14,67.0,1,17,28.0,2,1.16,16.0,25.0,-9.0,-0.57,-0.26,16.8,28.2,-11.4,-0.73,-0.67
Łukasz Fabiański,POL,GK,39,14,1160.0,83.0,33.9,12.9,13,86.0,12,1,45.0,21,1.5,17.0,21.0,-4.0,-0.31,0.17,16.9,22.4,-5.5,-0.43,-0.14
James Ward-Prowse,ENG,MF,29,15,1039.0,69.0,30.4,11.5,12,80.0,6,3,25.0,1,1.07,12.0,11.0,1.0,0.09,0.73,12.9,13.7,-0.8,-0.07,0.38
Vladimír Coufal,CZE,DF,31,22,1067.0,49.0,31.2,11.9,11,78.0,5,11,19.0,11,1.0,12.0,21.0,-9.0,-0.76,-0.49,17.3,19.5,-2.1,-0.18,0.22
Michail Antonio,JAM,FW,34,14,836.0,60.0,24.4,9.3,11,66.0,0,3,37.0,0,1.07,13.0,18.0,-5.0,-0.54,-0.16,11.4,17.8,-6.4,-0.69,-0.47
Aaron Cresswell,ENG,DF,34,18,824.0,46.0,24.1,9.2,10,76.0,4,8,8.0,13,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.01
Crysencio Summerville,NED,"FW,MF",22,19,786.0,41.0,23.0,8.7,7,67.0,1,12,26.0,1,1.05,13.0,20.0,-7.0,-0.8,-0.49,13.6,17.1,-3.5,-0.4,-0.09
Oliver Scarles,ENG,"DF,FW",18,15,665.0,44.0,19.4,7.4,7,70.0,2,8,22.0,6,1.13,6.0,9.0,-3.0,-0.41,0.02,8.3,9.9,-1.6,-0.22,0.14
Niclas Füllkrug,GER,FW,31,18,790.0,44.0,23.1,8.8,6,74.0,1,12,29.0,1,0.94,16.0,18.0,-2.0,-0.23,0.25,13.2,14.0,-0.9,-0.1,0.31
Danny Ings,ENG,"FW,MF",32,15,284.0,19.0,8.3,3.2,1,45.0,0,14,17.0,15,1.07,4.0,4.0,0.0,0.0,0.46,8.0,4.7,3.3,1.05,1.51
Andy Irving,SCO,MF,24,10,166.0,17.0,4.9,1.8,1,76.0,0,9,10.0,15,1.1,1.0,4.0,-3.0,-1.63,-1.27,2.4,4.3,-1.9,-1.03,-0.73
Evan Ferguson,IRL,FW,19,8,156.0,20.0,4.6,1.7,1,45.0,0,7,16.0,4,1.13,0.0,2.0,-2.0,-1.15,-0.77,1.9,1.3,0.6,0.36,0.72
Luis Guilherme,BRA,"MF,FW",18,12,150.0,13.0,4.4,1.7,1,45.0,0,11,10.0,22,0.5,2.0,5.0,-3.0,-1.8,-1.44,2.4,2.6,-0.1,-0.09,0.26
Lewis Orford,ENG,MF,18,2,49.0,25.0,1.4,0.5,0,,0,2,25.0,3,0.0,0.0,1.0,-1.0,-1.84,-1.44,0.6,1.2,-0.6,-1.08,-0.76
Kaelan Casey,ENG,DF,19,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,1.0,0.0,0.0,0.0,0.0,0.42,0.1,0.1,0.0,1.74,2.07
Wes Foderingham,ENG,GK,33,0,,,,,0,,0,0,,9,,,,,,,,,,,
Ezra Mayers,BRB,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,28,38,3420.0,90.0,100.0,38.0,418,81.0,243,172,22.0,170,1.13,46.0,62.0,-16.0,-0.42,,47.0,59.7,-12.7,-0.33,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,81.0,256,162,18.0,180,1.61,62.0,46.0,16.0,0.42,,59.7,47.0,12.7,0.33,
