player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Milos Kerkez,HUN,DF,21,35.2,2027,105,520,852,679,62,2027,45,21,46.7,14,31.1,1010,5919,3445,98,67,15,46,21,1111,181
Antoine Semenyo,GHA,FW,25,33.6,1556,46,192,537,861,180,1556,131,67,51.1,55,42.0,931,7034,3489,137,67,66,81,73,1082,270
Illia Zabarnyi,UKR,DF,22,32.5,1926,224,884,992,71,14,1926,8,5,62.5,2,25.0,1182,7727,4584,26,20,0,14,3,1206,4
Lewis Cook,ENG,"MF,DF",28,32.3,1861,86,430,985,466,20,1861,19,12,63.2,7,36.8,802,4042,2130,33,29,4,29,18,934,51
Kepa Arrizabalaga,ESP,GK,30,29.0,1020,754,991,28,1,1,1020,1,1,100.0,0,0.0,572,2858,1628,0,0,0,0,0,448,0
Justin Kluivert,NED,"MF,FW",26,24.5,1022,23,94,346,602,120,1016,84,35,41.7,39,46.4,611,3964,2253,77,53,35,50,26,673,162
Ryan Christie,SCO,MF,30,23.5,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44
Evanilson,BRA,FW,25,23.9,526,23,52,199,278,120,525,20,6,30.0,8,40.0,314,1737,827,28,17,14,36,23,377,94
Dean Huijsen,ESP,DF,20,25.8,1910,243,862,921,137,30,1910,5,2,40.0,3,60.0,1039,6661,4130,40,29,0,19,1,1189,10
Dango Ouattara,BFA,FW,23,22.3,959,62,165,316,497,128,959,82,39,47.6,34,41.5,492,3577,1777,79,35,38,63,32,577,191
Tyler Adams,USA,MF,26,19.8,1227,58,324,713,202,17,1227,16,3,18.8,9,56.3,590,2920,1300,13,18,1,28,12,683,9
Marcus Tavernier,ENG,"FW,MF",26,19.6,1065,19,123,401,565,52,1065,59,26,44.1,28,47.5,598,3815,1805,49,45,7,43,44,683,118
Adam Smith,ENG,DF,34,16.4,743,41,226,351,170,6,743,16,6,37.5,7,43.8,318,1369,616,12,16,0,11,7,354,32
Marcos Senesi,ARG,DF,28,11.4,797,69,357,381,70,13,797,9,5,55.6,4,44.4,488,2551,1505,12,14,0,6,5,500,6
David Brooks,WAL,"FW,MF",27,9.5,476,13,56,179,250,33,476,31,8,25.8,20,64.5,293,2042,949,29,23,8,27,12,324,75
Alex Scott,ENG,MF,21,8.4,483,24,90,256,143,18,483,26,6,23.1,13,50.0,247,1401,663,15,10,3,22,8,294,33
James Hill,ENG,DF,23,5.0,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,3,6,0,2,0,179,8
Julian Araujo,MEX,DF,23,4.8,247,19,83,120,49,2,247,0,0,,0,,110,424,219,3,1,0,5,2,132,20
Mark Travers,IRL,GK,25,5.0,162,144,159,3,0,0,162,0,0,,0,,85,426,188,0,0,0,0,0,68,0
Enes Ünal,TUR,"FW,MF",28,3.8,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22
Neto,BRA,GK,35,2.0,70,60,70,0,0,0,70,0,0,,0,,35,148,99,0,0,0,0,0,28,0
Luis Sinisterra,COL,"FW,MF",25,2.6,155,7,18,41,96,23,155,20,8,40.0,10,50.0,95,744,393,19,6,10,6,3,102,38
Philip Billing,DEN,MF,28,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13
Max Aarons,ENG,DF,25,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3
Daniel Jebbison,ENG,FW,21,0.9,59,3,8,23,29,10,59,5,4,80.0,1,20.0,35,229,82,2,1,3,11,4,39,11
Ben Winterburn,ENG,"FW,MF",20,0.3,9,0,2,5,2,1,9,0,0,,0,,6,50,40,2,0,1,0,0,6,2
Julio Soler,ARG,FW,20,0.0,4,0,2,1,1,0,4,0,0,,0,,2,2,2,0,0,0,1,0,3,0
Remy Rees-Dottin,ENG,FW,19,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Zain Silcott-Duberry,MSR,FW,19,0.0,3,0,1,0,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0
Squad Total,,,25,36.0,20395,2129,6117,8765,5764,942,20388,644,280,43.5,288,44.7,10918,64667,34524,719,501,215,569,336,12019,1397
Opponent Total,,,27,36.0,21501,2690,7795,8759,5178,903,21497,683,318,46.6,292,42.8,11414,61647,30372,651,430,193,623,374,13112,1223
