player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Dara O'Shea,IRL,DF,26,32.7,1892,377,1104,673,120,48,1892,2,1,50.0,1,50.0,826,3658,1837,3,2,0,11,4,1082,8
Liam Delap,ENG,FW,22,28.4,674,29,78,287,331,90,672,86,40,46.5,37,43.0,440,3274,1579,60,46,29,101,58,530,107
Leif Davis,ENG,DF,25,28.5,1459,115,517,484,477,36,1459,37,13,35.1,17,45.9,659,3571,1940,48,27,10,36,14,770,117
Sam Morsy,EGY,MF,33,28.6,1557,94,469,887,217,4,1557,24,13,54.2,8,33.3,777,4227,1856,18,20,2,15,11,1038,9
Omari Hutchinson,ENG,"MF,FW",21,26.7,1146,14,183,485,500,80,1146,123,47,38.2,60,48.8,698,5410,2614,82,36,33,74,56,806,142
Jacob Greaves,ENG,DF,24,22.5,1263,259,681,502,84,19,1263,5,4,80.0,1,20.0,547,2359,1003,8,9,0,10,2,764,9
Jens Cajuste,SWE,MF,25,20.1,923,59,267,483,187,11,923,46,25,54.3,15,32.6,426,2318,1200,23,21,3,21,15,530,16
Arijanet Muric,KVX,GK,26,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0
Axel Tuanzebe,COD,DF,27,17.0,847,94,368,368,117,6,847,10,4,40.0,6,60.0,347,1540,748,9,6,1,11,1,442,9
Cameron Burgess,AUS,DF,29,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4
Ben Johnson,ENG,"DF,FW",25,15.0,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33
Kalvin Phillips,ENG,MF,29,13.7,739,61,223,398,122,5,739,12,5,41.7,6,50.0,310,1489,569,4,5,0,25,10,394,4
Sammie Szmodics,IRL,"FW,MF",29,10.9,309,17,80,119,116,33,309,12,4,33.3,6,50.0,174,989,399,16,8,7,24,17,189,46
Luke Woolfenden,ENG,DF,26,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0
Alex Palmer,ENG,GK,28,12.0,441,371,433,9,0,0,441,0,0,,0,,198,1119,674,0,0,0,2,0,154,0
Wes Burns,WAL,"FW,DF",30,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65
Jack Clarke,ENG,"FW,MF",24,12.1,501,23,119,204,192,32,501,42,22,52.4,14,33.3,278,2074,1064,34,19,9,21,18,303,48
Julio Enciso,PAR,"FW,MF",21,8.9,374,5,51,191,146,19,374,58,27,46.6,23,39.7,186,1353,735,21,20,8,22,28,241,41
Conor Chaplin,ENG,"MF,FW",28,8.5,335,7,63,165,112,13,335,8,4,50.0,4,50.0,153,779,407,11,7,0,11,3,229,20
Nathan Broadhead,WAL,"MF,FW",27,6.7,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27
Christian Walton,ENG,GK,29,6.0,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0
Jaden Philogene Bidace,ENG,"FW,DF",23,5.3,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36
Jack Taylor,IRL,MF,26,9.2,505,32,153,267,96,8,505,11,4,36.4,4,36.4,239,1447,773,11,10,1,10,6,321,22
Harry Clarke,ENG,DF,24,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2
George Hirst,SCO,FW,26,5.8,168,12,24,57,89,24,168,5,2,40.0,2,40.0,89,468,199,9,2,6,21,13,142,29
Conor Townsend,ENG,DF,32,3.7,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13
Chiedozie Ogbene,IRL,FW,28,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15
Massimo Luongo,AUS,MF,32,2.2,77,9,33,25,19,1,77,0,0,,0,,40,148,25,0,0,0,2,3,44,1
Ben Godfrey,ENG,DF,27,1.8,68,6,26,33,9,1,68,0,0,,0,,33,202,79,2,2,0,2,1,42,1
Ali Al Hamadi,IRQ,FW,23,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14
Marcus Harness,ENG,MF,29,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1
George Edmundson,ENG,DF,27,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Squad Total,,,26,36.0,17945,2916,7421,7030,3692,549,17943,596,259,43.5,265,44.5,8750,49471,24145,470,303,137,515,322,10637,839
Opponent Total,,,27,36.0,24578,2059,7134,10404,7243,1142,24572,645,304,47.1,272,42.2,14826,76196,38616,786,531,279,478,293,17246,1643
