player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Mohamed Salah,EGY,FW,32,37.5,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1149,6973,3695,154,59,126,116,67,1407,488
Virgil van Dijk,NED,DF,33,37.0,3301,450,1318,1827,166,48,3301,5,3,60.0,2,40.0,1856,8754,4846,22,24,3,10,5,2281,6
Ryan Gravenberch,NED,MF,22,35.1,2343,117,509,1354,512,26,2343,81,37,45.7,30,37.0,1396,7452,3742,70,75,10,55,26,1669,55
Alexis Mac Allister,ARG,MF,25,28.9,1860,56,284,960,637,60,1860,42,16,38.1,21,50.0,914,3773,2009,36,43,5,31,22,1227,80
Ibrahima Konaté,FRA,DF,25,28.4,2185,223,928,1145,119,23,2185,6,3,50.0,2,33.3,1290,6124,3603,25,15,0,8,2,1576,3
Dominik Szoboszlai,HUN,MF,23,27.7,1584,32,220,761,626,104,1584,41,21,51.2,17,41.5,805,4223,2372,72,49,18,37,23,1073,127
Andrew Robertson,SCO,DF,30,27.6,2084,92,539,940,620,53,2084,18,7,38.9,10,55.6,1107,4941,2848,64,52,6,25,13,1399,108
Alisson,BRA,GK,31,27.9,1011,742,991,20,0,0,1011,1,1,100.0,0,0.0,658,2625,1586,0,0,0,1,0,618,0
Luis Díaz,COL,FW,27,26.7,1184,17,90,409,706,167,1184,116,53,45.7,51,44.0,780,5710,2960,108,55,56,55,49,933,293
Trent Alexander-Arnold,ENG,DF,25,26.3,2252,88,593,1013,660,44,2252,37,17,45.9,17,45.9,1183,5353,2860,51,36,9,19,15,1436,94
Cody Gakpo,NED,FW,25,21.5,888,28,91,258,557,110,888,61,31,50.8,21,34.4,605,4320,2208,59,34,28,45,24,677,278
Curtis Jones,ENG,"MF,DF",23,19.0,1288,41,220,683,393,58,1288,22,12,54.5,8,36.4,789,3889,1892,30,23,8,26,36,967,79
Diogo Jota,POR,FW,27,13.3,485,6,35,198,259,97,485,33,11,33.3,20,60.6,263,1500,796,37,23,21,40,22,333,88
Caoimhín Kelleher,IRL,GK,25,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0
Kostas Tsimikas,GRE,DF,28,9.3,741,33,190,327,229,13,741,12,5,41.7,5,41.7,368,1567,790,17,8,2,6,4,472,43
Darwin Núñez,URU,FW,25,12.6,366,10,45,122,210,74,366,23,8,34.8,14,60.9,201,1063,568,23,19,12,24,21,248,78
Conor Bradley,NIR,DF,21,8.4,663,32,197,299,178,43,663,25,10,40.0,12,48.0,369,2332,1356,35,22,9,13,5,411,39
Joe Gomez,ENG,DF,27,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2
Jarell Quansah,ENG,DF,21,5.5,464,80,245,189,30,6,464,3,1,33.3,2,66.7,268,1421,709,3,4,1,5,2,321,4
Harvey Elliott,ENG,MF,21,4.1,339,5,32,164,144,21,339,9,4,44.4,4,44.4,188,872,408,10,11,5,5,4,253,30
Wataru Endo,JPN,"MF,DF",31,3.0,237,12,65,124,49,3,237,2,2,100.0,0,0.0,110,397,169,1,3,1,6,3,163,8
Federico Chiesa,ITA,FW,26,1.2,46,2,10,15,21,4,46,2,0,0.0,2,100.0,31,130,58,3,1,1,3,4,33,7
Vitezslav Jaros,CZE,GK,23,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0
Jayden Danns,ENG,MF,18,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0
Squad Total,,,27,38.0,25905,2422,7286,11574,7274,1315,25896,677,301,44.5,310,45.8,14931,76219,41047,825,558,322,532,350,18113,1910
Opponent Total,,,26,38.0,20431,3165,8090,8087,4493,779,20429,740,316,42.7,340,45.9,10761,62102,32543,683,408,241,541,302,12508,1074
