player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Bruno Fernandes,POR,MF,29,33.5,2649,62,428,1263,983,80,2646,67,28,41.8,33,49.3,1542,7244,3866,77,65,14,43,43,1853,129
André Onana,CMR,GK,28,34.0,1371,1046,1350,22,0,0,1371,1,1,100.0,0,0.0,961,4851,2676,0,0,0,1,0,832,0
Noussair Mazraoui,MAR,DF,26,31.5,2139,167,839,976,349,30,2139,48,26,54.2,18,37.5,1172,5481,2884,42,32,3,25,17,1289,58
Diogo Dalot,POR,DF,25,31.3,1983,113,661,773,566,68,1983,53,27,50.9,22,41.5,1126,4953,2699,62,37,16,38,21,1200,168
Matthijs de Ligt,NED,DF,24,23.6,1608,184,828,731,56,29,1608,4,2,50.0,2,50.0,1078,4744,2225,7,3,0,5,3,1158,6
Alejandro Garnacho,ARG,"MF,FW",20,24.4,1159,13,130,364,683,176,1159,89,26,29.2,55,61.8,840,6365,3245,141,72,67,64,48,888,290
Rasmus Højlund,DEN,FW,21,22.3,515,6,36,251,237,74,515,33,9,27.3,21,63.6,308,1516,655,28,13,17,63,33,408,101
Manuel Ugarte Ribeiro,URU,MF,23,19.8,1161,46,331,639,211,16,1161,32,18,56.3,10,31.3,668,2883,1347,16,16,1,32,25,728,20
Amad Diallo,CIV,"MF,FW",22,21.1,1207,16,175,443,607,131,1207,88,41,46.6,43,48.9,782,5295,2750,109,53,66,42,35,854,200
Lisandro Martínez,ARG,DF,26,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7
Harry Maguire,ENG,DF,31,19.5,1328,147,652,616,76,44,1328,5,2,40.0,3,60.0,782,4821,2056,7,9,3,10,2,856,7
Kobbie Mainoo,ENG,MF,19,18.3,1061,25,197,587,287,36,1061,50,23,46.0,25,50.0,652,2850,1222,22,17,10,36,36,760,47
Casemiro,BRA,MF,32,16.6,1250,75,374,633,251,43,1250,6,3,50.0,3,50.0,660,2047,934,4,10,0,12,10,800,28
Joshua Zirkzee,NED,"FW,MF",23,15.6,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69
Leny Yoro,FRA,DF,18,12.9,894,87,413,414,70,13,894,4,2,50.0,2,50.0,614,3173,1765,19,13,1,3,4,656,4
Marcus Rashford,ENG,"FW,MF",26,10.9,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79
Christian Eriksen,DEN,MF,32,11.8,850,26,173,397,284,17,849,4,0,0.0,4,100.0,473,1784,851,13,14,1,13,5,566,29
Patrick Dorgu,DEN,DF,19,9.4,602,16,155,206,244,32,602,13,3,23.1,6,46.2,354,1933,1209,41,17,7,12,10,399,83
Mason Mount,ENG,MF,25,6.9,339,11,45,161,137,31,339,10,1,10.0,8,80.0,215,1067,490,15,11,2,16,9,249,41
Victor Lindelöf,SWE,DF,30,7.8,452,60,243,187,24,3,452,0,0,,0,,263,1171,553,5,4,0,1,1,313,4
Altay Bayındır,TUR,GK,26,4.0,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0
Luke Shaw,ENG,DF,29,3.9,317,26,128,149,42,4,317,1,0,0.0,1,100.0,226,1102,548,7,8,0,2,0,248,7
Harry Amass,ENG,DF,17,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50.0,132,705,376,9,6,2,18,5,124,23
Jonny Evans,NIR,DF,36,3.5,250,36,139,100,15,3,250,1,1,100.0,0,0.0,143,574,242,3,2,0,1,0,151,3
Ayden Heaven,ENG,DF,17,1.9,136,30,68,60,10,2,136,4,2,50.0,2,50.0,95,491,259,1,1,0,3,1,93,1
Tyler Fredricson,ENG,DF,19,1.8,141,11,64,68,9,1,141,1,1,100.0,0,0.0,86,279,114,2,1,0,2,0,95,0
Tyrell Malacia,NED,DF,24,1.1,62,2,20,27,15,0,62,1,1,100.0,0,0.0,37,190,118,3,2,0,1,2,43,6
Chidozie Obi-Martin,DEN,FW,16,1.8,47,3,6,21,20,9,47,3,1,33.3,2,66.7,22,114,50,2,0,1,5,1,29,12
Toby Collyer,ENG,MF,20,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2
Antony,BRA,"DF,MF",24,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7
Scott McTominay,SCO,MF,27,0.2,14,1,3,8,3,1,14,1,0,0.0,1,100.0,10,68,44,0,0,0,1,1,9,2
Squad Total,,,25,38.0,24734,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,75007,37992,697,475,230,521,353,16672,1433
Opponent Total,,,26,38.0,22105,2507,7059,9848,5437,800,22100,775,323,41.7,400,51.6,12263,65968,33543,672,529,184,489,417,14134,1172
