player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Emiliano Martínez,ARG,GK,31,35.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Morgan Rogers,ENG,"FW,MF",22,34.6,8,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4
Youri Tielemans,BEL,MF,27,33.6,3,40,12,30.0,1.19,0.36,0.08,0.25,20.1,0,0,1,3.3,2.5,0.06,-0.3,0.5
Ezri Konsa,ENG,DF,26,32.6,2,11,5,45.5,0.34,0.15,0.18,0.4,8.8,0,0,0,1.3,1.3,0.12,0.7,0.7
Ollie Watkins,ENG,FW,28,28.9,16,82,36,43.9,2.84,1.25,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,0.7,0.2
Lucas Digne,FRA,DF,31,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
John McGinn,SCO,"MF,FW",29,24.7,1,31,5,16.1,1.26,0.2,0.03,0.2,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8
Matty Cash,POL,DF,26,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,18.8,0,0,0,0.5,0.5,0.04,0.5,0.5
Pau Torres,ESP,DF,27,22.4,0,8,2,25.0,0.36,0.09,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Boubacar Kamara,FRA,MF,24,19.2,1,10,3,30.0,0.52,0.16,0.1,0.33,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2
Amadou Onana,BEL,MF,22,18.0,3,17,6,35.3,0.95,0.33,0.18,0.5,14.7,0,0,0,2.1,2.1,0.12,0.9,0.9
Jacob Ramsey,ENG,"FW,MF",23,18.0,1,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Leon Bailey,JAM,"FW,MF",26,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7
Tyrone Mings,ENG,DF,31,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Ian Maatsen,NED,DF,22,12.7,1,19,5,26.3,1.5,0.4,0.05,0.2,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1
Marco Asensio,ESP,MF,28,8.3,3,22,9,40.9,2.66,1.09,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,0.1
Diego Carlos,BRA,DF,31,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Axel Disasi,FRA,DF,26,5.4,0,2,0,0.0,0.37,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Lamare Bogarde,NED,"DF,MF",20,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Andrés García,ESP,"DF,MF",21,3.5,0,2,0,0.0,0.57,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Jáder Durán,COL,FW,20,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
Marcus Rashford,ENG,FW,26,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3
Ross Barkley,ENG,MF,30,6.5,3,16,5,31.3,2.48,0.77,0.19,0.6,14.2,0,0,0,1.8,1.8,0.11,1.2,1.2
Jaden Philogene Bidace,ENG,"FW,MF",22,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Donyell Malen,NED,FW,25,3.4,3,15,9,60.0,4.43,2.66,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8
Robin Olsen,SWE,GK,34,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kosta Nedeljković,SRB,DF,18,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Emi Buendía,ARG,"MF,FW",27,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
Squad Total,,,27,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7
Opponent Total,,,26,38.0,51,460,153,33.3,12.11,4.03,0.11,0.32,16.7,10,2,3,50.1,47.8,0.11,0.9,1.2
