player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Milos Kerkez,HUN,DF,20,37.1,2,19,5,26.3,0.51,0.13,0.11,0.4,20.2,0,0,0,0.6,0.5,0.03,1.4,1.5
Antoine Semenyo,GHA,FW,24,35.6,11,125,40,32.0,3.51,1.12,0.09,0.28,17.0,0,0,0,10.0,10.0,0.08,1.0,1.0
Illia Zabarnyi,UKR,DF,21,34.5,0,12,1,8.3,0.35,0.03,0.0,0.0,9.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3
Lewis Cook,ENG,"MF,DF",27,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1
Kepa Arrizabalaga,ESP,GK,29,31.0,0,1,0,0.0,0.03,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Justin Kluivert,NED,MF,25,26.0,12,57,23,40.4,2.19,0.88,0.11,0.26,20.0,0,6,6,10.3,5.6,0.1,1.7,0.4
Evanilson,BRA,FW,24,25.8,10,72,31,43.1,2.79,1.2,0.14,0.32,12.8,0,0,1,12.5,11.7,0.16,-2.5,-1.7
Ryan Christie,SCO,MF,29,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2
Dean Huijsen,ESP,DF,19,27.0,3,18,3,16.7,0.67,0.11,0.17,1.0,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1
Dango Ouattara,BFA,FW,22,22.3,7,62,20,32.3,2.78,0.9,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4
Tyler Adams,USA,MF,25,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6
Marcus Tavernier,ENG,"FW,MF",25,21.5,3,57,17,29.8,2.65,0.79,0.05,0.18,21.1,4,0,0,5.5,5.5,0.1,-2.5,-2.5
Adam Smith,ENG,DF,33,17.7,0,3,0,0.0,0.17,0.0,0.0,,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7
Marcos Senesi,ARG,DF,27,12.3,0,3,0,0.0,0.24,0.0,0.0,,7.9,0,0,0,0.8,0.8,0.28,-0.8,-0.8
David Brooks,WAL,"FW,MF",27,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.1,-0.5,-0.5
Alex Scott,ENG,MF,20,8.4,0,15,6,40.0,1.79,0.72,0.0,0.0,21.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Julian Araujo,MEX,DF,22,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
James Hill,ENG,DF,22,5.0,0,6,0,0.0,1.21,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Mark Travers,IRL,GK,25,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Enes Ünal,TUR,"FW,MF",27,3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7
Neto,BRA,GK,35,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Sinisterra,COL,"FW,MF",25,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Philip Billing,DEN,MF,28,2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Max Aarons,ENG,DF,24,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Jebbison,ENG,FW,20,1.3,1,5,2,40.0,3.78,1.51,0.2,0.5,10.6,0,0,0,1.0,1.0,0.2,0.0,0.0
Ben Winterburn,ENG,"MF,FW",19,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Julio Soler,ARG,"DF,FW",19,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Remy Rees-Dottin,ENG,FW,18,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Zain Silcott-Duberry,MSR,FW,19,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,25,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5
Opponent Total,,,26,38.0,46,483,168,34.8,12.71,4.42,0.09,0.25,17.1,14,4,4,48.5,45.3,0.1,-2.5,-3.3
