player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Nathan Collins,IRL,DF,24,36.0,2,17,6,35.3,0.47,0.17,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5
Bryan Mbeumo,CMR,FW,25,35.9,18,75,32,42.7,2.09,0.89,0.17,0.41,17.8,6,5,5,11.0,7.1,0.09,7.0,5.9
Mark Flekken,NED,GK,31,34.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Keane Lewis-Potter,ENG,"DF,FW",24,32.5,1,27,14,51.9,0.83,0.43,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6
Mikkel Damsgaard,DEN,"MF,FW",24,30.5,2,34,7,20.6,1.12,0.23,0.06,0.29,17.5,3,0,0,2.7,2.7,0.08,-0.7,-0.7
Yoane Wissa,COD,FW,28,30.4,18,85,38,44.7,2.79,1.25,0.21,0.47,13.4,0,0,0,17.0,17.0,0.2,1.0,1.0
Christian Nørgaard,DEN,MF,31,29.3,5,35,12,34.3,1.19,0.41,0.14,0.42,14.3,0,0,0,3.9,3.9,0.11,1.1,1.1
Sepp van den Berg,NED,DF,23,26.7,0,17,5,29.4,0.64,0.19,0.0,0.0,10.5,0,0,0,1.8,1.8,0.11,-1.8,-1.8
Vitaly Janelt,GER,MF,27,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2
Kevin Schade,GER,FW,23,23.8,11,52,25,48.1,2.19,1.05,0.21,0.44,11.6,0,0,0,8.0,8.0,0.15,3.0,3.0
Ethan Pinnock,JAM,DF,31,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9
Kristoffer Ajer,NOR,DF,27,15.6,0,8,3,37.5,0.51,0.19,0.0,0.0,10.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8
Yehor Yarmoliuk,UKR,MF,21,14.3,0,9,2,22.2,0.63,0.14,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Mads Roerslev,DEN,DF,25,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Mathias Jensen,DEN,MF,29,9.3,0,6,1,16.7,0.65,0.11,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Michael Kayode,ITA,DF,20,4.2,0,2,0,0.0,0.47,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Fabio Carvalho,POR,"FW,MF",22,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5
Ben Mee,ENG,DF,35,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thiago,BRA,FW,23,1.6,0,1,0,0.0,0.61,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Hákon Rafn Valdimarsson,ISL,GK,23,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Edmond-Paris Maghoma,ENG,"MF,FW",24,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Rico Henry,ENG,DF,27,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Yunus Emre Konak,TUR,"FW,MF",19,0.5,0,1,0,0.0,2.14,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Kim Jisoo,KOR,DF,20,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Frank Onyeka,NGA,MF,27,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gustavo Nunes,BRA,"FW,MF",19,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jayden Meghoma,ENG,DF,18,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Trevitt,ENG,MF,22,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26,36.0,62,411,162,39.4,11.42,4.5,0.14,0.35,15.0,10,5,5,55.0,51.2,0.13,7.0,5.8
Opponent Total,,,27,36.0,50,612,193,31.5,17.0,5.36,0.08,0.25,17.4,12,1,1,53.4,52.6,0.09,-3.4,-3.6
