player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Bart Verbruggen,NED,GK,21,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Paul van Hecke,NED,DF,24,32.9,1,17,5,29.4,0.52,0.15,0.06,0.2,13.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Carlos Baleba,CMR,MF,20,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,25.5,1,0,0,3.1,3.1,0.07,-0.1,-0.1
Kaoru Mitoma,JPN,"FW,MF",27,28.9,10,57,27,47.4,1.97,0.93,0.18,0.37,13.9,0,0,0,9.2,9.2,0.16,0.8,0.8
Pervis Estupiñán,ECU,DF,26,26.7,1,28,9,32.1,1.05,0.34,0.04,0.11,24.5,3,0,0,1.2,1.2,0.04,-0.2,-0.2
Danny Welbeck,ENG,FW,33,23.5,10,59,23,39.0,2.51,0.98,0.15,0.39,15.3,9,1,1,9.6,8.8,0.15,0.4,0.2
Lewis Dunk,ENG,DF,32,23.1,0,12,3,25.0,0.52,0.13,0.0,0.0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8
João Pedro,BRA,"FW,MF",22,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,1.1,0.0
Yasin Ayari,SWE,MF,20,21.8,2,28,8,28.6,1.28,0.37,0.07,0.25,18.7,2,0,0,2.4,2.4,0.09,-0.4,-0.4
Jack Hinshelwood,ENG,"MF,DF",19,20.5,5,18,10,55.6,0.88,0.49,0.28,0.5,12.2,0,0,0,2.7,2.7,0.15,2.3,2.3
Yankuba Minteh,GAM,"FW,MF",20,20.4,6,34,16,47.1,1.66,0.78,0.18,0.38,13.8,0,0,0,4.1,4.1,0.12,1.9,1.9
Joël Veltman,NED,DF,32,18.9,0,6,1,16.7,0.32,0.05,0.0,0.0,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Georginio Rutter,FRA,"MF,FW",22,18.4,5,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4
Simon Adingra,CIV,"FW,MF",22,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5
Matt O'Riley,DEN,MF,23,10.4,2,21,6,28.6,2.01,0.58,0.05,0.17,17.6,2,1,1,2.8,2.0,0.1,-0.8,-1.0
Adam Webster,ENG,DF,29,9.9,0,5,1,20.0,0.51,0.1,0.0,0.0,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Mats Wieffer,NED,"DF,MF",24,11.3,1,9,4,44.4,0.8,0.35,0.11,0.25,13.2,0,0,0,0.8,0.8,0.08,0.2,0.2
Igor,BRA,DF,26,10.7,0,1,0,0.0,0.09,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Tariq Lamptey,GHA,DF,23,9.6,2,6,2,33.3,0.63,0.21,0.33,1.0,18.5,0,0,0,0.4,0.4,0.06,1.6,1.6
Brajan Gruda,GER,"MF,FW",20,7.6,1,11,5,45.5,1.44,0.66,0.09,0.2,16.9,2,0,0,1.2,1.2,0.11,-0.2,-0.2
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,1,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6
Diego Gómez,PAR,MF,21,5.7,1,9,3,33.3,1.57,0.52,0.11,0.33,19.6,2,0,0,0.9,0.9,0.09,0.1,0.1
James Milner,ENG,MF,38,1.9,0,2,0,0.0,1.06,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Julio Enciso,PAR,"MF,FW",20,3.3,0,20,11,55.0,6.12,3.37,0.0,0.0,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0
Evan Ferguson,IRL,FW,19,2.7,1,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5
Jason Steele,ENG,GK,33,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Solly March,ENG,"FW,MF",30,1.9,0,2,0,0.0,1.07,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Billy Gilmour,SCO,MF,23,1.1,0,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
Eiran Cashin,IRL,DF,22,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jakub Moder,POL,MF,25,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremy Sarmiento,ECU,MF,22,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Harry Howell,ENG,FW,15,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,24,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7
Opponent Total,,,26,38.0,57,418,138,33.0,11.0,3.63,0.11,0.35,15.6,8,9,9,54.6,47.7,0.12,2.4,0.3
