player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Jordan Pickford,ENG,GK,31,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
James Tarkowski,ENG,DF,32,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3
Vitaliy Mykolenko,UKR,DF,25,32.2,1,13,1,7.7,0.4,0.03,0.08,1.0,20.7,0,0,0,0.5,0.5,0.04,0.5,0.5
Idrissa Gana Gueye,SEN,MF,35,32.0,0,27,5,18.5,0.84,0.16,0.0,0.0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1
Abdoulaye Doucouré,MLI,MF,32,27.6,3,29,9,31.0,1.05,0.33,0.1,0.33,13.8,0,0,0,3.9,3.9,0.13,-0.9,-0.9
Jarrad Branthwaite,ENG,DF,22,27.1,0,9,3,33.3,0.33,0.11,0.0,0.0,8.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2
Iliman Ndiaye,SEN,FW,25,25.4,7,32,13,40.6,1.26,0.51,0.16,0.38,17.4,0,2,2,5.2,3.6,0.11,1.8,1.4
Jack Harrison,ENG,FW,28,21.8,1,28,7,25.0,1.29,0.32,0.04,0.14,16.4,0,0,0,3.5,3.5,0.12,-2.5,-2.5
Dominic Calvert-Lewin,ENG,FW,28,17.7,3,48,18,37.5,2.72,1.02,0.06,0.17,12.2,0,0,0,6.3,6.3,0.13,-3.3,-3.3
Ashley Young,ENG,"DF,FW",39,19.0,1,6,3,50.0,0.32,0.16,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7
James Garner,ENG,"MF,DF",24,15.7,0,7,2,28.6,0.45,0.13,0.0,0.0,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3
Jake O'Brien,IRL,DF,23,15.5,2,5,3,60.0,0.32,0.19,0.4,0.67,11.5,0,0,0,0.7,0.7,0.14,1.3,1.3
Jesper Lindstrøm,DEN,FW,25,13.8,0,28,10,35.7,2.03,0.73,0.0,0.0,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1
Dwight McNeil,ENG,"MF,FW",25,14.4,4,25,10,40.0,1.74,0.7,0.16,0.4,21.9,0,0,0,1.1,1.1,0.04,2.9,2.9
Orel Mangala,BEL,MF,27,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1
Beto,GNB,FW,27,15.1,8,43,22,51.2,2.85,1.46,0.19,0.36,13.0,0,0,0,7.0,7.0,0.16,1.0,1.0
Michael Keane,ENG,DF,32,10.5,3,10,4,40.0,0.96,0.38,0.3,0.75,13.2,0,0,0,0.6,0.6,0.06,2.4,2.4
Carlos Alcaraz,ARG,"FW,MF",22,7.4,1,21,7,33.3,2.85,0.95,0.05,0.14,19.9,0,0,0,1.4,1.4,0.07,-0.4,-0.4
Tim Iroegbunam,ENG,MF,21,6.4,0,5,0,0.0,0.78,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Armando Broja,ALB,FW,23,3.7,0,4,0,0.0,1.08,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Nathan Patterson,SCO,DF,23,3.9,0,1,0,0.0,0.26,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Séamus Coleman,IRL,DF,36,2.2,0,1,1,100.0,0.45,0.45,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6
Roman Dixon,ENG,DF,20,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Harrison Armstrong,ENG,MF,18,0.5,0,1,0,0.0,1.87,0.0,0.0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4
Youssef Chermiti,POR,"FW,MF",20,0.5,0,3,1,33.3,6.0,2.0,0.0,0.0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Mason Holgate,ENG,"FW,DF",28,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,28,36.0,36,377,129,34.2,10.47,3.58,0.09,0.26,16.9,10,2,2,37.9,36.4,0.1,-1.9,-2.4
Opponent Total,,,27,36.0,44,455,153,33.6,12.64,4.25,0.1,0.29,16.6,15,0,2,43.9,42.2,0.1,0.1,1.8
