Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Kerkez,HUN,DF,21-188,35.2,52,26,25,20,7,24,38,63.2,14,36,11,25,44,96,103,3
Semenyo,GHA,FW,25-127,33.6,53,34,16,24,13,16,42,38.1,26,61,8,53,10,63,38,2
Zabarnyi,UKR,DF,22-255,32.5,48,33,28,19,1,32,47,68.1,15,33,20,13,39,87,175,2
Cook,ENG,"MF,DF",28-100,32.3,81,42,41,36,4,37,67,55.2,30,30,11,19,40,121,68,0
Arrizabalaga,ESP,GK,30-223,29.0,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,15,3
Kluivert,NED,"MF,FW",26-009,24.5,21,9,4,10,7,4,21,19.0,17,24,0,24,13,34,23,1
Christie,SCO,MF,30-081,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3
Evanilson,BRA,FW,25-220,23.9,16,10,6,5,5,8,12,66.7,4,11,2,9,0,16,21,0
Huijsen,ESP,DF,20-030,25.8,36,26,19,16,1,18,28,64.3,10,36,28,8,50,86,185,4
Ouattara,BFA,FW,23-092,22.3,35,26,14,11,10,17,41,41.5,24,36,10,26,11,46,51,0
Adams,USA,MF,26-089,19.8,78,48,24,47,7,36,68,52.9,32,33,10,23,32,110,40,0
Tavernier,ENG,"FW,MF",26-053,19.6,42,24,14,19,9,10,26,38.5,16,16,3,13,5,47,11,0
Smith,ENG,DF,34-015,16.4,22,10,11,5,6,12,25,48.0,13,12,5,7,14,36,48,1
Senesi,ARG,DF,28-004,11.4,36,21,23,11,2,14,30,46.7,16,15,7,8,11,47,56,0
Brooks,WAL,"FW,MF",27-310,9.5,12,5,2,7,3,1,14,7.1,13,16,2,14,5,17,8,1
Scott,ENG,MF,21-266,8.4,27,14,11,8,8,19,42,45.2,23,17,4,13,10,37,15,0
Hill,ENG,DF,23-124,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0
Araujo,MEX,DF,23-274,4.8,8,3,4,4,0,5,12,41.7,7,3,0,3,6,14,16,0
Travers,IRL,GK,25-361,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Ünal,TUR,"FW,MF",28-004,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0
Neto,BRA,GK,35-299,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Sinisterra,COL,"FW,MF",25-331,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0
Billing,DEN,MF,28-337,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0
Aarons,ENG,DF,25-130,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0
Jebbison,ENG,FW,21-274,0.9,3,2,2,1,0,3,5,60.0,2,2,1,1,1,4,1,0
Winterburn,ENG,"FW,MF",20-252,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
Soler,ARG,FW,20-087,0.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Rees-Dottin,ENG,FW,19-069,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Silcott-Duberry,MSR,FW,19-309,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
