Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Dean Henderson,eng ENG,GK,28-062,36.0,2,1,2,0,0,2,6,33.3,4,0,0,0,0,2,22,0,Matches
Tyrick Mitchell,eng ENG,DF,25-254,33.4,88,54,55,26,7,23,43,53.5,20,63,12,51,14,102,100,2,Matches
Daniel Muñoz,co COL,DF,28-352,33.9,115,75,54,38,23,52,92,56.5,40,37,4,33,41,156,104,1,Matches
Marc Guéhi,eng ENG,DF,24-304,34.0,61,34,36,23,2,31,47,66.0,16,55,23,32,28,89,162,2,Matches
Maxence Lacroix,fr FRA,DF,25-037,32.6,67,40,51,15,1,32,47,68.1,15,44,19,25,52,119,191,2,Matches
Jean-Philippe Mateta,fr FRA,FW,27-319,28.6,17,12,4,11,2,3,16,18.8,13,18,4,14,2,19,22,0,Matches
Eberechi Eze,eng ENG,"MF,FW",26-318,28.0,39,22,14,16,9,17,36,47.2,19,27,0,27,11,50,9,3,Matches
Ismaila Sarr,sn SEN,MF,27-077,28.4,21,10,9,9,3,7,23,30.4,16,25,8,17,9,30,37,0,Matches
Jefferson Lerma,co COL,"MF,DF",30-200,23.3,32,16,13,15,4,19,35,54.3,16,35,16,19,37,69,65,1,Matches
Will Hughes,eng ENG,MF,30-026,22.1,62,33,18,31,13,27,59,45.8,32,31,14,17,21,83,24,3,Matches
Chris Richards,us USA,DF,25-046,19.4,44,28,21,17,6,23,39,59.0,16,37,13,24,19,63,101,0,Matches
Adam Wharton,eng ENG,MF,20-345,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0,Matches
Daichi Kamada,jp JPN,MF,28-281,16.2,46,28,19,23,4,14,39,35.9,25,22,5,17,16,62,14,0,Matches
Trevoh Chalobah,eng ENG,DF,25-312,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3,Matches
Eddie Nketiah,eng ENG,"FW,MF",25-348,10.3,14,7,6,4,4,6,12,50.0,6,10,1,9,2,16,11,0,Matches
Nathaniel Clyne,eng ENG,"DF,MF",34-038,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1,Matches
Cheick Doucouré,ml MLI,MF,25-125,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1,Matches
Justin Devenny,nir NIR,MF,21-214,4.8,14,9,6,7,1,7,14,50.0,7,3,0,3,0,14,10,0,Matches
Odsonne Édouard,fr FRA,"MF,FW",27-117,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,Matches
Joachim Andersen,dk DEN,DF,28-347,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
Chadi Riad,ma MAR,DF,21-330,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0,Matches
Ben Chilwell,eng ENG,DF,28-143,1.9,5,5,2,3,0,0,4,0.0,4,4,2,2,4,9,12,0,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",32-141,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0,Matches
Romain Esse,eng ENG,MF,20-000,0.5,2,2,2,0,0,2,2,100.0,0,1,0,1,1,3,0,0,Matches
Matheus França,br BRA,"FW,MF",21-042,0.3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",33-244,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Caleb Kporha,eng ENG,DF,18-302,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Asher Agbinone,eng ENG,MF,19-227,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
Joel Ward,eng ENG,DF,35-196,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,36.0,726,427,353,283,90,310,615,50.4,305,457,134,323,312,1038,1003,19,
Opponent Total,,,26.8,36.0,543,301,191,248,104,218,416,52.4,198,403,144,259,328,871,844,35,
