Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Leno,GER,GK,33-071,36.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,10,5,Matches
Iwobi,NGA,"FW,MF",29-011,32.1,42,24,13,21,8,21,32,65.6,11,25,1,24,13,55,28,0,Matches
Robinson,USA,DF,27-279,33.2,90,57,53,30,7,44,89,49.4,45,37,7,30,57,147,124,2,Matches
Bassey,NGA,DF,25-134,33.2,53,33,34,19,0,21,30,70.0,9,39,17,22,19,72,111,8,Matches
Jiménez,MEX,FW,34-009,25.7,33,23,8,17,8,7,20,35.0,13,19,5,14,10,43,19,3,Matches
Andersen,DEN,DF,28-348,26.7,26,18,19,6,1,14,21,66.7,7,33,26,7,31,57,174,1,Matches
Lukić,SRB,MF,28-274,24.1,66,37,21,39,6,21,53,39.6,32,19,7,12,26,92,32,0,Matches
Berge,NOR,MF,27-089,24.2,48,28,22,22,4,25,37,67.6,12,26,8,18,21,69,36,1,Matches
Pereira,BRA,MF,29-133,21.7,23,13,7,11,5,10,41,24.4,31,16,2,14,8,31,17,3,Matches
Emile Smith Rowe,ENG,MF,24-290,21.6,31,18,7,14,10,8,24,33.3,16,21,2,19,11,42,16,0,Matches
Tete,NED,DF,29-217,17.7,50,34,24,14,12,20,34,58.8,14,25,8,17,29,79,53,0,Matches
Castagne,BEL,DF,29-160,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0,Matches
Traoré,ESP,"FW,MF",29-109,18.0,17,12,8,4,5,5,13,38.5,8,7,0,7,1,18,6,3,Matches
Diop,FRA,DF,28-125,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2,Matches
Wilson,WAL,"FW,MF",28-053,12.0,16,11,10,3,3,9,15,60.0,6,13,1,12,5,21,7,1,Matches
Muniz,BRA,FW,24-010,10.7,10,5,3,5,2,4,4,100.0,0,9,2,7,5,15,14,0,Matches
Sessegnon,ENG,"FW,DF",24-361,6.1,27,13,11,11,5,9,19,47.4,10,13,1,12,3,30,17,0,Matches
Nelson,ENG,FW,25-155,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0,Matches
Cuenca,ESP,DF,25-178,2.9,2,2,2,0,0,2,5,40.0,3,3,3,0,2,4,21,0,Matches
Cairney,SCO,MF,34-114,5.7,11,5,4,2,5,4,7,57.1,3,5,1,4,4,15,1,1,Matches
Willian,BRA,"FW,MF",36-278,2.9,4,2,0,3,1,2,6,33.3,4,0,0,0,1,5,1,0,Matches
King,ENG,MF,18-131,1.0,5,3,2,3,0,0,2,0.0,2,2,0,2,1,6,1,0,Matches
Reed,ENG,MF,30-107,1.2,6,3,3,2,1,1,3,33.3,2,1,0,1,1,7,3,0,Matches
Godo,ENG,"FW,DF",22-061,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Vinícius,BRA,"MF,FW",30-050,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Stansfield,ENG,MF,22-171,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Total,,,28.8,36.0,642,390,302,252,88,273,534,51.1,261,352,104,248,285,927,848,30,
Total,,,27.1,36.0,510,290,226,216,68,247,523,47.2,276,406,136,270,318,828,965,25,
